stadiumname,swapcrowdplacement,stadiumid,teamid,forcedhome
Ramón Sánchez-Pizjuán,0,389,481,0
Estadio de la Cerámica,0,386,483,0
Heinz von Heiden-Arena,0,417,485,0
_Court Lane,0,228,487,0
_Court Lane,0,228,489,0
_Stadion Neder,0,178,492,0
_Stadion Neder,0,178,503,0
_Stadion Neder,0,178,506,0
_O Dromo,0,197,517,0
_Stadion Neder,0,178,523,0
_Stadion Neder,0,178,526,0
_Stadion 23. Maj,0,182,531,0
_Longville Stadium,0,469,537,0
_Molton Road (Sheldon Stadium),0,249,543,0
_Town Park,0,34,563,0
_O Dromo,0,197,567,0
_O Dromo,0,197,568,0
_Arena d'Oro,0,229,569,0
_El Libertador (La Bombastico),0,192,573,0
_Crown Lane,0,32,576,0
_Court Lane,0,228,580,0
_El Grandioso (El Monumento),0,181,598,0
King Fahd Stadium,0,262,605,0
King Abdullah Sports City,1,345,607,0
_Crown Lane,0,32,614,0
_Town Park,0,34,631,0
_Molton Road (Sheldon Stadium),0,249,634,0
_Court Lane,0,228,670,0
_Molton Road (Sheldon Stadium),0,249,673,0
_Stadion Neder,0,178,674,0
_Ivy Lane,0,180,675,0
_Court Lane,0,228,680,0
_Molton Road (Sheldon Stadium),0,249,681,0
_Stadion Neder,0,178,687,0
_Crown Lane,0,32,688,0
Sports Illustrated Stadium,0,430,689,0
_Stadion Hanguk,0,196,691,0
_El Grandioso (El Monumento),0,181,693,0
_Union Park (Euro Arena),0,33,694,0
_Crown Lane,0,32,695,0
_Stadion Neder,0,178,696,0
Dignity Health Sports Park,0,161,697,0
_Stadion Neder,0,178,698,0
_Stade Municipal,0,179,700,0
_Molton Road (Sheldon Stadium),0,249,702,0
_Sanderson Park,0,261,708,0
_Sanderson Park,0,261,710,0
_Molton Road (Sheldon Stadium),0,249,711,0
_Town Park,0,34,718,0
_Stadion Olympik,0,195,741,0
_Stadion 23. Maj,0,182,744,0
_Stadion Europa,0,147,748,0
_Union Park (Euro Arena),0,33,753,0
_Eastpoint Arena (Football Ground),0,194,819,0
_Court Lane,0,228,820,0
_Molton Road (Sheldon Stadium),0,249,822,0
_Longville Stadium,0,469,834,0
_Town Park,0,34,837,0
_Sanderson Park,0,261,873,0
_Union Park (Euro Arena),0,33,894,0
_Waldstadion (Fussballstadion),0,176,896,0
_Molton Road (Sheldon Stadium),0,249,897,0
_Stadion Neder,0,178,898,0
_Waldstadion (Fussballstadion),0,176,900,0
_Town Park,0,34,918,0
_Molton Road (Sheldon Stadium),0,249,919,0
_Court Lane,0,228,922,0
_Waldstadion (Fussballstadion),0,176,980,0
_Sanderson Park,0,261,982,0
_El Libertador (La Bombastico),0,192,1013,0
_O Dromo,0,197,1035,0
_Stadio Classico,0,193,1041,0
_O Dromo,0,197,1043,0
_O Dromo,0,197,1048,0
Wembley Stadium,0,155,1318,0
_Stadion Hanguk,0,196,1328,0
_Stadion Neder,0,178,1330,0
_Eastpoint Arena (Football Ground),0,194,1331,0
_Union Park (Euro Arena),0,33,1334,0
Orange Vélodrome,0,29,1335,0
Deutsche Bank Park,0,416,1337,0
_Union Park (Euro Arena),0,33,1341,0
_Stadion Olympik,0,195,1343,0
_Eastpoint Arena (Football Ground),0,194,1352,0
_Waldstadion (Fussballstadion),0,176,1353,0
Estádio do SL Benfica,0,457,1354,0
_Sanderson Park,0,261,1355,0
_Waldstadion (Fussballstadion),0,176,1356,0
_Stadion Olympik,0,195,1359,0
Riyadh Air Metropolitano,0,364,1362,0
_Waldstadion (Fussballstadion),0,176,1363,0
_Stadion Olympik,0,195,1366,0
Cardiff City Stadium,0,334,1367,0
Mâs Monumental,0,344,1369,0
_Stadion Olympik,0,195,1386,0
Dignity Health Sports Park,0,161,1387,0
_Euro Park,0,35,1438,0
_Molton Road (Sheldon Stadium),0,249,1439,0
_Court Lane,0,228,1443,0
_Town Park,0,34,1447,0
_Ivy Lane,0,180,1456,0
_Town Park,0,34,1463,0
_Waldstadion (Fussballstadion),0,176,1473,0
_Stadion Hanguk,0,196,1474,0
_Ivy Lane,0,180,1477,0
_Estadio de las Artes,0,158,1478,0
_Crown Lane,0,32,1480,0
_Stadion Neder,0,178,1516,0
_Forest Park Stadium (Square Ground),0,26,1530,0
_Town Park,0,34,1571,0
_Longville Stadium,0,469,1572,0
_Estadio de las Artes,0,158,1598,0
_Sanderson Park,0,261,1629,0
_Town Park,0,34,1704,0
_Town Park,0,34,1713,0
_Arena del Centenario (Estadio del Pueblo),0,175,1719,0
_Waldstadion (Fussballstadion),0,176,1738,0
_Crown Lane,0,32,1744,0
_Town Park,0,34,1745,0
_Union Park (Euro Arena),0,33,1746,0
_Ivy Lane,0,180,1750,0
_Stadion Neder,0,178,1756,0
_Town Park,0,34,1757,0
_Court Lane,0,228,1786,0
_Waldstadion (Fussballstadion),0,176,1787,0
_Stadion Neder,0,178,1788,0
Fratton Park,0,112,1790,0
Carrow Road,0,329,1792,0
_Molton Road (Sheldon Stadium),0,249,1793,0
Bramall Lane,0,433,1794,0
Vicarage Road,0,347,1795,0
Turf Moor,0,336,1796,0
_Molton Road (Sheldon Stadium),0,249,1797,0
_Molton Road (Sheldon Stadium),0,249,1798,0
Selhurst Park,0,330,1799,0
Coventry Building Society Arena,0,497,1800,0
_Ivy Lane,0,180,1801,0
_Court Lane,0,228,1802,0
_Court Lane,0,228,1803,0
_Ivy Lane,0,180,1804,0
_Stadion Neder,0,178,1805,0
Stoke City FC Stadium,0,331,1806,0
_Ivy Lane,0,180,1807,0
American Express Stadium,0,340,1808,0
_Stadion Europa,0,147,1809,0
_Town Park,0,34,1814,0
_Euro Park,0,35,1815,0
_Stadion Neder,0,178,1816,0
_Ivy Lane,0,180,1819,0
Deutsche Bank Park,0,416,1824,0
_Stade Municipal,0,179,1826,0
Stadion An der Alten Försterei,0,438,1831,0
_Waldstadion (Fussballstadion),0,176,1832,0
_Stadion Europa,0,147,1837,0
_Stadio Classico,0,193,1842,0
_Stadio Classico,0,193,1843,0
_Stadion Olympik,0,195,1848,0
Estadio Ciutat de València,0,396,1853,0
_Estadio El Medio,0,183,1854,0
Coliseum,0,390,1860,0
Power Horse Stadium,0,481,1861,0
_Stadion Neder,0,178,1862,0
_Stade Municipal,0,179,1867,0
_Waldstadion (Fussballstadion),0,176,1871,0
_Stadion Neder,0,178,1874,0
Mâs Monumental,0,344,1876,0
La Bombonera,0,264,1877,0
_Stadio Classico,0,193,1884,0
_Waldstadion (Fussballstadion),0,176,1886,0
_Stade Municipal,0,179,1887,0
_Court Lane,0,228,1888,0
_Crown Lane,0,32,1891,0
_Forest Park Stadium (Square Ground),0,26,1896,0
_Stade Municipal,0,179,1898,0
_Longville Stadium,0,469,1900,0
_Ivy Lane,0,180,1903,0
_Stadion Neder,0,178,1904,0
_Molton Road (Sheldon Stadium),0,249,1905,0
_Stadion Neder,0,178,1906,0
_Stadion Neder,0,178,1907,0
_Waldstadion (Fussballstadion),0,176,1908,0
_Molton Road (Sheldon Stadium),0,249,1910,0
_Waldstadion (Fussballstadion),0,176,1913,0
_Molton Road (Sheldon Stadium),0,249,1914,0
_Waldstadion (Fussballstadion),0,176,1915,0
_Ivy Lane,0,180,1917,0
Ashton Gate,0,491,1919,0
Kenilworth Road,0,460,1923,0
_Court Lane,0,228,1924,0
Gtech Community Stadium,0,450,1925,0
_Molton Road (Sheldon Stadium),0,249,1926,0
_Court Lane,0,228,1928,0
_Molton Road (Sheldon Stadium),0,249,1929,0
_Court Lane,0,228,1930,0
_Town Park,0,34,1931,0
_Forest Park Stadium (Square Ground),0,26,1932,0
_Court Lane,0,228,1933,0
_Court Lane,0,228,1934,0
_Court Lane,0,228,1935,0
_Court Lane,0,228,1936,0
_Ivy Lane,0,180,1937,0
_Court Lane,0,228,1938,0
Kirklees Stadium,0,384,1939,0
_Court Lane,0,228,1940,0
Vitality Stadium,0,348,1943,0
_Town Park,0,34,1944,0
_Crown Lane,0,32,1947,0
_Court Lane,0,228,1951,0
MKM Stadium,0,332,1952,0
_Court Lane,0,228,1958,0
Swansea.com Stadium,0,333,1960,0
Cardiff City Stadium,0,334,1961,0
_Court Lane,0,228,1962,0
Nuevo Mirandilla,0,455,1968,0
_Oktigann Park,0,468,2014,0
_Euro Park,0,35,2017,0
_Stadion Neder,0,178,2041,0
_Estadio de las Artes,0,158,2055,0
_Stadion Neder,0,178,2056,0
_Oktigann Park,0,468,10020,0
PreZero Arena,0,407,10029,0
Home Deluxe Arena,0,436,10030,0
_Euro Park,0,35,10032,0
_Court Lane,0,228,10846,0
_Euro Park,0,35,15001,0
_Molton Road (Sheldon Stadium),0,249,15009,0
_Town Park,0,34,15015,0
_El Grandioso (El Monumento),0,181,15029,0
_Longville Stadium,0,469,15040,0
_Ivy Lane,0,180,15048,0
_Court Lane,0,228,100081,0
_Forest Park Stadium (Square Ground),0,26,100087,0
_Crown Lane,0,32,100135,0
_Court Lane,0,228,100325,0
WWK Arena,0,412,100409,0
_Molton Road (Sheldon Stadium),0,249,100632,0
_Stadion Neder,0,178,100634,0
_Stadion Neder,0,178,100646,0
_Euro Park,0,35,100757,0
_Waldstadion (Fussballstadion),0,176,100761,0
_Court Lane,0,228,100804,0
_Town Park,0,34,100805,0
_Stadio Classico,0,193,100851,0
_Estadio El Medio,0,183,100852,0
Municipal de Butarque,0,398,100888,0
_Stadion Neder,0,178,101014,0
_Stadion Europa,0,147,101016,0
_Sanderson Park,0,261,101020,0
_Forest Park Stadium (Square Ground),0,26,101026,0
_Molton Road (Sheldon Stadium),0,249,101028,0
_Stadion Europa,0,147,101033,0
_Stadion Neder,0,178,101037,0
_Stadion Europa,0,147,101041,0
_Stadion Olympik,0,195,101047,0
Donbass Arena,0,260,101059,0
_Stadio Classico,0,193,101083,0
_Arena del Centenario (Estadio del Pueblo),0,175,101084,0
Estadio Presidente Perón,0,441,101085,0
_Estadio El Medio,0,183,101088,0
_O Dromo,0,197,101099,0
_El Libertador (La Bombastico),0,192,101100,0
_O Dromo,0,197,101106,0
_Arena d'Oro,0,229,101108,0
_El Libertador (La Bombastico),0,192,101110,0
BC Place,0,248,101112,0
Johan Cruijff ArenA,0,15,105035,0
Estadio de Montilivi,0,400,110062,0
_Town Park,0,34,110069,0
_Stadion 23. Maj,0,182,110072,0
_Oktigann Park,0,468,110075,0
_Molton Road (Sheldon Stadium),0,249,110078,0
_Molton Road (Sheldon Stadium),0,249,110081,0
Estadio Libertadores de América,0,442,110093,0
_Stadion 23. Maj,0,182,110176,0
_Court Lane,0,228,110178,0
_Oktigann Park,0,468,110206,0
_Town Park,0,34,110242,0
_Town Park,0,34,110313,0
_Longville Stadium,0,469,110321,0
Millerntor-Stadion,0,475,110329,0
_Stadio Classico,0,193,110373,0
_Stadio Classico,0,193,110374,0
_Stadio Classico,0,193,110395,0
_Estadio El Medio,0,183,110396,0
_Estadio El Medio,0,183,110404,0
_Court Lane,0,228,110468,0
_Union Park (Euro Arena),0,33,110500,0
_Town Park,0,34,110501,0
_Forest Park Stadium (Square Ground),0,26,110502,0
_Stadion Neder,0,178,110532,0
_Stadion Europa,0,147,110556,0
_Stadio Classico,0,193,110580,0
_Stadion Neder,0,178,110588,0
Düsseldorf-Arena,0,419,110636,0
_Town Park,0,34,110645,0
_Stadion 23. Maj,0,182,110676,0
_Euro Park,0,35,110683,0
_Euro Park,0,35,110697,0
_Stadion Neder,0,178,110720,0
_Stadion Europa,0,147,110724,0
_Stadion 23. Maj,0,182,110738,0
_Forest Park Stadium (Square Ground),0,26,110740,0
_Waldstadion (Fussballstadion),0,176,110745,0
_Stadion Neder,0,178,110746,0
_Stade Municipal,0,179,110747,0
_Molton Road (Sheldon Stadium),0,249,110749,0
_Stadion Neder,0,178,110750,0
_Stadion Hanguk,0,196,110751,0
_Stadion 23. Maj,0,182,110752,0
_Estadio de las Artes,0,158,110765,0
_Court Lane,0,228,110770,0
_Stade Municipal,0,179,110776,0
_Euro Park,0,35,110815,0
_Stadion Europa,0,147,110827,0
Estadio Nuevo Los Cármenes,0,439,110832,0
El Alcoraz,0,428,110839,0
_Town Park,0,34,110890,0
_Stadion 23. Maj,0,182,110908,0
_Stade Municipal,0,179,110915,0
_Estadio El Medio,0,183,110953,0
_Stadion Olympik,0,195,110955,0
_Estadio El Medio,0,183,110968,0
_Arena del Centenario (Estadio del Pueblo),0,175,110975,0
_Stadion Neder,0,178,110977,0
_Estadio El Medio,0,183,110980,0
_Stadion Hanguk,0,196,110981,0
_Estadio de las Artes,0,158,110986,0
_Union Park (Euro Arena),0,33,110989,0
_El Libertador (La Bombastico),0,192,110990,0
_Aloha Park,0,153,110991,0
_El Libertador (La Bombastico),0,192,111006,0
_Arena del Centenario (Estadio del Pueblo),0,175,111008,0
_Stadio Classico,0,193,111010,0
_O Dromo,0,197,111011,0
_Arena del Centenario (Estadio del Pueblo),0,175,111013,0
_El Grandioso (El Monumento),0,181,111014,0
_Arena del Centenario (Estadio del Pueblo),0,175,111019,0
_Aloha Park,0,153,111020,0
_Stadio Classico,0,193,111022,0
_O Dromo,0,197,111052,0
_Crown Lane,0,32,111065,0
_Stadion Neder,0,178,111083,0
_Molton Road (Sheldon Stadium),0,249,111086,0
_Euro Park,0,35,111088,0
_Sanderson Park,0,261,111091,0
_Waldstadion (Fussballstadion),0,176,111092,0
_Stadion Neder,0,178,111097,0
_Stadion 23. Maj,0,182,111111,0
_Stadion Hanguk,0,196,111138,0
_Molton Road (Sheldon Stadium),0,249,111139,0
Providence Park,0,435,111140,0
Lumen Field,0,341,111144,0
_El Libertador (La Bombastico),0,192,111205,0
_Molton Road (Sheldon Stadium),0,249,111235,0
_Stadion Neder,0,178,111239,0
_Stadion 23. Maj,0,182,111273,0
_Stadion 23. Maj,0,182,111276,0
_El Libertador (La Bombastico),0,192,111325,0
_El Grandioso (El Monumento),0,181,111328,0
_Aloha Park,0,153,111329,0
_El Grandioso (El Monumento),0,181,111334,0
_Stadio Classico,0,193,111339,0
_Court Lane,0,228,111380,0
_Arena del Centenario (Estadio del Pueblo),0,175,111393,0
_Court Lane,0,228,111395,0
_Crown Lane,0,32,111396,0
_Stade Municipal,0,179,111397,0
_Forest Park Stadium (Square Ground),0,26,111398,0
_Forest Park Stadium (Square Ground),0,26,111399,0
_Sanderson Park,0,261,111400,0
_Stadio Classico,0,193,111433,0
_Stadio Classico,0,193,111434,0
_Stadio Classico,0,193,111462,0
_O Dromo,0,197,111473,0
_Stadion Hanguk,0,196,111527,0
,0,158,111592,0
_Stadion Neder,0,178,111594,0
_Estadio de las Artes,0,158,111596,0
_O Dromo,0,197,111629,0
_O Dromo,0,197,111633,0
_Crown Lane,0,32,111651,0
_Stadion Neder,0,178,111657,0
_Molton Road (Sheldon Stadium),0,249,111659,0
_Al Jayeed Stadium (Stade Kokoto),0,149,111674,0
_Estadio de las Artes,0,158,111701,0
_Longville Stadium,0,469,111705,0
_El Libertador (La Bombastico),0,192,111706,0
_Estadio El Medio,0,183,111708,0
_Arena del Centenario (Estadio del Pueblo),0,175,111710,0
_El Libertador (La Bombastico),0,192,111711,0
_Crown Lane,0,32,111715,0
_Estadio El Medio,0,183,111716,0
_Stadion Hanguk,0,196,111724,0
_O Dromo,0,197,111766,0
_Stadion Hanguk,0,196,111768,0
_Union Park (Euro Arena),0,33,111769,0
_Stadion Olympik,0,195,111774,0
_Stadion Olympik,0,195,111779,0
_Court Lane,0,228,111811,0
_Union Park (Euro Arena),0,33,111817,0
_Euro Park,0,35,111822,0
_Crown Lane,0,32,111928,0
_Forest Park Stadium (Square Ground),0,26,111974,0
_Aloha Park,0,153,111993,0
_Court Lane,0,228,112072,0
_Al Jayeed Stadium (Stade Kokoto),0,149,112096,0
_Union Park (Euro Arena),0,33,112115,0
_Arena del Centenario (Estadio del Pueblo),0,175,112124,0
_Euro Park,0,35,112126,0
_Forest Park Stadium (Square Ground),0,26,112134,0
_Stade Municipal,0,179,112139,0
_Stadion Olympik,0,195,112163,0
_Union Park (Euro Arena),0,33,112168,0
Red Bull Arena (Leipzig),0,420,112172,0
_Town Park,0,34,112180,0
_Court Lane,0,228,112199,0
_Town Park,0,34,112222,0
_Stade Municipal,0,179,112224,0
_Town Park,0,34,112254,0
_Town Park,0,34,112258,0
_Molton Road (Sheldon Stadium),0,249,112259,0
_Town Park,0,34,112260,0
,0,158,112264,0
King Abdullah Sports City,0,345,112387,0
_Al Jayeed Stadium (Stade Kokoto),0,149,112390,0
_Al Jayeed Stadium (Stade Kokoto),0,149,112391,0
_Al Jayeed Stadium (Stade Kokoto),0,149,112392,0
_Al Jayeed Stadium (Stade Kokoto),0,149,112393,0
_Al Jayeed Stadium (Stade Kokoto),0,149,112408,0
_Waldstadion (Fussballstadion),0,176,112427,0
_Town Park,0,34,112428,0
_Euro Park,0,35,112493,0
_Longville Stadium,0,469,112494,0
_Aloha Park,0,153,112513,0
_Arena d'Oro,0,229,112531,0
_Stadion Olympik,0,195,112540,0
_Stadion 23. Maj,0,182,112558,0
_Ivy Lane,0,180,112606,0
_Arena del Centenario (Estadio del Pueblo),0,175,112615,0
_Stadio Classico,0,193,112667,0
_O Dromo,0,197,112670,0
_Al Jayeed Stadium (Stade Kokoto),0,149,112675,0
_Crown Lane,0,32,112689,0
_Arena d'Oro,0,229,112713,0
_Estadio El Medio,0,183,112716,0
_Town Park,0,34,112764,0
_Longville Stadium,0,469,112809,0
_Stadion Europa,0,147,112828,0
_Arena del Centenario (Estadio del Pueblo),0,175,112868,0
_Al Jayeed Stadium (Stade Kokoto),0,149,112883,0
Mercedes-Benz Stadium (Atlanta),0,402,112885,0
_Crown Lane,0,32,112893,0
_Stade Municipal,0,179,112908,0
_Sanderson Park,0,261,112965,0
_Stadion 23. Maj,0,182,112979,0
_Stadion Hanguk,0,196,112985,0
_Union Park (Euro Arena),0,33,112992,0
BMO Stadium,0,458,112996,0
BC Place,0,248,113000,0
Wembley Stadium,0,155,113002,0
Orange Vélodrome,0,29,113003,0
_Molton Road (Sheldon Stadium),0,249,113004,0
_Eastpoint Arena (Football Ground),0,194,113007,0
_Stadion Neder,0,178,113008,0
Lumen Field,0,341,113009,0
_Stadion Olympik,0,195,113010,0
Johan Cruijff ArenA,0,15,113011,0
Riyadh Air Metropolitano,0,364,113012,0
_Stadion Neder,0,178,113018,0
_Al Jayeed Stadium (Stade Kokoto),0,149,113037,0
_Al Jayeed Stadium (Stade Kokoto),0,149,113040,0
_Longville Stadium,0,469,113044,0
_Al Jayeed Stadium (Stade Kokoto),0,149,113057,0
_Al Jayeed Stadium (Stade Kokoto),0,149,113060,0
_Stadion Neder,0,178,113142,0
_O Dromo,0,197,113146,0
_Stadion Europa,0,147,113149,0
,0,158,113154,0
,0,158,113155,0
_Al Jayeed Stadium (Stade Kokoto),0,149,113217,0
_O Dromo,0,197,113257,0
_O Dromo,0,197,113297,0
_O Dromo,0,197,113298,0
_O Dromo,0,197,113299,0
_Court Lane,0,228,113300,0
_Union Park (Euro Arena),0,33,113301,0
_Arena d'Oro,0,229,113302,0
_Stadion Neder,0,178,113378,0
_Town Park,0,34,113458,0
_Town Park,0,34,113459,0
_Stadion Neder,0,178,113616,0
_Town Park,0,34,113888,0
_Town Park,0,34,113926,0
_Stadio Classico,0,193,113973,0
_Stadion 23. Maj,0,182,113974,0
_Stadion Olympik,0,195,113984,0
Estadio Presidente Perón,0,441,113996,0
_Euro Park,0,35,114004,0
,0,158,114019,0
_Stade Municipal,0,179,114023,0
,0,158,114046,0
_Stadion 23. Maj,0,182,114147,0
_Molton Road (Sheldon Stadium),0,249,114161,0
_Stadio Classico,0,193,114162,0
_Arena d'Oro,0,229,114168,0
_Longville Stadium,0,469,114326,0
_Forest Park Stadium (Square Ground),0,26,114385,0
_Stadion Neder,0,178,114393,0
_Union Park (Euro Arena),0,33,114510,0
_Euro Park,0,35,114549,0
_El Grandioso (El Monumento),0,181,114581,0
_Estadio El Medio,0,183,114598,0
_Arena d'Oro,0,229,114604,0
_Arena del Centenario (Estadio del Pueblo),0,175,114611,0
_Stade Municipal,0,179,114615,0
_Stadion Olympik,0,195,114628,0
_Stadio Classico,0,193,114640,0
_Sanderson Park,0,261,114815,0
_Stadion Olympik,0,195,115202,0
_Aloha Park,0,153,115472,0
_Town Park,0,34,115486,0
_Arena del Centenario (Estadio del Pueblo),0,175,115536,0
Estádio José Alvalade,0,486,115682,0
_Stadion Olympik,0,195,115841,0
_Stadio Classico,0,193,115845,0
,0,158,115891,0
_Sanderson Park,0,261,115995,0
BayArena,0,12,115996,0
Deutsche Bank Park,0,416,115997,0
StrongHER Stadium,0,472,115998,0
PreZero Arena,0,407,115999,0
_Oktigann Park,0,468,116000,0
_Oktigann Park,0,468,116001,0
Europa-Park Stadion,0,447,116002,0
RheinEnergieStadion,0,423,116003,0
Weserstadion,0,413,116004,0
_Stadion 23. Maj,0,182,116005,0
Emirates Stadium,0,156,116009,0
Stamford Bridge,0,28,116010,0
Tottenham Hotspur Stadium,0,409,116011,0
Old Trafford,0,1,116012,0
American Express Stadium,0,340,116013,0
London Stadium,0,355,116014,0
Villa Park,0,115,116015,0
Goodison Park,0,265,116016,0
Joie Stadium,0,466,116017,0
King Power Stadium,0,335,116020,0
Red Bull Arena (Leipzig),0,420,116021,0
Groupama Stadium,0,426,116033,0
Parc des Princes,0,14,116034,0
_Union Park (Euro Arena),0,33,116035,0
_Longville Stadium,0,469,116036,0
_Longville Stadium,0,469,116037,0
_Oktigann Park,0,468,116039,0
_Oktigann Park,0,468,116040,0
_Longville Stadium,0,469,116042,0
_Longville Stadium,0,469,116044,0
