firstname,surname,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,hairtypecode,lipcolor,cardstrictness,shoecolorcode2,skinsurfacepack,headtypecode,foulstrictness,height,leagueid,shoetypecode,birthdate,skinmakeup,socklengthcode,weight,eyedetail,gender,headassetid,faceposerpreset,eyecolorcode,jerseysleevelengthcode,headclasscode,sideburnscode,isreal,headvariation,skintonecode,shortstyle,smallsidedshoetypecode,refereeid,nationalitycode,skincomplexion,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,facialhaircolorcode
Lasse,Lagerroth,60201,0,1,0,75,0,1,31,232001,4000,1,178,56,315,146600,0,4,82,2,0,27082,4,2,0,0,0,0,0,2,0,500,183077,46,1,0,30,0,3,1
Hyun-Soon,Han,1170502,0,0,0,553,0,1,31,221001,517,1,175,83,315,146600,0,4,66,1,0,27030,4,9,0,0,0,0,0,3,0,500,183079,167,4,0,30,0,3,0
Ireneusz,Iglikowski,70000,0,6,287,65,0,1,31,232001,2006,2,178,66,315,144215,0,4,65,2,0,27078,4,5,0,0,0,0,0,1,0,500,183083,37,1,0,30,0,1,3
Heimo,Wasserschneider,60201,0,3,243,26,0,1,31,253101,22,1,175,2076,315,144585,0,4,77,2,0,27110,0,7,0,0,0,0,0,2,0,500,183089,21,3,0,30,0,3,3
Vagiz,Volkov,2150301,0,0,0,22,0,1,31,232001,2017,1,176,319,315,145487,0,4,64,2,0,27067,0,2,0,0,0,0,0,3,0,500,183098,40,2,0,30,0,2,0
Alexey,Borochovsky,2150301,0,3,0,107,0,1,31,232001,4,1,178,319,315,143849,0,4,67,2,0,27078,4,5,0,0,0,0,0,1,0,500,183102,40,2,0,30,0,1,0
Özgür,Öztürkmek,2150301,0,0,287,101,0,2,31,224001,2511,1,182,68,315,147144,0,4,73,2,0,27051,0,3,0,0,0,0,0,4,0,500,183787,48,5,0,30,0,2,0
Wesley,Vangorten,60201,0,1,0,78,0,1,31,253101,11,0,168,4,315,144727,0,4,60,2,0,27082,4,2,0,0,0,0,0,2,0,500,188439,7,2,0,30,0,7,1
Paweł,Grygorski,60201,0,0,0,84,0,2,31,232001,2510,1,180,66,315,146587,0,4,74,2,0,27084,0,7,0,0,0,0,0,3,0,500,188444,37,1,0,30,0,2,0
Esben,Schjønberg,60201,0,3,0,150,0,0,31,232001,1512,2,172,1,315,146600,0,4,77,2,0,27108,3,6,0,0,0,0,0,2,0,500,188446,13,2,0,30,0,3,3
Jean,Rabault,60201,0,6,0,37,0,0,31,223101,2012,1,183,17,315,146600,0,4,71,2,0,27099,0,5,0,0,0,0,0,2,0,500,188448,18,2,0,30,0,1,6
Fabrice,Madoulet,70000,0,0,0,1,0,2,31,250201,4502,2,177,17,315,146600,0,4,85,2,0,27050,4,9,0,0,0,0,0,9,0,500,188449,18,9,0,30,0,3,0
Dietmar,Schönlebe,60201,0,5,0,277,0,2,31,253101,24,1,180,2076,315,146600,0,4,78,2,0,27067,0,2,0,0,0,0,0,3,0,500,188451,21,2,0,30,0,2,3
Vitor,Secretario,2150301,0,0,0,144,0,1,31,244101,1,2,180,308,315,144877,0,4,70,2,0,27085,4,4,0,0,0,0,0,3,0,500,188452,38,5,0,30,0,2,0
Steffen,Schwurbel,2150301,0,1,0,64,0,2,31,223101,2002,1,179,2076,315,146600,0,4,70,2,0,27078,4,5,0,0,0,0,0,1,0,500,188455,21,1,0,30,0,1,1
Jasper,de Waart,60201,0,0,0,129,0,1,31,232001,2016,1,172,10,315,144814,0,4,70,2,0,27036,4,10,0,0,0,0,0,2,0,500,188457,34,2,0,30,0,2,0
Torjus,Løken,60201,0,5,0,102,0,0,31,232001,2,1,185,41,315,146600,0,4,73,2,0,27081,0,4,0,0,0,0,0,5,0,500,188461,36,1,0,30,0,4,6
Njål,Flaten,60201,0,1,0,92,0,1,31,232001,18,2,172,41,315,146600,0,4,75,2,0,27067,0,2,0,0,0,0,0,3,0,500,188462,36,1,0,30,0,3,1
Guilherme,Santoso,60201,0,0,37,37,0,1,31,244101,2505,1,175,308,315,146600,0,4,70,2,0,27080,0,4,0,0,0,0,0,4,0,500,188465,38,5,0,30,0,2,0
Ignacio,Muñiz Villate,60201,0,0,0,65,0,2,31,253101,1505,2,179,54,315,146600,0,4,84,2,0,27073,3,3,0,0,0,0,0,3,0,500,188474,45,3,0,30,0,3,0
Ludvig,Walfridsson,60201,0,6,243,129,0,1,31,223101,20,0,180,56,315,146814,0,4,76,2,0,27112,0,5,0,0,0,0,0,2,0,500,188475,46,1,0,30,0,2,3
Kristoffer,Frohlander,60201,1,5,0,16,0,1,31,223101,8,1,182,56,315,146600,0,4,70,2,0,27071,0,2,0,0,0,0,0,2,0,500,188476,46,1,0,30,0,1,1
Henry,McDillon,60201,0,6,0,75,0,1,31,253101,3505,2,178,65,315,141597,0,4,73,2,0,27083,0,1,0,0,0,0,0,2,0,500,209677,25,2,0,30,0,2,6
Conor,O'Connelly,60201,0,3,0,37,0,1,31,232001,2016,0,177,65,315,142583,0,4,72,2,0,27071,0,2,0,0,0,0,0,2,0,500,209678,25,1,0,30,0,2,0
Sheamus,McArthur,2150301,0,7,0,29,0,2,31,253101,13,1,180,65,315,142920,0,4,78,2,0,27067,0,2,0,0,0,0,0,3,0,500,209679,25,1,0,30,0,2,7
Fedder,Gotthard,2150301,1,3,289,39,0,1,31,223101,4001,1,187,80,315,144078,0,4,81,2,0,27092,3,5,0,0,0,0,0,2,0,500,209683,4,2,0,30,0,5,3
Lutz,Gersthofer,60201,0,2,289,65,0,0,31,253101,2003,1,174,80,315,142288,0,4,75,2,0,27082,4,2,0,0,0,0,0,2,0,500,209684,4,2,0,30,0,3,1
Heribert,Allmaier,60201,0,3,38,92,0,1,31,253101,1501,2,189,80,315,141043,0,4,77,2,0,27067,0,2,0,0,0,0,0,3,0,500,209685,4,2,0,30,0,4,3
Harald,Fimmler,60201,1,7,0,42,0,1,31,223101,2000,0,179,19,315,145614,0,4,77,2,0,27081,0,4,0,0,0,0,0,5,0,500,209686,21,1,0,30,0,2,7
Jascha,Zurheide,60201,0,2,0,155,0,0,31,232001,3500,1,182,19,315,144318,0,4,75,2,0,27112,0,5,0,0,0,0,0,2,0,500,209687,21,1,0,30,0,2,6
Rafael,Ruibal Losada,60201,0,0,38,57,0,0,31,253101,2004,1,181,54,315,145477,0,4,76,2,0,27079,4,9,0,0,0,0,0,5,0,500,209689,45,3,0,30,0,1,0
Ansgar,von Hauenstein,70000,0,9,28,93,0,1,31,253101,37,2,192,19,315,143329,0,4,83,2,0,27074,3,2,0,0,0,0,0,3,0,500,209690,21,2,0,30,0,4,0
Daniel,Soengas Bello,2150301,0,0,39,150,0,1,31,253101,0,2,177,53,315,146212,0,4,82,2,0,27051,0,3,0,0,0,0,0,4,0,500,209692,45,3,0,30,0,3,0
Álvaro,Arias Romera,60201,0,0,289,118,0,1,31,251101,7,1,179,53,315,144890,0,4,76,2,0,27085,4,4,0,0,0,0,0,3,0,500,209693,45,4,0,30,0,2,0
Federico,Ramos Navarro,60201,0,0,287,115,0,1,31,232001,2010,2,172,54,315,145689,0,4,70,2,0,27077,0,4,0,0,0,0,0,4,0,500,209694,45,3,0,30,0,2,0
Laurent,Glaisyer,60201,0,5,0,115,0,1,31,232001,2022,1,183,189,315,143367,0,4,76,2,0,27085,4,4,0,0,0,0,0,3,0,500,209712,47,2,0,30,0,2,6
Dario,Nuessli,2150301,0,0,0,119,0,0,31,253101,528,0,178,189,315,142778,0,4,71,2,0,27051,0,3,0,0,0,0,0,4,0,500,209714,47,2,0,30,0,2,0
Eufemio,Lafranchi,60201,0,3,0,147,0,1,31,232001,1517,0,186,189,315,144050,0,4,76,2,0,27109,0,3,0,0,0,0,0,3,0,500,209716,47,2,0,30,0,4,3
Gwidon,Pietrzykowski,60201,0,3,28,0,0,0,31,253101,0,1,187,66,315,141500,0,4,79,2,0,27112,0,5,0,0,0,0,0,2,0,500,209777,37,1,0,30,0,5,3
Nikodem,Dworaczyk,60201,0,0,287,77,0,1,31,253101,22,1,174,66,315,139435,0,4,80,2,0,27112,0,5,0,0,0,0,0,2,0,500,209778,37,2,0,30,0,3,0
Kasper,Krosby,60201,0,3,287,83,0,1,31,232001,12,2,186,56,315,143466,0,4,83,2,0,27083,0,1,0,0,0,0,0,2,0,500,209788,46,2,0,30,0,5,0
Pontus,Ortendhal,2150301,0,5,289,0,0,0,31,253101,18,1,184,56,315,142602,0,4,70,2,0,27110,0,7,0,0,0,0,0,2,0,500,209790,46,1,0,30,0,1,0
Sven,Solomonsson,1170502,1,1,0,154,0,2,31,223101,6,1,176,56,315,144151,0,4,68,2,0,27067,0,2,0,0,0,0,0,3,0,500,209791,46,1,0,30,0,2,1
Graham,Boverick,60201,0,0,0,104,0,0,31,232001,2027,2,185,351,315,144978,0,4,80,2,0,27092,3,5,0,0,0,0,0,2,0,500,209792,195,2,0,30,0,5,0
Pat,Framlow,2150301,0,3,243,74,0,1,31,232001,3505,1,177,351,315,144763,0,4,73,2,0,27081,0,4,0,0,0,0,0,5,0,500,209793,195,2,0,30,0,2,0
Josh,Brithwell,70000,0,2,287,43,0,2,31,232001,1517,0,178,351,315,142142,0,4,68,2,0,27112,0,5,0,0,0,0,0,2,0,500,209794,195,2,0,30,0,2,6
Buk-Chol,Choi,60201,0,0,0,115,0,1,31,221001,519,1,170,83,315,144100,0,4,72,1,0,27115,3,9,0,0,0,0,0,3,0,500,209808,167,4,0,30,0,8,0
Yoon-Fang,Lee,60201,0,0,0,137,0,0,31,221001,522,0,178,83,315,140217,0,4,71,1,0,27111,4,9,0,0,0,0,0,2,0,500,209809,167,4,0,30,0,1,0
Sébastien,Mittré,60201,0,3,0,115,0,0,31,232001,2010,0,178,16,315,143061,0,4,74,2,0,27080,0,4,0,0,0,0,0,4,0,500,209821,18,2,0,30,0,2,3
Jean-Daniel,Lacagne,60201,0,6,0,65,0,1,31,232001,1511,2,183,17,315,142555,0,4,71,2,0,27081,0,4,0,0,0,0,0,5,0,500,209822,18,2,0,30,0,1,6
Andriy,Markinov,2150301,0,1,288,37,0,1,31,232001,1,1,184,319,315,143915,0,4,77,2,0,27093,0,4,0,0,0,0,0,3,0,500,209823,40,1,0,30,0,2,1
Alexey,Potrepkin,60201,0,2,0,29,0,1,31,232001,2005,1,177,319,315,145045,0,4,77,2,0,27084,0,7,0,0,0,0,0,3,0,500,209825,40,1,0,30,0,3,6
Vladimir,Sorpionov,70000,0,5,287,112,0,1,31,232001,19,1,184,319,315,142675,0,4,79,2,0,27112,0,5,0,0,0,0,0,2,0,500,209826,40,2,0,30,0,2,6
Roald,Wikborg,60201,0,0,0,8,0,1,31,232001,2000,0,178,41,315,143353,0,4,66,2,0,27080,0,4,0,0,0,0,0,4,0,500,209847,36,2,0,30,0,1,0
Lukas,Papwick,60201,0,1,286,122,0,1,31,223101,2000,1,169,13,315,143894,0,4,66,2,0,27074,3,2,0,0,0,0,0,3,0,500,209867,14,2,0,30,0,7,1
Ramsey,Doel,70000,0,6,243,37,0,1,31,253101,2012,1,175,13,315,143058,0,4,73,2,0,27109,0,3,0,0,0,0,0,3,0,500,209870,14,2,0,30,0,2,6
Austen,Bayliffe,2150301,0,9,0,17,0,1,31,232001,10,1,181,13,315,145021,0,4,77,2,0,27092,3,5,0,0,0,0,0,2,0,500,209882,95,2,0,30,0,2,1
Gavin,Monksfield,60201,0,3,0,138,0,1,31,223101,4001,1,183,60,315,147399,0,4,69,2,0,27082,4,2,0,0,0,0,0,2,0,500,209883,25,1,0,30,0,1,3
Laurits,Tyllesen,60201,0,0,287,75,0,1,31,232001,3501,1,177,1,315,143578,0,4,73,2,0,27081,0,4,0,0,0,0,0,5,0,500,209891,13,1,0,30,0,2,0
Afonso,Masarenhas,2150301,0,0,287,61,0,0,31,244101,2507,1,189,308,315,143199,0,4,83,2,0,27079,4,9,0,0,0,0,0,5,0,500,209897,38,5,0,30,0,5,0
Arcibaldo,Pombal,60201,0,0,0,16,0,1,31,232001,2505,0,179,308,315,144700,0,4,67,2,0,27073,3,3,0,0,0,0,0,3,0,500,209899,38,4,0,30,0,1,0
Baptiste,Alacoque,60201,0,6,289,65,0,1,31,232001,1509,1,191,16,315,143665,0,4,84,2,0,27085,4,4,0,0,0,0,0,3,0,500,209902,18,2,0,30,0,5,6
Philippe,Daboussier,60201,0,3,28,57,0,2,31,223101,2019,1,184,17,315,146020,0,4,72,2,0,27074,3,2,0,0,0,0,0,3,0,500,209904,18,2,0,30,0,1,3
Viggo,Toksvig,2150301,0,3,288,111,0,2,31,232001,18,0,179,1,315,144041,0,4,78,2,0,27036,4,10,0,0,0,0,0,2,0,500,209913,13,2,0,30,0,2,3
Klemens,Pilegaard,70000,0,2,0,25,0,1,31,253101,25,0,187,1,315,141960,0,4,82,2,0,27110,0,7,0,0,0,0,0,2,0,500,209914,13,2,0,30,0,5,1
Ian,Lowcroft,60201,0,0,286,2,0,0,31,250201,1005,1,185,60,315,143073,0,4,84,2,0,27076,3,9,0,0,0,0,0,9,0,500,209923,14,9,0,30,0,6,0
Grant,Lindum,60201,0,6,287,135,0,2,31,232001,16,1,183,60,315,145037,0,4,79,2,0,27099,0,5,0,0,0,0,0,2,0,500,209926,14,3,0,30,0,2,6
Gianluca,Del Tarano,2150301,0,3,38,119,0,1,31,232001,2027,1,180,31,315,144452,0,4,72,2,0,27092,3,5,0,0,0,0,0,2,0,500,209927,27,3,0,30,0,1,3
Filippo,Giacoletti,2150301,0,3,0,115,0,2,31,232001,1,1,176,31,315,145043,0,4,69,2,0,27072,4,3,0,0,0,0,0,3,0,500,209928,27,3,0,30,0,1,3
Ashley,Boroughbridge,60201,0,1,0,98,0,0,31,232001,2518,0,182,60,315,146254,0,4,69,2,0,27080,0,4,0,0,0,0,0,4,0,500,209931,42,2,0,30,0,2,3
Liam,Keymer,2150301,0,0,0,21,0,1,31,232001,2508,1,177,60,315,140177,0,4,72,2,0,27081,0,4,0,0,0,0,0,5,0,500,209932,14,2,0,30,0,2,0
Gijsbert,Declerck,60201,0,1,0,119,0,2,31,232001,4,1,185,4,315,142450,0,4,77,2,0,27071,0,2,0,0,0,0,0,2,0,500,209938,7,2,0,30,0,5,1
Jochem,Van Vosselen,70000,1,12,0,102,0,1,31,223101,25,2,175,4,315,141224,0,4,72,2,0,27092,3,5,0,0,0,0,0,2,0,500,209939,7,2,0,30,0,3,7
Siem,Decauwer,2150301,0,0,39,13,0,0,31,223101,529,1,188,4,315,145198,0,4,74,2,0,27085,4,4,0,0,0,0,0,3,0,500,209940,7,2,0,30,0,4,0
Joep,Druppers,2150301,0,3,243,44,0,2,31,232001,1,1,182,10,315,144339,0,4,80,2,0,27083,0,1,0,0,0,0,0,2,0,500,209941,34,2,0,30,0,3,3
Luuk,Hoebacke,2150301,0,6,0,29,0,1,31,232001,2515,0,191,10,315,142161,0,4,85,2,0,27072,4,3,0,0,0,0,0,3,0,500,209942,34,2,0,30,0,5,3
Pim,van Tilburgh,60201,0,0,0,70,0,0,31,244101,508,1,179,10,315,143762,0,4,69,2,0,27074,3,2,0,0,0,0,0,3,0,500,209943,34,5,0,30,0,1,0
Fuad,Al-Rishani,2150301,0,0,28,16,0,1,31,224001,2510,0,174,350,315,140895,0,4,62,2,0,27109,0,3,0,0,0,0,0,3,0,500,209944,183,5,0,30,0,1,0
Abdulmajeed,Al-Reshedi,60201,0,0,0,22,0,1,31,224001,2517,1,183,350,315,145871,0,4,78,2,0,27106,0,3,0,0,0,0,0,4,0,500,209945,183,6,0,30,0,2,0
Mazhar,Al-Amur,2150301,0,0,287,90,0,0,31,253101,2504,1,172,350,315,143800,0,4,65,2,0,27093,0,4,0,0,0,0,0,3,0,500,209946,183,5,0,30,0,2,0
Alvaro,Aldgate,2150301,1,3,0,8,0,1,31,223101,1509,1,177,39,315,145627,0,4,73,2,0,27037,3,3,0,0,0,0,0,5,0,500,210589,95,3,0,30,0,3,3
Wilson,Mountland,70000,0,2,0,92,0,0,31,253101,2014,1,182,39,315,144606,0,4,71,2,0,27074,3,2,0,0,0,0,0,3,0,500,210590,95,2,0,30,0,1,1
Jefferson,Robertford,60201,0,0,28,119,0,1,31,232001,4005,0,175,39,315,141639,0,4,82,2,0,27110,0,7,0,0,0,0,0,2,0,500,210594,95,1,0,30,0,3,0
Oliver Benito,Ledesma,70000,0,3,243,149,0,1,31,224001,1512,2,174,353,315,144751,0,4,71,2,0,27077,0,4,0,0,0,0,0,4,0,500,214502,52,4,0,30,0,2,0
Gabriel,Santiseban,2150301,0,0,28,114,0,1,31,232001,1516,1,175,353,315,144752,0,4,75,2,0,27072,4,3,0,0,0,0,0,3,0,500,214865,52,4,0,30,0,3,0
Jerónimo,Santarelli,60201,0,0,287,156,0,2,31,224001,2500,1,183,353,315,144250,0,4,75,2,0,27073,3,3,0,0,0,0,0,3,0,500,214866,52,6,0,30,0,2,0
Maximiliano,Recobedo,70000,0,0,0,119,0,1,31,232001,528,2,178,353,315,144568,0,4,75,2,0,27077,0,4,0,0,0,0,0,4,0,500,214867,52,4,0,30,0,2,0
Yusri,Kao,60201,0,0,0,111,0,1,31,253101,509,1,176,76,315,141224,0,4,73,2,0,27029,1,9,0,0,0,0,0,4,0,500,221033,184,5,0,30,0,1,0
Dawud,Al-Habash,2150301,0,0,243,29,0,1,31,244101,2506,1,174,76,315,144659,0,4,76,2,0,27093,0,4,0,0,0,0,0,3,0,500,221034,150,5,0,30,0,1,0
Shahzad,Abu Shakra,60201,0,0,243,114,0,1,31,253101,1518,1,177,76,315,142525,0,4,80,2,0,27106,0,3,0,0,0,0,0,4,0,500,221035,182,5,0,30,0,1,0
Hoo-gwo,Xiang,60201,0,0,0,128,0,1,31,221001,519,1,167,2012,315,144247,0,4,62,1,0,27030,4,9,0,0,0,0,0,3,0,500,221037,155,4,0,30,0,3,0
Azlan,Hamberi,60201,0,0,0,105,0,0,31,224001,538,0,176,76,315,144772,0,4,72,2,0,27115,3,9,0,0,0,0,0,3,0,500,221045,173,6,0,30,0,1,0
Lamon,Darawan,2150301,0,0,0,16,0,0,31,244101,543,1,177,76,315,144700,0,4,73,2,0,27113,4,3,0,0,0,0,0,4,0,500,221047,188,5,0,30,0,3,0
Radovan,Palenković,2190501,6,23,287,102,0,1,31,250202,22,1,197,80,315,141294,0,4,92,3,0,27073,3,3,0,0,0,0,0,3,0,500,221049,51,5,0,30,0,5,22
Matthew,Mzizi,60201,0,0,0,28,0,1,31,250201,1009,2,181,76,315,143781,0,4,82,2,0,27070,3,9,0,0,0,0,0,7,0,500,221100,140,10,0,30,0,2,0
Vyacheslav,Bondartchuk,2150301,0,3,243,66,0,1,31,232001,1503,1,177,76,315,144289,0,4,77,2,0,27112,0,5,0,0,0,0,0,2,0,500,221118,49,2,0,30,0,2,6
Leonidas,Lambrakis,2150301,0,0,0,103,0,1,31,251101,2517,1,181,63,315,142340,0,4,77,2,0,27051,0,3,0,0,0,0,0,4,0,500,221119,22,4,0,30,0,2,0
Regis,Graver,60201,0,0,0,280,0,1,31,220001,1007,2,185,60,315,143541,0,4,84,2,0,27068,2,3,0,0,0,0,0,8,0,500,221153,148,10,0,30,0,5,0
Enis,Balbay,60201,0,0,288,30,0,1,31,244101,2511,1,177,68,315,143943,0,4,72,2,0,27092,3,5,0,0,0,0,0,2,0,500,222948,48,5,0,30,0,2,0
Feridun,Doğançay,2150301,0,0,0,142,0,1,31,232001,1520,2,184,68,315,144535,0,4,77,2,0,27109,0,3,0,0,0,0,0,3,0,500,222949,48,4,0,30,0,1,0
Mălin,Butacu,2150301,0,0,287,149,0,1,31,232001,1518,2,178,330,315,141686,0,4,72,2,0,27084,0,7,0,0,0,0,0,3,0,500,237579,39,3,0,30,0,2,0
Zamfir,Izbașa,60201,0,0,287,188,0,1,31,251101,22,1,181,330,315,142603,0,4,74,2,0,27108,3,6,0,0,0,0,0,2,0,500,237583,39,4,0,30,0,2,0
Iacob,Săulescu,60201,0,0,0,40,0,1,31,232001,9,2,174,330,315,143130,0,4,68,2,0,27078,4,5,0,0,0,0,0,1,0,500,237584,39,3,0,30,0,2,3
Dragoș,Tismăneanu,60201,0,6,0,16,0,1,31,232001,4003,1,177,330,315,141862,0,4,70,2,0,27112,0,5,0,0,0,0,0,2,0,500,237585,39,4,0,30,0,1,6
Hussain,Al-Shamkali,70000,0,0,243,77,0,1,31,224001,1526,1,185,350,315,146388,0,4,76,2,0,27108,3,6,0,0,0,0,0,2,0,500,241366,183,6,0,30,0,5,0
Nazario,Dasmarinas,60201,0,3,0,29,0,2,31,251101,1509,1,182,308,315,144866,0,4,74,2,0,27037,3,3,0,0,0,0,0,5,0,500,241367,38,4,0,30,0,2,3
Ludger,Falck,60201,1,5,0,290,0,2,31,223101,16,1,180,80,315,146600,0,4,78,2,0,27110,0,7,0,0,0,0,0,2,0,500,241369,4,1,0,30,0,2,6
Flemming,Fredskild,60201,0,1,0,117,0,0,31,232001,2016,1,188,1,315,146600,0,4,81,2,0,27071,0,2,0,0,0,0,0,2,0,500,241370,13,2,0,30,0,5,1
Adrian,Gløersen,60201,0,6,28,57,0,0,31,232001,3502,1,185,41,315,144643,0,4,83,2,0,27036,4,10,0,0,0,0,0,2,0,500,241371,36,2,0,30,0,5,6
Albin,Kuniak,60201,0,0,287,105,0,1,31,253101,529,0,181,66,315,142819,0,4,70,2,0,27071,0,2,0,0,0,0,0,2,0,500,241372,37,2,0,30,0,2,0
Thorvald,Oedegaard,2150301,0,6,243,77,0,1,31,232001,22,2,185,41,315,143047,0,4,86,2,0,27085,4,4,0,0,0,0,0,3,0,500,241373,36,2,0,30,0,6,6
An-Jol,Park,60201,0,0,0,121,0,0,31,221001,510,1,177,83,315,142914,0,4,74,1,0,27028,0,9,0,0,0,0,0,4,0,500,241374,167,4,0,30,0,2,0
Hai-wang,Sui,60201,0,0,0,102,0,1,31,221001,554,0,176,2012,315,142085,0,4,73,1,0,27029,1,9,0,0,0,0,0,4,0,500,241503,155,4,0,30,0,1,0
Zhi-xiang,Qun,60201,0,0,0,143,0,1,31,221001,540,2,174,2012,315,144105,0,4,70,1,0,27031,3,9,0,0,0,0,0,5,0,500,241504,155,4,0,30,0,2,0
Stefan,Häsenecker,60201,0,0,0,65,0,0,31,232001,7,1,184,189,315,144184,0,4,78,2,0,27082,4,2,0,0,0,0,0,2,0,500,243325,47,2,0,30,0,2,0
Joel,Highett,1170502,0,2,0,114,0,0,31,232001,4003,1,178,351,315,145248,0,4,76,2,0,27036,4,10,0,0,0,0,0,2,0,500,243326,195,3,0,30,0,2,3
Alvaro Joaquín,Florez,2150301,0,3,243,57,0,2,31,232001,2517,2,181,353,315,143540,0,4,82,2,0,27074,3,2,0,0,0,0,0,3,0,500,243327,52,4,0,30,0,3,0
Gang-sheng,Bai,70000,0,0,0,149,0,0,31,251101,558,1,174,2012,315,143065,0,4,76,2,0,27028,0,9,0,0,0,0,0,4,0,500,243331,155,4,0,30,0,2,0
Maximilian,Mehlbacher,2150301,0,5,0,74,0,2,31,232001,2004,1,186,19,315,145122,0,4,77,2,0,27092,3,5,0,0,0,0,0,2,0,500,243332,21,2,0,30,0,5,3
Aurelio,Oriol Gaspar,60201,0,0,0,150,0,0,31,232001,2008,2,178,54,315,144940,0,4,84,2,0,27072,4,3,0,0,0,0,0,3,0,500,243333,45,3,0,30,0,2,0
Jett,Colling,1170502,0,5,30,129,0,1,31,232001,2027,1,182,2012,315,143603,0,4,78,2,0,27071,0,2,0,0,0,0,0,2,0,500,250793,195,2,0,30,0,2,3
Miloje,Tomčić,2150301,0,3,243,93,0,1,31,232001,1516,1,186,2012,315,145269,0,4,82,2,0,27112,0,5,0,0,0,0,0,2,0,500,250794,51,3,0,30,0,5,3
Aske,Hemmingsen,2150301,0,6,289,0,0,1,31,232001,3505,1,186,1,315,145731,0,4,81,2,0,27099,0,5,0,0,0,0,0,2,0,500,251117,13,2,0,30,0,6,3
Moray,Baird,2150301,0,3,0,111,0,1,31,232001,9,1,181,50,315,147481,0,4,84,2,0,27082,4,2,0,0,0,0,0,2,0,500,252127,42,2,0,30,0,2,3
