firstname,commonname,surname,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,managerid,accessorycode4,hairtypecode,lipcolor,skinsurfacepack,accessorycode3,accessorycolourcode1,headtypecode,height,seasonaloutfitid,birthdate,skinmakeup,weight,hashighqualityhead,eyedetail,gender,headassetid,ethnicity,faceposerpreset,teamid,eyecolorcode,personalityid,accessorycolourcode3,accessorycode1,headclasscode,nationality,sideburnscode,accessorycolourcode4,headvariation,skintonecode,outfitid,skincomplexion,accessorycode2,hairstylecode,bodytypecode,managerjointeamdate,accessorycolourcode2,facialhaircolorcode
,,,1170502,0,3,251,265587,0,129,0,232001,0,0,4008,188,5557,145139,0,75,0,2,0,26541,2,3,12,6,0,0,0,0,14,0,0,0,2,5713,2,0,0,84,160717,0,3
Eddie,,Howe,70000,0,1,287,232297,0,118,0,253101,0,0,2021,178,5511,144317,0,75,1,2,0,232297,2,0,13,2,0,0,0,0,14,0,0,0,3,5510,2,0,0,81,160367,0,1
Nuno Herlander,Nuno Espírito Santo,Espírito Santo,2320101,0,23,40,250187,0,26,0,250101,0,0,507,188,5511,142913,0,75,0,3,0,250187,5,0,14,9,0,0,0,1,38,0,0,0,5,5722,4,0,0,85,161139,0,9
,,,60201,0,9,243,250029,0,633,0,232001,0,0,1541,178,5560,145139,0,75,0,2,0,26543,3,0,15,7,1,0,0,0,45,0,0,0,3,5507,3,0,0,82,161088,0,0
Russell,,Martin,60000,0,3,289,254124,0,1064,0,232101,0,0,1550,185,5557,147275,0,75,0,2,0,162886,2,3,17,5,0,0,0,0,42,0,0,0,1,5713,1,0,0,85,160957,0,0
Ange,,Postecoglou,60201,0,8,259,220812,0,655,0,251101,0,0,2007,184,5578,139840,0,75,1,2,0,220812,4,0,18,5,0,0,0,0,195,0,0,0,1,5578,4,0,0,83,160967,0,8
Julen,Julen Lopetegui,Lopetegui Argote,60201,0,5,287,243874,0,181,0,253101,0,0,49,187,5527,140206,0,77,1,2,0,243874,2,4,19,5,0,0,0,0,45,0,0,0,3,5715,2,0,0,85,161294,0,0
,,,2150301,0,0,247,251204,0,0,0,244101,0,0,1007,190,5511,145139,0,75,0,2,0,26545,6,2,21,9,0,0,0,0,7,0,0,0,6,5520,6,0,0,85,160585,0,0
Nuri,,Şahin,2150301,0,22,253,265497,0,165,0,221101,0,0,1503,180,5511,148250,0,75,0,2,0,170797,4,4,22,4,1,0,0,0,48,0,0,0,4,5510,4,0,0,82,161316,0,22
,,,2190101,0,3,287,138420,0,35,0,232001,0,0,2512,186,5507,145139,0,83,0,0,0,26541,3,3,23,6,0,0,0,0,47,0,0,0,3,5507,1,0,0,85,160237,0,6
,,,60201,0,19,259,73498,0,114,0,232001,0,0,48,189,5707,145139,0,75,0,2,0,26541,3,3,25,6,0,0,0,0,21,0,0,0,3,5566,3,0,0,84,161333,0,0
Daniel,,Brinkmann,60201,0,5,259,75593,0,77,0,232001,0,0,3,193,5510,147300,0,75,0,2,0,75593,3,0,27,5,1,0,0,1,21,0,0,0,3,5707,3,0,0,85,161457,0,6
,,,60201,1,6,16,71014,0,667,0,223101,0,0,4005,182,5511,145139,0,75,0,2,0,26543,3,0,28,7,0,0,0,0,21,0,0,0,3,5710,3,0,0,82,161193,0,6
,,,60201,0,4,287,42601,0,681,0,253101,0,0,59,171,5511,145139,0,69,0,2,0,26540,3,3,29,1,1,0,0,0,21,0,0,0,3,5566,3,0,0,88,161333,0,4
,,,1170502,0,4,287,251656,0,0,0,253101,0,0,1512,172,5718,145139,0,75,0,2,0,26538,2,0,31,2,0,0,0,0,4,0,0,0,2,5566,2,0,0,87,160997,0,6
,,,60201,0,3,243,262757,0,149,0,232001,0,0,3516,183,5529,145139,0,75,0,2,0,26541,2,3,32,6,0,0,0,0,45,0,0,0,2,5566,2,0,0,82,161349,0,7
Argirios,,Giannikis,40101,6,0,287,249019,0,24,0,242101,0,0,4004,182,5509,145270,0,75,0,6,0,249019,4,0,33,9,1,0,0,1,22,0,0,0,4,5525,4,0,0,82,161160,0,0
,,,60201,0,24,254,262475,0,230,0,232001,0,0,2508,187,5509,145139,0,75,0,2,0,26537,1,0,34,1,0,0,0,0,34,0,0,0,1,5718,1,0,0,84,161430,0,9
,,,2080000,0,5,251,251527,0,310,0,232001,0,0,34,178,5557,145139,0,75,0,0,0,26540,3,3,36,1,0,0,0,0,21,0,0,0,3,5728,4,0,0,82,160878,0,23
,,,2310101,0,6,287,253394,0,310,0,232001,0,0,3510,189,5511,145139,0,75,0,0,0,26544,2,0,38,9,0,0,0,0,21,0,0,0,2,5510,1,0,0,85,160387,0,6
Thiago,,Motta,60201,0,3,0,254126,0,61,0,232001,0,0,1526,187,5558,146050,0,75,1,2,0,254126,4,3,45,3,0,0,0,0,27,0,0,0,3,5717,4,0,0,2,161349,0,0
Antonio,,Conte,60201,0,19,0,1067,0,125,0,251101,0,0,1502,178,5509,141274,0,73,1,2,0,1067,4,0,48,2,1,0,0,0,27,0,0,0,3,5713,4,0,0,82,161333,0,3
Fabio,,Pecchia,1450000,0,8,287,1145,0,218,0,252102,0,0,2504,172,5529,142759,0,68,0,2,0,1145,2,0,50,3,1,0,0,1,27,0,0,0,2,5578,2,0,0,88,160573,0,9
,,,2150301,0,24,0,273045,0,290,0,253101,0,1,539,182,5529,145139,0,75,0,2,0,26542,3,0,52,3,0,0,300,0,27,0,0,0,3,5524,3,0,0,82,161469,0,9
Paolo,,Vanoli,2320301,0,6,255,266077,0,9,0,244101,0,1,57,184,5511,142382,0,75,0,2,0,266077,2,0,54,3,1,0,300,1,27,0,0,0,2,5713,1,0,0,82,160731,0,23
Kosta,,Runjaić,1130401,0,9,287,249867,0,177,0,244101,0,0,30,177,5509,141947,0,75,0,2,0,249867,2,0,55,2,0,0,0,1,21,0,0,0,2,5567,2,0,0,83,161333,0,0
,,,60201,0,9,0,249132,0,105,0,253101,0,0,3513,176,5509,145139,0,75,0,2,0,26540,2,3,57,1,0,0,0,0,18,0,0,0,2,5523,2,0,0,82,160719,0,0
,,,70000,0,24,30,72676,0,147,0,253101,0,0,41,183,5511,145139,0,75,0,2,0,26537,2,0,58,1,0,0,0,0,18,0,0,0,2,5707,2,0,0,81,161307,0,24
,,,2150301,0,23,253,250556,0,198,0,253101,0,0,3516,176,5509,145139,0,75,0,2,0,26540,2,3,62,1,0,0,0,0,18,0,0,0,2,5713,2,0,0,81,161300,0,23
,,,1170502,1,7,0,260609,0,148,0,223101,0,0,2027,190,5511,145139,0,75,0,2,0,26539,1,0,64,1,1,0,0,0,7,0,0,0,1,5506,1,0,0,85,161312,0,7
,,,60201,0,9,16,249073,0,230,0,253101,0,0,3510,172,5511,145139,0,75,0,2,0,26539,1,0,65,1,0,0,0,0,18,0,0,0,1,5520,1,0,0,88,161307,0,0
,,,2150301,0,21,259,279795,0,148,0,232001,0,0,57,178,5527,145139,0,75,0,2,0,26543,2,0,66,7,0,0,0,0,18,0,0,0,2,5520,2,0,0,82,161119,0,0
,,,1170502,0,9,0,250577,0,154,0,253101,0,0,2021,186,5557,145139,0,75,0,2,0,26537,1,0,67,1,1,0,0,0,18,0,0,0,1,5534,1,0,0,84,161337,0,1
,,,60201,0,23,0,276105,0,26,0,253101,0,0,2507,183,5707,145139,0,75,0,2,0,26544,2,0,68,9,0,0,0,0,18,0,0,0,2,5522,2,0,0,81,161336,0,23
,,,240000,0,8,243,248898,0,150,0,232001,0,0,2504,184,5509,145139,0,75,0,0,0,26544,2,0,69,9,0,0,0,0,4,0,0,0,2,5566,4,0,0,82,160970,0,8
,,,240101,0,22,0,249652,0,310,0,242101,0,0,2506,176,5511,145139,0,75,0,0,0,26537,2,0,70,1,0,0,0,0,18,0,0,0,2,5552,1,0,0,83,161201,0,0
,,,60201,0,3,0,249003,0,29,0,250201,0,0,1007,185,5511,145139,0,75,0,2,0,26545,8,2,71,9,1,0,0,0,18,0,0,0,8,5514,8,0,0,85,161229,0,0
,,,2320101,0,9,251,116880,0,150,0,232001,0,0,2508,179,5509,145139,0,76,0,2,0,26543,2,0,72,7,0,0,0,0,18,0,0,0,2,5569,1,0,0,82,161308,0,9
Luis Enrique,Luis Enrique,Martínez García,60201,1,24,243,249948,0,293,0,223101,0,0,2500,180,5509,141555,0,75,1,2,0,249948,3,4,73,6,1,0,0,0,45,0,0,0,3,5523,3,0,0,82,161349,0,9
,,,2150301,0,9,45,249722,0,0,0,252102,0,0,1551,165,5527,145139,0,75,0,2,0,26538,4,0,74,2,1,0,0,0,52,0,0,0,4,5567,4,0,0,89,161466,0,9
,,,60201,0,0,243,270334,0,239,0,244101,0,0,1031,178,5529,145139,0,75,0,2,0,26545,6,2,76,9,0,0,0,0,14,0,0,0,6,5718,6,0,0,81,161357,0,0
Jimmy,,Thelin,1140101,0,8,30,249671,0,57,0,232001,0,0,68,180,5557,144422,0,75,0,2,0,249671,1,0,77,2,0,0,0,1,46,0,0,0,1,5718,1,0,0,82,161257,0,18
Brendan,,Rodgers,2150301,0,5,0,249063,0,150,0,253101,0,0,2515,170,5535,142549,0,75,1,2,0,249063,2,3,78,7,0,0,0,0,35,0,0,0,3,5514,2,0,0,88,160955,0,5
Neil,,Critchley,60201,0,9,246,256437,0,114,0,253101,0,0,2501,175,5511,144640,0,75,0,2,0,256437,2,0,80,2,1,0,0,1,14,0,0,0,2,5510,2,0,0,82,161439,0,9
David,,Gray,60201,0,3,243,268731,0,0,0,242101,0,0,1,180,5511,148126,0,75,0,2,0,268731,2,0,81,1,0,0,0,1,42,0,0,0,2,5510,2,0,0,82,161308,0,6
Derek,,McInnes,2310101,0,23,30,51495,0,65,0,252102,0,0,1526,170,5509,141978,0,65,0,2,0,51495,3,0,82,1,0,0,0,1,42,0,0,0,3,5551,4,0,0,88,160424,0,9
Stuart,,Kettlewell,2150101,0,23,30,208673,0,292,0,234101,0,0,4014,183,5506,146696,0,70,0,2,0,208673,3,0,83,2,0,0,0,1,42,0,0,0,3,5506,1,0,0,82,160838,0,23
Philippe,,Clement,40401,0,24,28,8834,0,0,0,242201,0,0,1517,191,5538,142969,0,87,0,2,0,8834,2,0,86,1,0,0,0,1,7,0,0,0,2,5573,3,0,0,85,161073,0,8
,,,60201,0,19,0,73491,0,681,0,232001,0,0,25,177,5511,145139,0,75,0,2,0,26541,1,3,88,6,0,0,0,0,14,0,0,0,1,5510,1,0,0,82,161308,0,3
,,,2320101,0,5,243,53853,0,40,0,232001,0,0,3500,170,5509,145139,0,69,0,0,0,26541,2,3,89,6,1,0,0,0,50,0,0,0,2,5510,3,0,0,88,161185,0,8
,,,30101,0,23,249,53904,0,0,0,232001,0,0,43,175,5511,145139,0,74,0,2,0,26544,2,0,91,9,1,0,0,0,14,0,0,0,2,5510,4,0,0,81,160685,0,23
,,,2120000,0,23,243,100707,0,244,0,232001,0,0,15,191,5509,145139,0,82,0,0,0,26541,2,3,92,6,0,0,0,0,205,0,0,0,2,5522,3,0,0,85,161116,0,8
Kieran,,McKenna,60201,6,8,246,266184,0,190,0,242102,0,0,47,185,5509,147405,0,71,0,2,0,266184,1,0,94,1,0,0,0,1,35,0,0,0,1,5552,1,0,0,85,160405,0,9
Steve,,Cooper,1170502,0,4,0,251137,0,290,0,253101,0,0,17,182,5509,145058,0,75,1,2,0,251137,1,3,95,2,0,0,0,0,50,0,0,0,1,5551,1,0,0,82,161322,0,1
,,,2080000,0,24,287,51403,0,65,0,232001,0,0,2017,180,5527,145139,0,78,0,0,0,26540,1,3,97,1,0,0,0,0,14,0,0,0,1,5707,1,0,0,82,161202,0,8
,,,60201,0,22,0,270696,0,181,0,232001,0,0,2511,180,5509,145139,0,75,0,2,0,26540,2,3,106,1,0,0,0,0,18,0,0,0,2,5566,2,0,0,82,161324,0,6
,,,60201,0,0,289,257433,0,186,0,232001,0,0,525,188,5527,145139,0,75,0,2,0,26543,3,0,109,7,1,0,0,0,45,0,0,0,3,5520,3,0,0,85,160718,0,0
Gary,,O'Neil,2080101,0,9,251,271713,0,243,0,242101,0,0,1507,173,5557,146313,0,75,1,2,0,53593,4,1,110,8,0,0,0,0,14,0,0,0,4,5510,4,0,0,87,161006,0,23
,,,30301,0,0,0,268328,0,16,0,223101,0,0,1,180,5511,145139,0,75,0,0,0,26537,2,0,111,1,0,0,0,0,70,0,0,0,2,5570,1,0,0,83,159325,0,0
,,,30301,0,0,0,268329,0,16,0,223101,0,0,1,180,5529,145139,0,75,0,0,0,26537,2,0,112,1,0,0,0,0,95,0,0,0,2,5502,1,0,0,83,159325,0,0
,,,60201,0,0,287,272649,0,693,0,253101,0,0,2009,178,5511,145139,0,75,0,2,0,26541,1,3,121,6,0,0,0,0,14,0,0,0,1,5510,1,0,0,81,160728,0,0
,,,70000,0,6,0,139479,0,12,0,253101,0,0,2517,178,5557,145139,0,79,0,2,0,26540,2,3,127,1,1,0,0,0,14,0,0,0,2,5713,2,0,0,82,161467,0,22
,,,2150101,0,8,30,249499,0,289,0,232001,0,0,3500,178,5511,145139,0,75,0,0,0,26539,2,0,142,1,0,0,0,0,35,0,0,0,2,5707,4,0,0,82,160917,0,1
,,,1450101,0,6,287,45098,0,115,0,232001,0,0,2005,185,5511,145139,0,74,0,0,0,26540,2,3,143,1,1,0,0,0,42,0,0,0,2,5520,1,0,0,86,160717,0,6
Marco Alexandre,Marco Silva,Saraiva da Silva,2150301,0,3,287,178609,0,177,0,232001,0,0,30,180,5557,144177,0,75,1,2,0,178609,3,0,144,4,0,0,0,0,38,0,0,0,3,5566,3,0,0,82,160237,0,3
,,,2150301,0,5,28,279147,0,154,0,232001,0,0,3500,175,5511,145139,0,75,0,2,0,26543,2,0,149,7,0,0,0,0,14,0,0,0,2,5510,2,0,0,82,161102,0,20
Michél,,Kniat,2080102,0,3,251,267907,0,65,0,242102,0,0,1508,191,5506,147228,0,75,0,6,0,267907,2,0,159,1,1,0,0,1,21,0,0,0,2,5569,1,0,0,85,160949,0,3
,,,60201,0,2,287,249260,0,182,0,253101,0,0,11,179,5511,145139,0,75,0,2,0,26542,2,0,160,3,0,0,0,0,21,0,0,0,2,5510,2,0,0,83,161459,0,9
Claus-Dieter,,Wollitz,2080000,0,22,251,249148,0,310,0,261001,0,1,1555,186,5520,139801,0,75,0,2,0,249148,4,0,162,1,1,0,300,1,21,0,0,0,4,5566,4,0,0,85,160237,0,22
,,,60201,0,5,245,247862,0,122,0,232001,0,0,3513,180,5544,145139,0,80,0,2,0,26540,2,3,165,1,0,0,0,0,21,0,0,0,2,5552,2,0,0,82,161091,0,5
,,,2150101,0,23,289,249161,0,693,0,232001,0,0,30,182,5511,145139,0,75,0,0,0,26541,4,3,166,6,1,0,0,0,21,0,0,0,4,5506,3,0,0,83,160938,0,23
,,,70000,0,5,255,140433,0,84,0,232001,0,0,2,178,5527,145139,0,75,0,2,0,26541,2,3,169,6,1,0,0,0,13,0,0,0,2,5718,2,0,0,82,161194,0,23
,,,60201,0,20,0,269708,0,122,0,253101,0,0,2015,184,5510,145139,0,75,0,2,0,26540,3,3,171,1,0,0,0,0,21,0,0,0,3,5566,3,0,0,82,161312,0,3
Marc,,Unterberger,40101,0,3,243,276133,0,310,0,240201,0,0,525,180,5511,148354,0,75,0,2,0,276133,2,0,172,3,0,0,0,1,21,0,0,0,2,5708,1,0,0,82,160962,0,23
,,,1170502,0,5,289,150527,0,176,0,232001,0,0,4005,191,5537,145139,0,92,0,2,0,26541,2,3,175,6,1,0,0,0,4,0,0,0,2,5578,2,0,0,85,159298,0,5
Tony,,Docherty,2320000,0,9,251,276364,0,31,0,242201,0,0,4000,173,5510,141816,0,75,0,2,0,276364,3,0,180,2,0,0,0,1,42,0,0,0,3,5566,3,0,0,89,160934,0,23
Jim,,Goodwin,2010000,0,24,289,251865,0,65,0,232101,0,0,2008,183,5529,145769,0,75,0,2,0,251865,2,0,181,2,0,0,0,1,25,0,0,0,2,5567,1,0,0,82,160845,0,24
Vincenzo,,Italiano,60201,0,9,251,251172,0,0,0,232001,0,0,1509,171,5509,144328,0,75,0,2,0,251172,3,3,189,3,1,0,0,0,27,0,0,0,3,5566,3,0,0,88,161349,0,9
Pepijn,,Lijnders,60201,0,19,287,75596,0,284,0,232001,0,0,3500,189,5725,146199,0,75,0,2,0,75596,2,0,191,8,0,0,0,1,34,0,0,0,2,5522,2,0,0,85,161333,0,6
Eusebio,,Di Francesco,2120101,0,23,58,1212,0,160,0,252102,0,0,2515,178,5514,141313,0,71,0,2,0,1212,4,0,205,8,1,0,0,1,27,0,0,0,4,5713,4,0,0,82,161333,0,23
Paolo,,Zanetti,60201,0,19,260,251109,0,77,0,232001,0,0,2016,184,5511,146160,0,75,1,2,0,251109,1,1,206,4,0,0,0,0,27,0,0,0,5,5505,1,0,0,83,161349,0,5
Jürgen,,Säumel,60201,0,5,253,75688,0,189,0,232001,0,0,3517,184,5509,146792,0,75,0,2,0,75688,2,0,209,2,0,0,0,1,4,0,0,0,2,5718,2,0,0,82,161470,0,3
,,,2150301,0,8,62,279476,0,164,0,232001,0,0,55,180,5555,145139,0,75,0,2,0,26540,2,3,210,1,0,0,0,0,18,0,0,0,2,5707,2,0,0,82,161119,0,0
Nenad,,Bjelica,60201,0,23,243,9797,0,190,0,253101,0,0,2512,181,5529,142024,0,76,0,2,0,9797,2,0,211,4,1,0,0,1,10,0,0,0,2,5505,2,0,0,82,161420,0,23
,,,60201,0,0,253,250201,0,0,0,232001,0,0,2020,182,5509,145139,0,75,0,2,0,26538,1,0,217,2,1,0,0,0,18,0,0,0,1,5713,1,0,0,83,161325,0,8
,,,2150301,0,0,245,157767,0,63,0,232001,0,0,1548,175,5509,145139,0,66,0,2,0,26543,4,0,219,7,1,0,0,0,27,0,0,0,4,5567,4,0,0,82,161332,0,23
David,,Hubert,60201,0,6,287,75243,0,77,0,232201,0,0,40,184,5521,148044,0,75,0,2,0,75243,2,0,229,2,0,0,0,1,7,0,0,0,2,5566,2,0,0,81,161413,0,6
Jonas,,De Roeck,2190101,0,19,0,45139,0,310,0,232001,0,0,2027,188,5511,145068,0,80,0,2,0,45139,2,0,230,1,0,0,0,1,7,0,0,0,2,5566,2,0,0,85,160602,0,5
Nicky,,Hayen,2320101,0,8,246,254486,0,181,0,242101,0,0,2020,188,5506,145308,0,75,0,2,0,254486,3,0,231,8,0,0,0,1,7,0,0,0,3,5506,4,0,0,85,161228,0,9
Ivan,,Leko,40101,0,23,289,6016,0,167,0,242101,0,0,2016,179,5555,144387,0,79,0,2,0,6016,2,0,232,4,0,0,0,1,10,0,0,0,2,5551,1,0,0,82,161154,0,23
Bruno Miguel,Bruno Lage,Silva do Nascimento,2150301,0,23,0,249078,0,693,0,232001,0,0,1515,190,5557,143751,0,75,1,2,0,249078,3,0,234,4,0,0,0,0,38,0,0,0,4,5510,3,0,0,84,160215,0,0
Vítor Bruno,Vítor Bruno,Motas Fernandes,60201,0,0,252,72692,0,17,0,232001,0,0,3519,184,5710,146146,0,75,0,2,0,72692,4,0,236,9,0,0,0,1,38,0,0,0,4,5710,4,0,0,81,161308,0,22
João Pedro,João Pereira,da Silva Pereira,60201,0,3,254,75676,0,114,0,242201,0,0,1505,172,5520,146596,0,75,0,2,0,75676,4,0,237,7,0,0,0,1,38,0,0,0,4,5520,4,0,0,87,161466,0,3
Diego,,Simeone,2150301,0,22,243,5571,0,196,0,251101,0,0,1517,177,5509,141545,0,77,1,2,0,5571,4,0,240,6,1,0,0,0,52,0,0,0,4,5500,4,0,0,81,156759,0,23
Hans-Dieter,,Flick,60201,0,6,243,254149,0,150,0,252102,0,0,3510,177,5558,139656,0,75,0,6,0,254149,3,0,241,2,0,0,0,1,21,0,0,0,3,5522,4,0,0,82,161333,0,8
Óscar Manuel,Óscar Gilsanz,Gilsanz González,60201,6,9,287,75537,0,0,0,242101,0,0,0,173,5511,142527,0,75,0,2,0,75537,4,0,242,3,0,0,0,1,45,0,0,0,4,5523,4,0,0,88,161454,0,22
Carlo,,Ancelotti,2150301,0,24,0,237388,0,114,0,251101,0,0,59,179,5529,137570,0,75,1,2,0,237388,4,0,243,1,0,0,0,0,27,0,0,0,4,5502,4,0,0,82,160237,0,0
Víctor,Víctor Fernández,Fernández Braulio,2090102,6,23,287,250653,0,46,0,242201,0,0,1519,173,5557,138107,0,75,0,6,0,250653,4,0,244,3,0,0,0,1,45,0,0,0,4,5534,4,0,0,88,161221,0,23
,,,2150301,0,0,45,263710,0,285,0,232001,0,0,3514,174,5707,145139,0,75,0,2,0,26543,3,0,245,7,1,0,0,0,27,0,0,0,3,5566,3,0,0,87,160967,0,0
,,,40101,0,23,287,252928,0,161,0,250101,0,0,2508,188,5557,145139,0,75,0,2,0,26543,2,0,246,7,1,0,0,0,13,0,0,0,2,5718,1,0,0,85,161333,0,23
,,,40102,0,0,253,250295,0,0,0,250101,0,0,2006,175,5527,145139,0,75,0,0,0,26544,2,0,247,9,0,0,0,0,34,0,0,0,2,5566,2,0,0,82,160967,0,22
Markus,,Schopp,2120101,0,24,259,10059,0,69,0,252102,0,0,1553,188,5509,142941,0,82,0,2,0,10059,2,0,252,2,0,0,0,1,4,0,0,0,2,5718,2,0,0,85,161397,0,9
Robert,,Klauß,2080101,0,5,246,257577,0,141,0,242101,0,0,2021,183,5509,146876,0,75,0,2,0,257577,2,0,254,2,0,0,0,1,21,0,0,0,2,5566,1,0,0,82,161109,0,22
Stephan,,Helm,60201,0,0,253,75597,0,0,0,232001,0,0,1506,182,5718,146275,0,75,0,2,0,75597,2,0,256,8,0,0,0,1,4,0,0,0,2,5729,2,0,0,82,161333,0,0
José,Pepe Mel,Mel Pérez,1140101,0,9,287,249739,0,0,0,253101,0,0,4005,179,5530,138929,0,75,0,1,0,249739,2,0,260,7,1,0,0,1,45,0,0,0,2,5565,2,0,0,82,161410,0,23
Gennaro,,Gattuso,2150401,0,9,245,262281,0,65,0,244101,0,0,2500,177,5557,144358,0,75,0,6,0,262281,3,0,263,3,1,0,0,1,27,0,0,0,3,5566,4,0,0,83,161314,0,22
Jindřich,,Trpišovský,1360000,0,22,245,249675,0,290,0,250101,0,0,57,180,5527,143676,0,75,0,3,0,249675,2,0,266,1,0,0,0,1,12,0,0,0,2,5566,1,0,0,82,159140,0,23
Lars,,Friis,1140401,0,4,287,262461,0,234,0,242101,0,0,3516,180,5527,143746,0,75,0,2,0,262461,2,0,267,1,1,0,0,1,13,0,0,0,2,5510,3,0,0,83,161314,0,9
Jesper,,Sørensen,1140101,0,9,243,249664,0,0,0,250101,0,0,4010,177,5557,142684,0,75,0,2,0,249664,2,0,269,8,0,0,0,1,13,0,0,0,2,5715,2,0,0,81,160787,0,8
Kent,,Nielsen,2150101,0,9,255,249849,0,154,0,253101,0,0,4008,192,5511,138502,0,75,0,2,0,249849,3,0,270,1,1,0,0,1,13,0,0,0,3,5520,2,0,0,86,159506,0,9
Uwe,,Rösler,2290101,0,9,0,250629,0,0,0,252001,0,0,57,184,5509,141016,0,75,0,2,0,250629,3,0,271,6,1,0,0,1,21,0,0,0,3,5520,2,0,0,82,160585,0,9
Matías,,Almeyda,1140101,0,3,0,4784,0,10,0,250101,0,0,68,174,5557,142878,0,72,0,2,0,4784,4,0,278,3,1,0,0,1,52,0,0,0,4,5523,4,0,0,88,160602,0,3
José Luis,Mendilibar,Mendilibar,60201,0,9,0,241378,0,292,0,251101,0,0,25,174,5507,138213,0,69,1,2,0,241378,4,0,280,4,1,0,0,0,45,0,0,0,4,5717,4,0,0,88,161192,0,23
,,,70000,0,6,287,262532,0,682,0,253101,0,0,4004,183,5557,145139,0,75,0,2,0,26539,1,0,294,1,0,0,0,0,18,0,0,0,1,5566,1,0,0,81,161375,0,3
Alfred,,Johansson,60201,0,6,259,279614,0,181,0,232201,0,0,4013,182,5511,148988,0,75,0,2,0,279614,1,0,298,2,0,0,0,1,46,0,0,0,1,5520,1,0,0,81,161133,0,3
Dag-Eilev,,Fagermo,60201,0,24,246,249172,0,26,0,250101,0,0,3516,187,5511,140359,0,75,0,2,0,249172,2,0,299,8,1,0,0,1,36,0,0,0,2,5510,2,0,0,86,161424,0,9
Bjarte Lunde,,Aarsheim,2080000,0,23,251,249057,0,151,0,242102,0,0,2019,177,5511,143267,0,75,0,2,0,249057,2,0,300,7,0,0,0,1,36,0,0,0,2,5510,4,0,0,81,160056,0,22
Daniel,,Myśliwiec,60201,0,3,243,278078,0,140,0,232001,0,0,1519,180,5511,147229,0,75,0,2,0,278078,2,0,301,8,0,0,0,1,37,0,0,0,2,5521,1,0,0,82,161033,0,3
Alan,,Reynolds,2150101,6,9,287,149774,0,297,0,252102,0,0,1510,177,5511,143051,0,82,0,2,0,149774,4,0,305,1,0,0,0,1,25,0,0,0,4,5510,4,0,0,83,161236,0,22
Stephen,,Bradley,2290000,0,22,245,169187,0,64,0,240201,0,0,1520,170,5724,146864,0,63,0,2,0,169187,1,0,306,2,0,0,0,1,25,0,0,0,1,5510,1,0,0,88,158549,0,9
