assetid,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,goalnetstanchioncolor2g,teamcolor2r,foundationyear,goalnetstanchioncolor2r,teamcolor3r,goalnetstanchioncolor1b,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,goalnetstanchioncolor2b,goalnetstanchioncolor1r,teamcolor2g,goalnetstanchioncolor1g,teamname,teamcolor3b,presassetone,powid,hassubstitutionboard,rightfreekicktakerid,flamethrowercannon,domesticprestige,genericint2,defensivedepth,hasvikingclap,jerseytype,pitchcolor,pitchwear,popularity,hastifo,presassettwo,teamstadiumcapacity,stadiumgoalnetstyle,iscompetitionscarfenabled,cityid,rivalteam,playsurfacetype,isbannerenabled,midfieldrating,stadiummowpattern_code,matchdayoverallrating,matchdaymidfieldrating,attackrating,longitude,buildupplay,matchdaydefenserating,hasstandingcrowd,favoriteteamsheetid,defenserating,iscompetitionpoleflagenabled,skinnyflags,uefa_consecutive_wins,longkicktakerid,trait1vweak,iscompetitioncrowdcardsenabled,rightcornerkicktakerid,gender,cksupport1,uefa_cl_wins,hassuncanthem,domesticcups,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,uefa_el_wins,trait1vequal,numtransfersin,stanchionflamethrower,stadiumgoalnetpattern,captainid,personalityid,prev_el_champ,leftfreekicktakerid,cksupport2,leaguetitles,genericbanner,crowdregion,uefa_uecl_wins,overallrating,ballid,profitability,utcoffset,penaltytakerid,pitchlinecolor,freekicktakerid,crowdskintonecode,internationalprestige,cksupport3,haslargeflag,trainingstadium,form,genericint1,trait1vstrong,matchdayattackrating
12,25,224,80000,255,53,255,1876,7,235,33,34,1,54,25,1,33,7,255,53,Middlesbrough,34,0,-1,0,252066,0,7,-1,30,0,2,4,0,5,0,0,33931,0,2,315,13,0,2,71,0,70,71,70,-1,1,68,0,-1,71,2,0,0,252066,4194946,2,252066,0,0,0,0,0,2,252066,6,12,0,557698,0,0,0,186156,0,0,252066,0,0,0,3,0,71,135,5,0,237295,0,252066,2,1,0,0,316,0,-1,525442,72
13,30,30,789000,255,40,255,1892,9,30,25,30,2,54,30,2,25,9,255,40,Newcastle United,30,0,-1,0,266127,0,7,-1,65,0,2,4,0,7,0,0,52305,0,0,342,106,0,2,82,1,80,81,80,-1,2,79,0,-1,79,0,0,0,266127,132224,2,266127,0,0,0,0,6,2,266127,5,13,0,188544,0,0,0,247851,0,0,242964,0,4,0,3,0,80,143,1,0,233731,0,242964,2,6,0,0,366,0,-1,266368,79
14,36,221,440000,255,36,255,1865,221,210,33,33,2,52,36,2,33,221,255,36,Nottingham Forest,33,0,-1,0,236015,0,2,-1,30,0,2,5,0,6,0,0,30445,0,2,352,91,0,2,77,1,76,77,77,-1,3,76,0,-1,78,2,0,0,236015,4198720,2,236015,0,0,2,0,2,5,236015,6,14,0,575808,0,0,0,235642,0,0,236015,0,1,0,3,0,77,143,1,0,236015,0,236015,2,2,0,0,366,0,-1,526656,76
15,66,32,28000,255,43,255,1882,31,32,109,151,1,51,66,1,109,31,255,43,Queens Park Rangers,171,0,-1,0,246682,0,4,-1,30,0,2,4,0,3,0,0,18439,5,2,285,144,0,2,70,1,70,71,70,0,3,69,0,-1,69,2,0,0,246682,4202752,2,246682,0,0,0,0,0,3,238490,6,15,0,577792,0,0,0,193011,1,0,246682,0,0,0,3,0,70,135,6,0,240317,0,246682,2,1,0,0,316,0,-1,526592,68
17,0,228,450000,255,26,255,1885,236,211,27,43,2,50,10,2,27,236,255,26,Southampton,10,0,-1,0,270857,1,1,-1,50,0,1,3,0,6,0,0,32384,0,0,459,1790,0,2,73,1,74,72,75,-1,1,73,0,-1,74,0,0,0,270857,262784,2,226012,0,0,0,0,1,2,270857,8,17,0,4244096,0,0,0,202697,0,0,270857,0,0,0,3,0,75,143,4,0,240097,0,270857,2,2,0,0,366,0,-1,525440,75
18,255,255,2430000,75,37,15,1882,29,153,110,255,2,51,177,2,110,29,32,37,Tottenham Hotspur,211,0,-1,0,220697,0,7,-1,90,0,1,6,0,8,0,0,62850,0,0,285,1,0,1,81,1,82,83,81,0,1,84,1,-1,83,2,0,0,220697,66180,3,220697,0,0,0,0,8,4,220697,6,18,2,82564,0,0,0,200104,0,0,220697,0,2,0,3,0,81,143,3,0,200104,0,220697,2,7,0,0,366,0,-1,132228,81
19,37,123,915300,231,38,27,1895,16,100,32,57,2,51,30,2,32,16,177,38,West Ham United,60,1,-1,0,210736,0,6,-1,30,0,2,3,0,7,0,0,60000,0,1,285,97,0,2,80,1,80,82,77,0,3,80,0,-1,78,0,0,0,210736,4198544,2,210736,0,0,0,0,3,2,210736,6,19,0,559248,0,0,0,224371,0,0,210736,0,0,0,3,1,79,143,2,0,233927,0,210736,2,6,0,0,366,0,-1,526480,77
21,1,255,3672000,255,255,255,1900,255,29,1,60,3,48,29,3,255,200,255,1,Bayern München,27,0,-1,1,202126,0,10,-1,90,0,2,4,0,10,0,0,75000,1,1,333,22,0,1,84,1,84,84,90,11,1,83,1,-1,82,1,0,0,212622,66180,1,247827,0,0,6,0,20,6,212622,7,21,1,115332,0,0,0,167495,0,0,212622,0,33,0,4,0,84,113,6,1,202126,0,212622,2,9,0,0,366,0,-1,132228,92
22,217,255,1621718,1,157,1,1909,149,245,152,1,2,51,255,2,152,149,1,157,Borussia Dortmund,1,0,-1,1,212194,0,9,-1,65,0,2,4,0,9,1,0,81365,12,1,141,34,0,1,80,1,83,82,84,7,1,83,1,-1,81,1,0,0,212194,131716,3,212194,0,0,1,0,5,4,212194,8,22,0,164484,0,0,0,212194,1,0,212194,0,8,0,4,0,81,113,7,1,215441,0,212194,2,8,0,0,366,0,-1,263300,84
23,1,1,303790,255,1,255,1900,1,122,255,1,2,51,185,2,1,255,255,255,Borussia M'gladbach,41,0,-1,1,220876,0,5,-1,50,0,2,4,0,7,1,0,54042,0,1,322,31,0,1,76,1,76,77,76,6,2,75,1,-1,74,1,0,0,220876,263170,3,220876,0,0,0,0,3,3,220876,7,23,2,4218882,0,0,0,222028,0,0,239367,0,5,0,4,0,75,113,8,1,222028,0,239367,2,5,0,0,366,0,-1,528386,77
25,1,228,288210,1,1,1,1904,220,255,1,43,2,48,255,2,1,220,1,1,SC Freiburg,255,0,-1,1,212096,4,4,-1,50,0,2,4,0,4,0,0,34700,1,1,168,36,0,1,76,1,74,74,73,7,1,76,1,-1,78,1,0,0,212096,262658,1,212096,0,0,0,0,0,3,212096,10,25,0,4194818,0,0,0,209846,0,0,212096,0,0,0,4,0,76,113,7,1,212096,0,212096,2,4,0,0,366,0,-1,525314,71
27,110,1,10850,255,235,255,1965,235,255,235,184,1,54,41,1,235,235,255,235,Hansa Rostock,31,0,-1,0,251107,0,10,-1,50,1,2,4,2,3,0,0,29000,5,1,641,110329,0,1,65,1,65,65,65,12,3,65,1,-1,66,1,0,0,251107,270592,1,211982,0,0,0,0,0,3,211982,7,27,0,4215040,0,0,0,262635,1,0,251107,0,0,0,4,0,66,123,7,1,251107,0,251107,2,1,0,0,316,0,-1,526592,65
28,90,1,154410,255,1,255,1887,1,1,1,170,2,53,1,2,1,1,255,1,Hamburger SV,1,0,-1,0,232839,0,9,-1,65,0,2,4,0,6,1,2,57000,11,1,205,110329,0,1,71,1,71,71,72,9,3,69,1,-1,72,1,0,0,232839,139265,3,238068,0,0,1,0,3,3,232839,6,28,0,184321,0,0,0,214948,0,0,238068,0,6,0,4,0,71,115,3,1,236533,0,232839,2,2,0,0,316,0,-1,264193,71
29,1,255,17150,255,210,255,1900,210,153,210,1,1,49,24,1,210,210,255,210,1. FC Kaiserslautern,65,0,-1,0,263089,0,4,-1,50,0,2,4,2,5,0,0,49850,0,1,238,110532,0,1,67,1,68,68,73,7,3,68,1,-1,67,1,0,0,263089,270337,1,216381,0,0,0,0,2,3,263089,7,29,0,4247553,0,0,0,248434,1,0,263089,0,4,0,4,0,68,115,7,1,262119,0,263089,2,1,0,0,316,0,-1,526337,76
31,41,218,104520,255,150,255,1948,150,1,150,28,2,50,1,2,150,150,255,150,1. FC Köln,1,0,-1,0,223633,0,8,-1,65,0,2,4,0,7,0,0,50000,1,1,249,23,0,1,72,1,73,73,71,6,1,70,1,-1,69,1,0,0,223633,131712,3,223633,0,0,0,0,4,2,223633,8,31,0,131712,0,0,0,234727,0,0,223633,0,3,0,4,0,72,115,8,1,240916,0,223633,2,3,0,0,316,0,-1,263296,71
32,1,255,525729,1,210,1,1904,210,255,210,1,3,51,255,3,210,210,1,210,Bayer 04 Leverkusen,255,0,-1,1,210035,0,9,-1,65,0,2,4,0,4,1,0,30210,0,1,277,31,0,1,83,1,83,84,81,7,1,83,1,-1,83,1,0,0,210035,131584,3,210035,0,0,0,0,2,2,256630,7,32,1,164352,0,0,0,190941,0,0,210035,0,1,0,4,0,83,113,2,1,256630,0,210035,2,6,0,0,366,0,-1,263168,83
33,200,145,5580,255,240,255,1899,240,20,240,241,1,48,75,1,240,240,255,240,TSV 1860 München,175,0,-1,0,270014,0,8,-1,50,0,2,4,2,4,0,0,15000,0,1,333,111239,0,1,66,1,63,63,65,11,2,63,1,-1,64,1,0,0,238793,263184,1,238793,0,0,0,0,2,4,238793,9,33,0,4202512,0,0,0,238779,1,0,270014,0,1,0,4,0,65,123,6,1,270014,0,270014,2,1,0,0,316,0,-1,528400,64
34,75,1,156090,255,180,255,1904,180,13,180,156,1,51,70,1,180,180,255,180,FC Schalke 04,223,0,-1,1,243887,0,10,-1,50,0,2,4,0,7,1,0,62271,3,1,178,22,0,1,69,1,69,69,70,7,2,67,1,-1,67,1,0,0,243887,263169,3,243887,0,0,0,0,5,1,221885,9,34,1,4202497,0,0,0,212240,0,0,221885,0,7,0,4,0,69,115,10,1,212240,0,243887,2,3,0,0,316,0,-1,528385,71
36,255,255,314020,41,30,211,1893,210,1,255,255,2,48,1,2,30,255,1,255,VfB Stuttgart,1,0,-1,1,250959,4,6,-1,65,0,2,4,0,7,0,0,60449,24,1,466,25,0,1,77,1,77,78,76,9,1,76,1,-1,75,1,0,0,250959,131585,1,250959,0,0,0,0,3,3,250959,8,36,0,164353,0,0,0,239096,0,0,250959,0,5,0,4,0,76,113,7,1,238900,0,250959,2,4,0,0,366,0,-1,263169,75
38,129,1,179400,255,255,255,1899,255,1,255,73,2,53,81,2,255,255,255,255,Werder Bremen,52,0,-1,1,197031,0,4,-1,50,0,2,4,0,7,1,0,42100,25,1,70,28,0,1,75,1,74,74,77,8,2,73,1,-1,73,1,0,0,197031,263296,3,197031,0,0,0,0,6,2,197031,6,38,0,4202624,0,0,0,237595,0,0,197031,0,4,0,4,0,74,113,7,1,197031,0,197031,2,3,0,0,366,0,-1,528512,77
45,250,250,1800450,30,25,30,1897,25,248,25,250,2,45,151,2,25,25,30,25,Juventus,170,0,-1,0,246430,0,10,-1,30,0,2,3,0,10,0,0,41507,0,1,485,54,0,1,78,1,80,79,82,7,2,78,1,-1,77,1,0,0,240679,4195392,1,277954,0,0,2,0,15,4,240679,9,45,3,581696,0,0,0,266872,0,0,246430,0,36,0,4,0,80,136,2,1,246430,0,246430,2,8,0,0,366,0,-1,528448,82
48,69,40,660000,250,69,250,1926,40,40,163,163,2,40,116,2,163,40,250,69,Napoli,192,0,-1,0,216409,0,9,-1,90,0,1,4,0,8,0,0,60240,49,1,338,45,0,1,79,1,80,80,82,14,3,80,1,-1,79,1,0,0,216435,69764,2,216409,0,0,0,0,6,4,247635,1,48,1,67716,0,0,0,217870,1,0,247635,0,3,0,4,0,80,136,1,1,192505,0,216409,2,7,0,0,366,0,-1,133252,83
50,212,255,75000,145,250,9,1913,250,250,250,0,2,44,250,2,250,250,48,250,Parma,250,0,-1,0,240992,0,5,-1,65,0,2,4,0,6,0,0,22352,0,1,653,189,0,1,73,1,72,72,74,10,1,71,1,-1,72,1,0,0,239978,131592,1,239978,0,0,0,0,3,2,239978,7,50,2,164360,0,0,0,240992,1,0,252794,0,0,0,4,0,73,136,6,1,239978,0,240992,2,3,0,0,316,0,-1,263176,76
52,0,102,660000,0,250,255,1927,250,250,250,0,2,41,250,2,250,250,142,250,Roma,250,0,-1,0,211110,0,8,-1,50,0,1,4,0,8,1,0,70634,0,1,408,115841,0,1,80,1,79,79,84,12,1,79,2,-1,80,1,0,0,228251,262724,1,228251,0,0,0,0,9,3,228251,4,52,0,4244036,0,0,0,228251,0,0,211110,0,3,0,4,1,80,136,9,1,211110,0,211110,2,7,0,0,366,0,-1,525380,84
54,30,122,180000,250,29,250,1906,124,150,35,35,2,45,30,2,35,124,250,29,Torino,55,0,-1,0,258683,0,6,-1,30,0,1,4,0,6,0,0,27958,0,1,485,45,0,1,76,1,76,76,76,7,3,75,1,-1,74,1,0,0,258683,4198408,1,258683,0,0,0,0,5,2,258683,6,54,0,542728,0,0,0,211408,1,0,258683,0,7,0,4,0,76,136,5,1,226093,0,258683,2,4,0,0,366,0,-1,526344,75
55,30,30,130000,250,30,250,1896,30,196,30,30,2,46,160,2,30,30,250,30,Udinese,64,0,-1,0,204970,0,3,-1,50,0,2,4,0,3,0,0,25144,8,1,499,48,0,1,72,1,73,72,72,13,2,71,1,-1,73,1,0,0,204970,263176,1,204970,0,0,0,0,0,2,204970,6,55,0,4218888,0,0,0,204970,0,0,204970,0,0,0,4,0,73,136,7,1,204970,0,204970,2,3,0,0,316,0,-1,528392,73
57,112,32,65000,250,1,250,1905,1,1,1,184,1,47,116,1,1,1,250,1,AJ Auxerre,175,0,-1,0,240787,4,2,-1,50,0,2,4,0,4,0,0,18541,0,1,29,1530,0,1,71,3,71,71,70,3,3,72,1,-1,72,0,0,0,240787,270465,0,240787,0,0,0,0,4,2,240787,5,57,0,4198529,0,0,0,217565,0,0,240787,0,1,0,4,0,71,100,8,1,217565,0,240787,2,1,0,0,316,0,-1,526465,70
58,54,34,20000,250,97,250,1905,97,0,97,123,1,42,103,1,97,97,250,97,SC Bastia,206,0,-1,0,269293,4,5,-1,50,0,1,4,0,3,0,0,16078,0,1,42,614,0,1,67,3,66,66,63,9,2,64,1,-1,63,1,0,0,269293,263232,0,255174,0,0,0,0,1,2,269293,2,58,0,4202560,0,0,1,178363,0,0,269293,0,0,0,4,0,66,103,9,1,276020,0,269293,2,1,0,0,316,0,-1,528448,63
62,1,222,40000,1,1,1,1912,1,250,1,23,1,48,250,1,1,1,1,1,En Avant Guingamp,250,0,-1,0,225174,4,7,-1,50,0,2,4,0,3,0,0,18462,0,1,201,378,0,1,67,3,68,69,65,-3,2,67,1,-1,66,0,0,0,225174,263170,1,225174,0,0,0,0,2,2,225174,5,62,0,4235266,0,0,0,212735,0,0,225174,0,0,0,4,0,66,103,6,1,261758,0,225174,2,1,0,0,316,0,-1,528386,67
64,1,184,160000,1,1,255,1906,1,182,1,28,2,50,25,2,1,1,213,1,RC Lens,44,0,-1,0,220837,4,6,-1,90,1,1,4,0,6,0,0,38223,18,1,274,65,0,1,75,1,76,74,76,2,2,78,1,-1,78,1,0,0,220837,66688,1,226789,0,0,0,0,0,1,226789,2,64,0,123008,0,0,0,204883,1,0,220837,0,1,0,4,0,76,100,5,1,240452,0,220837,2,4,0,0,366,0,-1,135296,75
65,30,224,220000,106,1,36,1944,1,250,1,20,2,50,250,2,1,1,32,1,LOSC Lille,250,0,-1,0,239763,4,6,-1,65,0,1,4,0,5,0,0,50186,13,1,279,64,0,1,76,1,78,77,82,3,1,75,1,-1,75,1,0,0,239763,131592,1,239763,0,0,0,0,6,1,239763,7,65,0,164360,0,0,0,190674,0,0,239763,0,4,0,4,0,77,100,5,1,243630,0,239763,2,4,0,0,366,0,-1,263176,82
66,250,250,500000,127,250,19,1950,250,180,250,250,2,45,1,2,250,250,56,250,Olympique Lyonnais,1,0,-1,0,193301,4,7,-1,50,1,1,4,0,7,0,0,59186,0,1,293,1819,0,1,78,1,77,77,77,4,1,76,1,-1,76,1,0,0,193301,262658,3,251570,0,0,0,0,5,2,251570,9,66,0,4227586,0,0,0,193301,0,0,193301,0,7,0,4,0,77,100,4,1,193301,0,193301,2,4,0,0,366,0,-1,525314,78
67,0,255,12500,1,255,255,1921,255,0,255,0,1,43,0,1,255,255,213,255,FC Martigues,0,0,-1,0,274550,4,1,-1,30,0,1,4,0,1,0,0,8289,0,1,950,614,0,1,63,1,62,62,65,5,2,63,1,-1,63,0,0,0,274550,4195392,0,276028,0,0,0,0,0,1,276028,3,67,0,532544,0,0,0,72341,1,0,274550,0,0,0,4,0,63,103,9,1,239211,0,274550,2,1,0,0,316,0,-1,528448,65
68,5,99,58000,250,1,250,1932,1,112,1,5,1,49,14,1,1,1,250,1,FC Metz,29,0,-1,0,234239,4,10,-1,65,0,1,4,0,3,0,0,24985,0,1,313,76,0,1,70,3,69,70,71,6,2,69,1,-1,69,1,0,0,234239,132224,1,234239,0,0,0,0,2,2,234239,5,68,0,172160,0,0,0,229236,0,0,234239,0,0,0,4,0,70,103,5,1,275372,0,234239,2,1,0,0,316,0,-1,266368,72
69,30,224,500000,250,1,250,1924,1,250,1,35,2,43,33,2,1,1,250,1,AS Monaco,64,0,-1,0,225663,4,8,-1,65,0,1,4,0,6,0,0,18523,1,1,321,72,0,1,77,1,77,78,77,7,1,77,1,-1,77,0,0,0,225663,131718,0,225663,0,0,0,0,5,2,225663,6,69,0,180870,0,0,0,229261,0,0,225663,0,8,0,4,0,77,100,5,1,226627,0,225663,2,5,0,0,366,0,-1,263302,76
70,90,1,105000,38,1,244,1974,1,250,1,148,2,43,250,2,1,1,148,1,Montpellier HSC,250,0,-1,0,205686,4,3,-1,30,0,2,4,0,3,0,0,22000,0,1,326,219,0,1,74,3,73,74,73,3,3,72,1,-1,72,1,0,0,205686,4202496,1,205686,0,0,0,0,2,2,205686,8,70,0,528384,0,0,0,205686,0,0,205686,0,1,0,4,0,74,100,8,1,205686,0,205686,2,1,0,0,366,0,-1,526336,72
71,220,255,110000,44,1,1,1943,1,254,1,17,2,47,221,2,1,1,87,1,FC Nantes,57,0,-1,0,260478,4,3,-1,30,0,2,4,0,5,0,0,35322,18,1,337,74,0,1,73,3,71,71,73,-1,3,71,1,-1,72,1,0,0,260478,4202753,1,260478,0,0,0,0,4,8,260478,5,71,0,577793,0,0,0,224019,1,0,260478,0,8,0,4,0,73,100,6,1,254247,0,260478,2,1,0,0,316,0,-1,526593,73
72,1,204,220000,1,1,1,1904,1,201,1,1,2,43,18,2,1,1,1,1,OGC Nice,27,0,-1,0,224422,4,6,-1,65,1,2,4,0,4,0,0,35596,0,1,344,69,0,1,77,3,76,77,76,7,1,75,1,-1,75,1,0,0,224422,131722,1,224422,0,0,0,0,3,2,224422,2,72,0,180874,0,0,0,158625,0,0,239093,0,4,0,4,0,76,100,5,1,256476,0,239093,2,4,0,0,366,0,-1,263306,76
73,62,1,3546004,41,62,200,1970,1,250,116,116,3,48,250,3,116,1,42,62,Paris Saint-Germain,250,0,-1,0,235212,4,10,-1,65,0,2,4,0,10,1,0,47929,0,1,373,219,0,1,81,1,83,83,82,2,1,83,1,-1,82,1,0,0,235212,131716,3,231443,0,0,0,0,15,3,231443,5,73,0,164484,0,0,0,207865,1,0,235212,0,12,0,4,0,82,100,1,1,255253,0,235212,2,9,0,0,366,0,-1,263300,81
74,24,202,180000,1,1,1,1901,1,250,1,10,2,48,250,2,1,1,1,1,Stade Rennais,250,0,-1,0,256949,4,6,-1,65,0,1,4,0,5,0,0,29164,0,1,400,71,0,1,75,1,74,74,76,-1,1,71,1,-1,73,1,0,0,256949,131588,1,231102,0,0,0,0,3,4,231102,10,74,0,164356,0,0,0,163705,1,0,256949,0,0,0,4,0,75,100,4,1,231102,0,256949,2,4,0,0,366,0,-1,263172,75
76,102,51,110000,250,182,250,1906,182,1,182,204,2,48,159,2,182,182,250,182,RC Strasbourg,227,0,-1,0,250789,4,4,-1,65,0,2,4,0,5,0,0,26109,3,1,564,68,0,1,73,3,72,72,73,7,1,70,1,-1,71,1,0,0,250789,131586,1,250789,0,0,0,0,3,6,250789,6,76,0,147970,0,0,0,264293,0,0,250789,0,1,0,4,0,72,100,6,1,258437,0,250789,2,1,0,0,316,0,-1,263170,73
77,0,240,7500,255,0,255,1903,240,255,0,0,1,57,0,1,0,240,255,0,Aberdeen,0,0,-1,0,225872,0,8,-1,50,0,2,4,0,5,0,0,20866,1,0,3,86,0,1,69,1,67,68,68,-2,2,65,0,-1,66,0,0,0,225872,263424,0,225872,0,0,0,0,7,1,225872,7,77,0,4251904,0,0,1,200302,0,0,225872,0,4,0,3,0,67,173,4,0,225872,0,225872,2,3,0,0,316,0,-1,528640,67
78,135,1,80000,255,90,255,1888,25,8,25,73,2,55,123,2,25,25,255,90,Celtic,16,0,-1,0,263439,4,10,-1,65,0,2,4,0,8,0,0,60411,0,1,186,86,0,1,75,1,74,75,75,-4,1,73,1,-1,74,0,0,0,263439,131732,0,263439,0,0,1,0,42,2,263439,5,78,0,164500,0,0,0,211093,0,0,263439,0,54,0,3,0,75,173,1,0,263439,0,263439,2,6,0,0,366,0,-1,263316,75
80,0,120,9500,255,12,255,1874,80,80,35,41,1,55,12,1,35,80,255,12,Heart of Midlothian,35,0,-1,0,219177,0,8,-1,65,0,1,4,0,6,0,0,20099,0,2,148,81,0,2,69,1,68,67,71,-3,1,65,0,-1,68,0,0,0,219177,131732,0,209729,0,0,0,0,8,2,219177,4,80,0,148116,0,0,0,216218,1,0,219177,0,4,0,3,0,69,173,5,0,216218,0,219177,2,4,0,0,316,0,-1,263316,70
