chestbadge,shortsnumberplacementcode,shortsnumbercolorprimg,teamcolorsecb,shortsrenderingdetailmaptype,jerseyfrontnumberplacementcode,jerseynumbercolorsecr,jerseynumbercolorprimr,jerseynumbercolorprimg,shortsnumbercolorsecb,teamcolorprimg,shortsnumbercolorterb,shortsnumbercolorprimr,teamcolortertb,jerseynumbercolorterg,jerseynameoutlinecolorr,shortsnumbercolorprimb,jerseynamelayouttype,jerseynumbercolorterr,jerseyrightsleevebadge,jerseynumbercolorprimb,jerseyshapestyle,jerseybacknameplacementcode,teamcolorprimr,jerseynamecolorg,jerseyleftsleevebadge,jerseynameoutlinecolorb,teamcolorsecg,shortsnumbercolorsecg,teamcolortertr,jerseynumbercolorsecg,renderingmaterialtype,shortsnumbercolorterr,teamcolorsecr,jerseycollargeometrytype,shortsnumbercolorterg,jerseynamecolorr,teamcolorprimb,jerseyrenderingdetailmaptype,jerseynameoutlinecolorg,jerseynumbercolorsecb,jerseynamecolorb,jerseynumbercolorterb,teamcolortertg,shortsnumbercolorsecr,jerseybacknamefontcase,teamkittypetechid,powid,isinheritbasedetailmap,islocked,numberfonttype,jerseynamefonttype,teamkitid,teamcolorprimpercent,teamcolorsecpercent,year,captainarmband,teamtechid,isembargoed,hasadvertisingkit,jerseynameoutlinewidth,dlc,teamcolortertpercent,armbandtype,shortsnumberfonttype,shortstyle,jerseyfit,jerseyrestriction
0,1,220,151,0,0,220,220,220,220,98,12,220,150,12,12,220,0,12,13,220,0,1,8,220,0,12,43,220,23,220,0,12,23,7,12,220,229,0,12,220,220,12,42,220,0,2,-1,0,0,262,135,3999,85,12,0,13,14,0,1,2,0,97,1,262,0,0,0
0,1,12,110,0,0,220,220,220,25,53,220,12,72,12,12,12,0,12,13,220,0,1,46,220,0,12,122,25,45,220,0,220,201,7,220,220,72,0,12,220,220,12,53,25,0,3,-1,0,0,262,135,7211,83,11,0,13,14,0,1,2,0,94,1,265,0,0,1
0,1,0,117,0,0,220,197,0,220,231,220,197,232,220,197,46,1,220,14,46,0,1,231,0,0,46,56,220,232,220,0,220,7,0,220,197,231,0,0,220,46,220,232,220,0,0,-1,0,0,23,49,637,62,35,0,14,15,0,1,0,0,98,1,89,0,0,0
0,1,147,70,0,0,220,178,147,220,31,220,178,30,220,178,64,1,220,14,64,0,1,31,147,0,64,77,220,30,220,0,220,62,5,220,178,31,0,147,220,64,220,30,220,0,1,-1,0,0,23,49,638,91,5,0,14,15,0,1,0,0,99,0,89,0,0,0
0,1,114,31,0,0,220,144,114,220,21,220,144,33,220,144,75,1,220,14,75,0,1,118,114,0,75,21,220,121,220,0,220,118,0,220,144,31,0,114,220,75,220,21,220,0,2,-1,0,0,23,49,4388,99,99,0,14,15,0,1,0,0,99,0,89,0,0,0
0,1,220,228,0,0,25,12,12,220,15,12,220,26,220,220,220,1,220,13,12,0,1,176,12,0,220,228,220,26,25,0,12,229,0,12,12,43,0,220,25,12,220,26,220,0,0,-1,0,0,265,135,639,76,20,0,13,17,0,1,2,0,96,0,262,0,0,0
0,1,220,230,0,0,25,12,12,205,230,12,220,135,220,220,220,1,220,13,12,0,1,230,12,0,220,230,220,0,25,0,12,230,0,12,12,230,0,220,25,12,220,139,220,0,1,-1,0,0,265,135,640,97,97,0,13,17,0,1,2,0,96,0,262,0,0,0
0,1,12,23,0,0,25,12,12,25,29,220,12,26,220,220,12,1,220,13,12,0,1,29,12,0,220,178,25,26,25,0,220,251,0,220,12,29,0,220,25,12,220,26,25,0,2,-1,0,0,265,135,4676,85,9,0,13,17,0,1,2,0,96,0,265,0,0,0
0,1,12,62,0,0,220,220,220,25,79,220,12,32,12,12,12,1,12,13,220,0,1,65,220,0,12,79,25,33,220,0,220,65,0,220,220,62,0,12,220,220,12,42,25,0,3,-1,0,0,262,135,5754,97,97,0,13,17,0,1,2,0,98,0,265,0,0,0
0,1,220,81,0,0,33,28,30,220,228,12,220,79,220,220,220,0,220,13,77,0,1,228,30,0,220,44,220,21,41,0,12,27,0,12,28,228,0,220,99,77,220,39,220,0,0,-1,0,0,265,135,1372,64,33,0,13,18,0,0,2,0,94,1,262,0,0,1
0,1,30,220,0,0,33,28,30,99,151,220,28,207,220,220,77,0,220,13,77,0,1,136,30,0,220,186,41,163,41,0,220,173,7,220,28,205,0,220,99,77,220,175,33,0,1,-1,0,0,265,135,1373,61,20,0,13,18,0,0,2,0,88,0,265,0,0,1
0,1,12,37,0,0,25,12,12,25,170,220,12,37,220,220,12,0,220,13,12,0,1,253,12,0,220,216,25,254,25,0,220,254,0,220,12,37,0,220,25,12,220,170,25,0,2,-1,0,0,265,135,1774,62,36,0,13,18,0,0,2,0,60,0,265,0,0,0
0,1,220,26,0,0,220,220,220,220,112,12,220,115,12,12,220,0,12,13,220,0,1,123,220,0,12,22,220,127,220,0,12,20,26,12,220,112,0,12,220,220,12,115,220,0,3,-1,0,0,262,135,3214,84,14,0,13,18,0,0,2,0,77,1,262,0,0,1
0,1,12,211,0,0,220,220,220,25,41,220,12,230,12,12,12,1,12,13,220,0,1,119,220,0,12,182,25,230,220,0,220,160,0,220,220,62,0,12,220,220,12,230,25,0,0,-1,0,0,262,135,1374,72,25,0,13,19,0,1,2,0,100,0,265,0,0,0
0,1,220,63,0,0,220,220,220,220,31,12,220,30,12,12,220,1,12,13,220,0,1,31,220,0,12,46,220,30,220,0,12,110,7,12,220,31,0,12,220,220,12,30,220,0,1,-1,0,0,262,135,1375,92,5,0,13,19,0,1,2,0,97,0,262,0,0,0
0,1,220,59,0,0,220,220,220,220,71,12,220,64,12,12,220,1,12,13,220,0,1,42,220,0,12,71,220,46,220,0,12,42,0,12,220,59,0,12,220,220,12,78,220,0,2,-1,0,0,262,135,1775,98,98,0,13,19,0,1,2,0,100,0,262,0,0,0
0,1,220,96,0,0,25,12,12,220,56,12,220,127,220,220,220,1,220,13,12,0,1,35,12,0,220,56,220,34,25,0,12,35,9,12,12,96,0,220,25,12,220,62,220,0,3,-1,0,0,265,135,5759,95,95,0,13,19,0,1,2,0,99,1,262,0,0,0
0,1,20,45,0,0,196,45,20,36,27,36,45,50,20,0,36,0,45,19,36,0,1,177,20,0,0,27,20,199,37,0,45,177,7,20,45,45,0,0,49,36,36,38,45,0,0,-1,0,0,272,129,1376,97,97,0,0,21,0,0,0,0,100,0,272,0,0,0
0,1,86,142,0,0,12,138,86,68,30,68,138,30,86,0,68,0,138,19,68,0,1,30,86,0,0,62,86,30,12,0,138,134,0,86,138,30,0,0,12,68,68,30,138,0,1,-1,0,0,272,129,1377,90,7,0,0,21,0,0,0,0,96,0,272,0,0,0
0,1,72,98,0,0,146,223,72,25,217,25,223,29,72,0,25,0,223,19,25,0,1,211,72,0,0,177,72,212,190,0,223,244,7,72,223,37,0,0,75,25,25,218,223,0,2,-1,0,0,272,129,1378,79,7,0,0,21,0,0,0,0,97,1,272,0,0,0
0,1,32,222,0,0,236,96,32,42,235,42,96,54,32,0,42,0,96,19,42,0,1,236,32,0,0,235,32,83,235,0,96,236,11,32,96,222,0,0,222,42,42,46,96,0,3,-1,0,0,1,8,1379,96,96,0,0,21,0,0,0,0,97,1,1,3,0,0
0,1,210,30,0,0,12,12,12,0,204,0,253,30,210,0,0,0,253,19,12,0,1,249,12,0,0,31,210,30,12,0,253,31,0,210,12,12,0,0,12,12,0,30,253,0,0,-1,0,0,222,144,1380,67,30,0,100,22,0,0,0,0,96,0,222,0,0,1
0,1,201,53,0,0,12,235,201,37,14,37,235,24,201,0,37,0,235,19,37,0,1,14,201,0,0,53,201,24,12,0,235,54,0,201,235,14,0,0,12,37,37,24,235,0,1,-1,0,0,222,144,1381,83,9,0,100,22,0,0,0,0,99,0,222,0,0,1
0,1,12,29,0,0,12,12,12,12,115,12,12,96,209,12,12,0,244,19,12,0,1,244,12,0,12,30,12,243,12,0,12,31,0,12,12,97,0,12,12,12,38,115,12,0,2,-1,0,0,222,144,1776,90,7,0,100,22,0,0,0,0,96,1,222,0,0,0
0,1,12,6,0,0,12,12,12,12,184,12,12,12,210,0,12,0,253,19,12,0,1,226,12,0,0,140,12,231,12,0,12,167,9,12,12,9,0,0,12,12,0,186,12,0,3,-1,0,0,222,144,1777,72,12,0,100,22,0,0,0,0,99,0,222,0,0,1
0,1,12,87,0,0,12,12,12,12,232,12,12,231,12,12,12,0,12,19,12,0,1,232,12,0,12,121,12,231,12,0,12,49,0,12,12,232,0,12,12,12,12,231,12,0,0,-1,0,0,275,141,1382,81,12,0,0,23,0,0,0,0,96,1,275,0,0,1
0,1,220,230,0,0,220,220,220,220,121,220,220,89,220,220,220,0,220,19,220,0,1,47,220,0,220,230,220,49,220,0,220,230,7,220,220,87,0,220,220,220,220,122,220,0,1,-1,0,0,275,141,1383,85,8,0,0,23,0,0,0,0,95,0,275,0,0,1
0,1,12,147,0,0,12,12,12,12,211,12,12,183,12,12,12,0,12,19,12,0,1,218,12,0,12,175,12,211,12,0,12,193,0,12,12,193,0,12,12,12,12,202,12,0,2,-1,0,0,275,141,1778,83,9,0,0,23,0,0,0,0,97,0,275,0,0,1
0,1,148,231,0,0,144,144,148,149,30,149,144,29,148,144,149,0,144,19,149,0,1,30,148,0,149,231,148,29,148,0,144,231,0,148,144,30,0,148,149,149,149,29,144,0,3,-1,0,0,275,141,3681,70,28,0,0,23,0,0,0,0,99,0,275,0,0,1
0,1,220,232,0,0,220,220,220,220,39,220,220,18,220,220,220,0,220,19,220,0,1,201,220,0,220,232,220,202,220,0,220,232,0,220,220,18,0,220,220,220,220,40,220,1,0,-1,0,0,2,17,641,76,20,0,0,25,0,0,0,0,100,0,2,0,0,0
0,1,31,165,0,0,205,205,31,36,30,36,205,30,31,205,36,0,205,19,36,0,1,30,31,0,36,154,31,30,31,0,205,142,0,31,205,30,0,31,36,36,36,30,205,1,1,-1,0,0,2,17,4714,76,20,0,0,25,0,0,0,0,100,0,2,0,0,0
0,1,12,119,0,0,12,12,12,12,219,12,12,88,12,12,12,0,12,19,12,0,1,206,12,0,12,219,12,199,12,0,12,206,0,12,12,119,0,12,12,12,12,215,12,1,2,-1,0,0,2,17,4688,97,97,0,0,25,0,0,0,0,99,1,2,0,0,0
0,1,220,231,0,0,220,220,220,220,231,220,220,231,220,220,220,0,220,19,220,0,1,231,220,0,220,231,220,231,220,0,220,231,0,220,220,231,0,220,220,220,220,231,220,1,3,-1,0,0,2,17,642,95,95,0,0,25,0,0,0,0,99,0,2,0,0,0
0,1,115,232,0,0,220,220,220,187,114,187,3,231,220,220,187,0,220,2076,220,0,1,2,220,0,220,231,115,231,220,0,3,229,7,115,220,184,0,220,220,220,220,231,3,0,0,-1,0,0,6,1,643,91,7,0,0,27,0,0,0,0,95,0,6,0,0,0
0,1,220,185,0,0,3,3,115,220,225,220,220,188,115,3,220,0,3,2076,187,0,1,225,115,0,187,115,220,2,115,0,220,0,0,220,3,225,0,115,187,187,187,117,220,0,1,-1,0,0,6,1,644,83,12,0,0,27,0,0,0,0,100,1,6,0,0,0
0,1,158,39,0,0,12,12,12,107,159,107,175,29,40,175,107,0,41,2076,12,0,1,176,12,0,107,39,158,29,12,0,175,40,0,158,12,108,0,158,12,12,40,29,175,0,2,-1,0,0,6,1,4750,66,33,0,0,27,0,0,2,0,80,0,6,0,0,0
0,1,220,31,0,0,12,12,12,220,231,220,220,34,12,12,220,0,12,20,12,0,1,231,12,0,12,30,220,183,12,0,220,30,7,220,12,231,0,12,12,12,12,34,220,0,0,-1,0,0,137,1,1384,64,17,0,0,28,0,0,0,0,94,0,137,0,0,0
0,1,220,72,0,0,220,220,220,220,186,220,220,81,220,220,220,0,220,20,220,0,1,165,220,0,220,50,220,42,220,0,220,40,7,220,220,224,0,220,220,220,220,54,220,0,1,-1,0,0,137,1,1385,85,8,0,0,28,0,0,0,0,94,0,137,0,0,0
0,1,12,48,0,0,12,12,12,12,208,12,12,16,12,12,12,0,12,20,12,0,1,232,12,0,12,39,12,230,12,0,12,65,0,12,12,16,0,12,12,12,12,207,12,0,2,-1,0,0,137,1,1779,85,11,0,0,28,0,0,0,0,97,0,137,0,0,0
