competitionid,hometeamid,matchupid,homepotid,awayteamid
226,231,52,1,80
223,236,53,2,64
224,101016,53,1,2014
226,100325,53,5,918
223,101059,54,2,247
224,25,54,0,417
226,673,54,2,319
223,325,55,3,81
224,9,55,0,15001
226,1906,55,0,837
223,78,56,3,479
224,219,56,0,52
226,1874,56,4,110468
223,246,57,2,900
224,1809,57,1,252
226,896,57,1,112513
223,247,58,2,191
224,101016,58,1,278
226,10032,58,3,1898
223,101059,59,2,11
224,74,59,1,267
226,393,59,3,254
223,115841,60,1,240
224,1884,60,2,48
226,319,60,5,1788
223,234,61,2,232
224,25,61,0,266
226,673,61,2,2
223,21,62,0,10
224,417,62,2,306
226,674,62,1,77
223,38,63,2,457
224,32,63,0,2014
226,263,63,4,327
223,13,64,0,131682
224,324,64,2,711
226,80,64,2,100325
223,115845,65,1,236
224,237,65,1,245
226,897,65,5,310
223,1831,66,1,241
224,1808,66,0,101047
226,211,66,1,1871
223,819,67,3,73
224,1908,67,1,114326
226,65,67,0,918
223,22,68,1,131681
224,449,68,0,744
226,326,68,2,1824
223,64,69,2,1896
224,86,69,1,256
226,1516,69,3,298
223,230,70,3,112172
224,433,70,3,110075
226,710,70,4,1887
223,189,71,1,481
224,483,71,0,209
226,231,71,1,873
223,243,72,0,1
224,19,72,0,114385
226,110374,72,0,100761
223,10,73,0,243
224,209,73,2,245
226,77,73,2,1887
223,13,74,0,21
224,86,74,1,237
226,298,74,3,211
223,189,75,1,230
224,744,75,1,324
226,1516,75,3,674
223,479,76,1,115845
224,256,76,2,110075
226,710,76,4,897
223,234,77,2,38
224,266,77,1,417
226,310,77,5,873
223,236,78,2,112172
224,1808,78,0,1908
226,327,78,2,918
223,247,79,2,22
224,1809,79,1,114385
226,112513,79,1,263
223,1896,80,2,101059
224,74,80,1,15001
226,65,80,0,100325
223,819,81,3,232
224,2014,81,1,48
226,231,81,1,1898
223,81,82,3,115841
224,25,82,0,306
226,896,82,1,110468
223,191,83,2,481
224,483,83,0,433
226,1788,83,4,673
223,1,84,0,246
224,19,84,0,252
226,1906,84,0,393
223,73,85,0,325
224,32,85,0,1884
226,319,85,5,10032
223,900,86,3,240
224,219,86,0,101016
226,326,86,2,80
223,78,87,3,131682
224,114326,87,3,52
226,1871,87,4,1824
223,131681,88,3,1831
224,101047,88,2,278
226,2,88,0,110374
223,241,89,0,11
224,9,89,0,267
226,100761,89,5,254
223,457,90,1,64
224,449,90,0,711
226,1874,90,4,837
223,457,91,1,21
224,74,91,1,449
226,918,91,3,10032
223,325,92,3,236
224,1809,92,1,9
226,1788,92,4,2
223,112172,93,1,189
224,1908,93,1,219
226,263,93,4,110374
223,10,94,0,232
224,744,94,1,1808
226,319,94,5,1898
223,243,95,0,38
224,101016,95,1,19
226,673,95,2,327
223,819,96,3,64
224,417,96,2,209
226,674,96,1,211
223,481,97,0,1896
224,15001,97,3,278
226,100325,97,5,231
223,81,98,3,230
224,114385,98,3,267
226,1824,98,0,310
223,115841,99,1,234
224,114326,99,3,324
226,77,99,2,897
223,78,100,3,246
224,711,100,3,101047
226,110468,100,2,837
223,241,101,0,191
224,433,101,3,256
226,65,101,0,896
223,131682,102,3,22
224,245,102,0,110075
226,873,102,4,80
223,115845,103,1,73
224,32,103,0,48
226,254,103,3,326
223,13,104,0,1831
224,52,104,3,252
226,100761,104,5,112513
223,900,105,3,101059
224,306,105,3,2014
226,298,105,3,1871
223,131681,106,3,247
224,1884,106,2,25
226,393,106,3,1874
223,240,107,1,1
224,483,107,0,237
226,1906,107,0,1887
223,479,108,1,11
224,266,108,1,86
226,1516,108,3,710
223,112172,109,1,81
224,266,109,1,306
223,38,110,2,10
224,267,110,2,219
223,234,111,2,243
224,252,111,2,9
223,236,112,2,73
224,101047,112,2,449
223,64,113,2,21
224,324,113,2,1808
223,246,114,2,13
224,256,114,2,483
223,232,115,3,189
224,417,115,2,32
223,819,116,3,457
224,278,116,2,19
223,325,117,3,115845
224,15001,117,3,101016
223,1896,118,2,115841
224,114326,118,3,744
223,241,119,0,22
224,433,119,3,86
223,230,120,3,481
224,52,120,3,1809
223,191,121,2,131681
224,2014,121,1,1884
223,1,122,0,479
224,25,122,0,245
223,11,123,0,78
224,237,123,1,209
223,240,124,1,101059
224,110075,124,3,711
223,1831,125,1,247
224,1908,125,1,74
223,131682,126,3,900
224,48,126,3,114385
223,234,127,2,189
224,267,127,2,101016
223,64,128,2,115845
224,252,128,2,74
223,101059,129,2,479
224,101047,129,2,744
223,246,130,2,240
224,324,130,2,1908
223,191,131,2,1831
224,209,131,2,86
223,325,132,3,21
224,256,132,2,237
223,78,133,3,1
224,417,133,2,2014
223,900,134,3,11
224,278,134,2,1809
223,131682,135,3,241
224,15001,135,3,219
223,81,136,3,10
224,114385,136,3,9
223,112172,137,1,1896
224,114326,137,3,449
223,22,138,1,457
224,711,138,3,1808
223,236,139,2,819
224,433,139,3,245
223,73,140,0,481
224,110075,140,3,483
223,13,141,0,247
224,48,141,3,25
223,230,142,3,131681
224,52,142,3,19
223,232,143,3,38
224,266,143,1,32
223,115841,144,1,243
224,306,144,3,1884
