stadiumname,swapcrowdplacement,stadiumid,teamid,forcedhome
Estadio de las Artes,0,158,487,0
Estadio de las Artes,0,158,489,0
Estadio de las Artes,0,158,492,0
Estadio de las Artes,0,158,503,0
Estadio de las Artes,0,158,506,0
Estadio de las Artes,0,158,517,0
Estadio de las Artes,0,158,523,0
Estadio de las Artes,0,158,526,0
Estadio de las Artes,0,158,531,0
Estadio de las Artes,0,158,537,0
Estadio de las Artes,0,158,543,0
Estadio de las Artes,0,158,563,0
Estadio de las Artes,0,158,567,0
Estadio de las Artes,0,158,568,0
Estadio de las Artes,0,158,573,0
Estadio de las Artes,0,158,576,0
Estadio de las Artes,0,158,580,0
Estadio de las Artes,0,158,598,0
King Fahd Stadium,0,262,605,0
King Abdullah Sports City,1,345,607,0
Estadio de las Artes,0,158,614,0
Estadio de las Artes,0,158,631,0
Estadio de las Artes,0,158,634,0
Estadio de las Artes,0,158,670,0
Estadio de las Artes,0,158,673,0
Estadio de las Artes,0,158,674,0
Estadio de las Artes,0,158,675,0
Estadio de las Artes,0,158,680,0
Estadio de las Artes,0,158,681,0
Estadio de las Artes,0,158,687,0
Estadio de las Artes,0,158,688,0
Red Bull Arena (New Jersey),0,430,689,0
Estadio de las Artes,0,158,691,0
Estadio de las Artes,0,158,693,0
Estadio de las Artes,0,158,694,0
Estadio de las Artes,0,158,695,0
Estadio de las Artes,0,158,696,0
Dignity Health Sports Park,0,161,697,0
Estadio de las Artes,0,158,698,0
Estadio de las Artes,0,158,700,0
Estadio de las Artes,0,158,702,0
Estadio de las Artes,0,158,708,0
Estadio de las Artes,0,158,710,0
Estadio de las Artes,0,158,711,0
Estadio de las Artes,0,158,718,0
Estadio de las Artes,0,158,741,0
Estadio de las Artes,0,158,744,0
Estadio de las Artes,0,158,748,0
Estadio de las Artes,0,158,753,0
Estadio de las Artes,0,158,819,0
Estadio de las Artes,0,158,820,0
Estadio de las Artes,0,158,822,0
Estadio de las Artes,0,158,834,0
Estadio de las Artes,0,158,837,0
Estadio de las Artes,0,158,873,0
Estadio de las Artes,0,158,894,0
Estadio de las Artes,0,158,896,0
Estadio de las Artes,0,158,897,0
Estadio de las Artes,0,158,898,0
Estadio de las Artes,0,158,900,0
Estadio de las Artes,0,158,918,0
Estadio de las Artes,0,158,919,0
Estadio de las Artes,0,158,922,0
Estadio de las Artes,0,158,980,0
Estadio de las Artes,0,158,982,0
Estadio de las Artes,0,158,1013,0
Estadio de las Artes,0,158,1035,0
Estadio de las Artes,0,158,1039,0
Estadio de las Artes,0,158,1041,0
Estadio de las Artes,0,158,1043,0
Estadio de las Artes,0,158,1048,0
Wembley Stadium,0,155,1318,0
Estadio de las Artes,0,158,1328,0
Estadio de las Artes,0,158,1330,0
Estadio de las Artes,0,158,1331,0
Estadio de las Artes,0,158,1334,0
Orange Vélodrome,0,29,1335,0
Deutsche Bank Park,0,416,1337,0
Estadio de las Artes,0,158,1341,0
Estadio de las Artes,0,158,1343,0
Estadio de las Artes,0,158,1352,0
Estadio de las Artes,0,158,1353,0
Estádio do SL Benfica,0,457,1354,0
Estadio de las Artes,0,158,1355,0
Estadio de las Artes,0,158,1356,0
Estadio de las Artes,0,158,1359,0
Cívitas METROPOLITANO,0,364,1362,0
Estadio de las Artes,0,158,1363,0
Estadio de las Artes,0,158,1366,0
Cardiff City Stadium,0,334,1367,0
La Bombonera,0,264,1369,0
Estadio de las Artes,0,158,1386,0
Dignity Health Sports Park,0,161,1387,0
Estadio de las Artes,0,158,1438,0
Estadio de las Artes,0,158,1439,0
Estadio de las Artes,0,158,1443,0
Estadio de las Artes,0,158,1447,0
Estadio de las Artes,0,158,1456,0
Estadio de las Artes,0,158,1463,0
Estadio de las Artes,0,158,1473,0
Estadio de las Artes,0,158,1474,0
Estadio de las Artes,0,158,1477,0
Estadio de las Artes,0,158,1478,0
Estadio de las Artes,0,158,1480,0
Estadio de las Artes,0,158,1516,0
Estadio de las Artes,0,158,1530,0
Estadio de las Artes,0,158,1571,0
Estadio de las Artes,0,158,1572,0
Estadio de las Artes,0,158,1629,0
Estadio de las Artes,0,158,1704,0
Estadio de las Artes,0,158,1713,0
Estadio de las Artes,0,158,1738,0
Estadio de las Artes,0,158,1744,0
Estadio de las Artes,0,158,1745,0
Estadio de las Artes,0,158,1746,0
Estadio de las Artes,0,158,1750,0
Estadio de las Artes,0,158,1756,0
Estadio de las Artes,0,158,1757,0
Estadio de las Artes,0,158,1786,0
Estadio de las Artes,0,158,1787,0
Estadio de las Artes,0,158,1788,0
Fratton Park,0,112,1790,0
Carrow Road,0,329,1792,0
Estadio de las Artes,0,158,1793,0
Bramall Lane,0,433,1794,0
Vicarage Road,0,347,1795,0
Turf Moor,0,336,1796,0
Estadio de las Artes,0,158,1797,0
Estadio de las Artes,0,158,1798,0
Selhurst Park,0,330,1799,0
Coventry Building Society Arena,0,497,1800,0
Estadio de las Artes,0,158,1801,0
Estadio de las Artes,0,158,1802,0
Estadio de las Artes,0,158,1803,0
Estadio de las Artes,0,158,1804,0
Estadio de las Artes,0,158,1805,0
Stoke City FC Stadium,0,331,1806,0
Estadio de las Artes,0,158,1807,0
American Express Stadium,0,340,1808,0
Estadio de las Artes,0,158,1809,0
Estadio de las Artes,0,158,1814,0
Estadio de las Artes,0,158,1815,0
Estadio de las Artes,0,158,1816,0
Estadio de las Artes,0,158,1819,0
Deutsche Bank Park,0,416,1824,0
Estadio de las Artes,0,158,1826,0
Stadion An der Alten Försterei,0,438,1831,0
Estadio de las Artes,0,158,1832,0
Estadio de las Artes,0,158,1837,0
Estadio de las Artes,0,158,1842,0
Estadio de las Artes,0,158,1843,0
Estadio de las Artes,0,158,1848,0
Estadio Ciutat de València,0,396,1853,0
Estadio de las Artes,0,158,1854,0
Coliseum,0,390,1860,0
Power Horse Stadium,0,481,1861,0
Estadio de las Artes,0,158,1862,0
Estadio de las Artes,0,158,1867,0
Estadio de las Artes,0,158,1871,0
Estadio de las Artes,0,158,1874,0
Mâs Monumental,0,344,1876,0
La Bombonera,0,264,1877,0
Estadio de las Artes,0,158,1884,0
Estadio de las Artes,0,158,1886,0
Estadio de las Artes,0,158,1887,0
Estadio de las Artes,0,158,1888,0
Estadio de las Artes,0,158,1891,0
Estadio de las Artes,0,158,1896,0
Estadio de las Artes,0,158,1898,0
Estadio de las Artes,0,158,1900,0
Estadio de las Artes,0,158,1903,0
Estadio de las Artes,0,158,1904,0
Estadio de las Artes,0,158,1905,0
Estadio de las Artes,0,158,1906,0
Estadio de las Artes,0,158,1907,0
Estadio de las Artes,0,158,1908,0
Estadio de las Artes,0,158,1910,0
Estadio de las Artes,0,158,1913,0
Estadio de las Artes,0,158,1914,0
Estadio de las Artes,0,158,1915,0
Estadio de las Artes,0,158,1917,0
Ashton Gate,0,491,1919,0
Kenilworth Road,0,460,1923,0
Estadio de las Artes,0,158,1924,0
Gtech Community Stadium,0,450,1925,0
Estadio de las Artes,0,158,1926,0
Estadio de las Artes,0,158,1928,0
Estadio de las Artes,0,158,1929,0
Estadio de las Artes,0,158,1930,0
Estadio de las Artes,0,158,1931,0
Estadio de las Artes,0,158,1932,0
Estadio de las Artes,0,158,1933,0
Estadio de las Artes,0,158,1934,0
Estadio de las Artes,0,158,1935,0
Estadio de las Artes,0,158,1936,0
Estadio de las Artes,0,158,1937,0
Estadio de las Artes,0,158,1938,0
Kirklees Stadium,0,384,1939,0
Estadio de las Artes,0,158,1940,0
Vitality Stadium,0,348,1943,0
Estadio de las Artes,0,158,1944,0
Estadio de las Artes,0,158,1947,0
Estadio de las Artes,0,158,1951,0
MKM Stadium,0,332,1952,0
Estadio de las Artes,0,158,1958,0
Swansea.com Stadium,0,333,1960,0
Cardiff City Stadium,0,334,1961,0
Estadio de las Artes,0,158,1962,0
Nuevo Mirandilla,0,455,1968,0
Estadio de las Artes,0,158,2014,0
Estadio de las Artes,0,158,2017,0
Estadio de las Artes,0,158,2041,0
Estadio de las Artes,0,158,2055,0
Estadio de las Artes,0,158,2056,0
Estadio de las Artes,0,158,10020,0
PreZero Arena,0,407,10029,0
Home Deluxe Arena,0,436,10030,0
Estadio de las Artes,0,158,10032,0
Estadio de las Artes,0,158,10846,0
Estadio de las Artes,0,158,15001,0
Estadio de las Artes,0,158,15009,0
Estadio de las Artes,0,158,15015,0
Estadio de las Artes,0,158,15040,0
Estadio de las Artes,0,158,15048,0
Estadio de las Artes,0,158,100081,0
Estadio de las Artes,0,158,100087,0
Estadio de las Artes,0,158,100135,0
Estadio de las Artes,0,158,100325,0
WWK Arena,0,412,100409,0
Estadio de las Artes,0,158,100632,0
Estadio de las Artes,0,158,100634,0
Estadio de las Artes,0,158,100646,0
Estadio de las Artes,0,158,100757,0
Estadio de las Artes,0,158,100761,0
Estadio de las Artes,0,158,100804,0
Estadio de las Artes,0,158,100805,0
Estadio de las Artes,0,158,100851,0
Estadio de las Artes,0,158,100852,0
Municipal de Butarque,0,398,100888,0
Estadio de las Artes,0,158,101014,0
Estadio de las Artes,0,158,101016,0
Estadio de las Artes,0,158,101020,0
Estadio de las Artes,0,158,101026,0
Estadio de las Artes,0,158,101028,0
Estadio de las Artes,0,158,101033,0
Estadio de las Artes,0,158,101037,0
Estadio de las Artes,0,158,101041,0
Estadio de las Artes,0,158,101047,0
Donbass Arena,0,260,101059,0
Estadio de las Artes,0,158,101083,0
Estadio de las Artes,0,158,101084,0
Estadio Presidente Perón,0,441,101085,0
Estadio de las Artes,0,158,101088,0
Estadio de las Artes,0,158,101099,0
Estadio de las Artes,0,158,101100,0
Estadio de las Artes,0,158,101101,0
Estadio de las Artes,0,158,101103,0
Estadio de las Artes,0,158,101105,0
Estadio de las Artes,0,158,101108,0
Estadio de las Artes,0,158,101110,0
BC Place,0,248,101112,0
Johan Cruijff ArenA,0,15,105035,0
Estadio de Montilivi,0,400,110062,0
Estadio de las Artes,0,158,110069,0
Estadio de las Artes,0,158,110072,0
Estadio de las Artes,0,158,110075,0
Estadio de las Artes,0,158,110078,0
Estadio de las Artes,0,158,110081,0
Estadio Libertadores de América,0,442,110093,0
Estadio de las Artes,0,158,110176,0
Estadio de las Artes,0,158,110178,0
Estadio de las Artes,0,158,110206,0
Estadio de las Artes,0,158,110242,0
Estadio de las Artes,0,158,110313,0
Estadio de las Artes,0,158,110321,0
Millerntor-Stadion,0,475,110329,0
Estadio de las Artes,0,158,110373,0
Estadio de las Artes,0,158,110374,0
Estadio de las Artes,0,158,110395,0
Estadio de las Artes,0,158,110396,0
Estadio de las Artes,0,158,110404,0
Estadio de las Artes,0,158,110468,0
Estadio de las Artes,0,158,110500,0
Estadio de las Artes,0,158,110501,0
Estadio de las Artes,0,158,110502,0
Estadio de las Artes,0,158,110532,0
Estadio de las Artes,0,158,110556,0
Estadio de las Artes,0,158,110580,0
Estadio de las Artes,0,158,110588,0
Düsseldorf-Arena,0,419,110636,0
Estadio de las Artes,0,158,110645,0
Estadio de las Artes,0,158,110676,0
Estadio de las Artes,0,158,110683,0
Estadio de las Artes,0,158,110697,0
Estadio de las Artes,0,158,110720,0
Estadio de las Artes,0,158,110724,0
Estadio de las Artes,0,158,110738,0
Estadio de las Artes,0,158,110740,0
Estadio de las Artes,0,158,110745,0
Estadio de las Artes,0,158,110746,0
Estadio de las Artes,0,158,110747,0
Estadio de las Artes,0,158,110749,0
Estadio de las Artes,0,158,110750,0
Estadio de las Artes,0,158,110751,0
Estadio de las Artes,0,158,110752,0
Estadio de las Artes,0,158,110765,0
Estadio de las Artes,0,158,110770,0
Estadio de las Artes,0,158,110776,0
Estadio de las Artes,0,158,110815,0
Estadio de las Artes,0,158,110827,0
Estadio Nuevo Los Cármenes,0,439,110832,0
El Alcoraz,0,428,110839,0
Estadio de las Artes,0,158,110890,0
Estadio de las Artes,0,158,110908,0
Estadio de las Artes,0,158,110915,0
Estadio de las Artes,0,158,110953,0
Estadio de las Artes,0,158,110955,0
Estadio de las Artes,0,158,110968,0
Estadio de las Artes,0,158,110969,0
Estadio de las Artes,0,158,110974,0
Estadio de las Artes,0,158,110975,0
Estadio de las Artes,0,158,110978,0
Estadio de las Artes,0,158,110980,0
Estadio de las Artes,0,158,110981,0
Estadio de las Artes,0,158,110982,0
Estadio de las Artes,0,158,110986,0
Estadio de las Artes,0,158,110989,0
Estadio de las Artes,0,158,110990,0
Estadio de las Artes,0,158,110991,0
Estadio de las Artes,0,158,110998,0
Estadio de las Artes,0,158,111001,0
Estadio de las Artes,0,158,111006,0
Estadio de las Artes,0,158,111008,0
Estadio de las Artes,0,158,111010,0
Estadio de las Artes,0,158,111014,0
Estadio de las Artes,0,158,111019,0
Estadio de las Artes,0,158,111020,0
Estadio de las Artes,0,158,111022,0
Estadio de las Artes,0,158,111052,0
Estadio de las Artes,0,158,111065,0
Estadio de las Artes,0,158,111083,0
Estadio de las Artes,0,158,111086,0
Estadio de las Artes,0,158,111088,0
Estadio de las Artes,0,158,111091,0
Estadio de las Artes,0,158,111092,0
Estadio de las Artes,0,158,111097,0
Estadio de las Artes,0,158,111111,0
Estadio de las Artes,0,158,111138,0
Estadio de las Artes,0,158,111139,0
Providence Park,0,435,111140,0
Lumen Field,0,341,111144,0
Estadio de las Artes,0,158,111235,0
Estadio de las Artes,0,158,111239,0
Estadio de las Artes,0,158,111273,0
Estadio de las Artes,0,158,111276,0
Estadio de las Artes,0,158,111325,0
Estadio de las Artes,0,158,111326,0
Estadio de las Artes,0,158,111327,0
Estadio de las Artes,0,158,111328,0
Estadio de las Artes,0,158,111329,0
Estadio de las Artes,0,158,111339,0
Estadio de las Artes,0,158,111380,0
Estadio de las Artes,0,158,111393,0
Estadio de las Artes,0,158,111395,0
Estadio de las Artes,0,158,111396,0
Estadio de las Artes,0,158,111397,0
Estadio de las Artes,0,158,111398,0
Estadio de las Artes,0,158,111399,0
Estadio de las Artes,0,158,111400,0
Estadio de las Artes,0,158,111433,0
Estadio de las Artes,0,158,111434,0
Estadio de las Artes,0,158,111462,0
Estadio de las Artes,0,158,111473,0
Estadio de las Artes,0,158,111527,0
Estadio de las Artes,0,158,111594,0
Estadio de las Artes,0,158,111629,0
Estadio de las Artes,0,158,111633,0
Estadio de las Artes,0,158,111651,0
Estadio de las Artes,0,158,111657,0
Estadio de las Artes,0,158,111659,0
Estadio de las Artes,0,158,111674,0
Estadio de las Artes,0,158,111701,0
Estadio de las Artes,0,158,111705,0
Estadio de las Artes,0,158,111706,0
Estadio de las Artes,0,158,111708,0
Estadio de las Artes,0,158,111710,0
Estadio de las Artes,0,158,111711,0
Estadio de las Artes,0,158,111715,0
Estadio de las Artes,0,158,111716,0
Estadio de las Artes,0,158,111722,0
Estadio de las Artes,0,158,111724,0
Estadio de las Artes,0,158,111766,0
Estadio de las Artes,0,158,111768,0
Estadio de las Artes,0,158,111769,0
Estadio de las Artes,0,158,111774,0
Estadio de las Artes,0,158,111779,0
Estadio de las Artes,0,158,111811,0
Estadio de las Artes,0,158,111817,0
Estadio de las Artes,0,158,111822,0
Estadio de las Artes,0,158,111928,0
Estadio de las Artes,0,158,111974,0
Estadio de las Artes,0,158,111993,0
Estadio de las Artes,0,158,112072,0
Estadio de las Artes,0,158,112096,0
Estadio de las Artes,0,158,112115,0
Estadio de las Artes,0,158,112124,0
Estadio de las Artes,0,158,112126,0
Estadio de las Artes,0,158,112134,0
Estadio de las Artes,0,158,112139,0
Estadio de las Artes,0,158,112163,0
Estadio de las Artes,0,158,112168,0
Red Bull Arena (Leipzig),0,420,112172,0
Estadio de las Artes,0,158,112180,0
Estadio de las Artes,0,158,112199,0
Estadio de las Artes,0,158,112222,0
Estadio de las Artes,0,158,112224,0
Estadio de las Artes,0,158,112254,0
Estadio de las Artes,0,158,112258,0
Estadio de las Artes,0,158,112259,0
Estadio de las Artes,0,158,112260,0
Estadio de las Artes,0,158,112264,0
King Abdullah Sports City,0,345,112387,0
Estadio de las Artes,0,158,112390,0
Estadio de las Artes,0,158,112391,0
Estadio de las Artes,0,158,112392,0
Estadio de las Artes,0,158,112393,0
Estadio de las Artes,0,158,112408,0
Estadio de las Artes,0,158,112427,0
Estadio de las Artes,0,158,112472,0
Estadio de las Artes,0,158,112493,0
Estadio de las Artes,0,158,112494,0
Estadio de las Artes,0,158,112513,0
Estadio de las Artes,0,158,112535,0
Estadio de las Artes,0,158,112540,0
Estadio de las Artes,0,158,112558,0
Estadio de las Artes,0,158,112584,0
Estadio de las Artes,0,158,112606,0
Estadio de las Artes,0,158,112615,0
Estadio de las Artes,0,158,112658,0
Estadio de las Artes,0,158,112667,0
Estadio de las Artes,0,158,112670,0
Estadio de las Artes,0,158,112671,0
Estadio de las Artes,0,158,112675,0
Estadio de las Artes,0,158,112689,0
Estadio de las Artes,0,158,112705,0
Estadio de las Artes,0,158,112713,0
Estadio de las Artes,0,158,112716,0
Estadio de las Artes,0,158,112764,0
Estadio de las Artes,0,158,112809,0
Estadio de las Artes,0,158,112828,0
Estadio de las Artes,0,158,112853,0
Estadio de las Artes,0,158,112883,0
Mercedes-Benz Stadium (Atlanta),0,402,112885,0
Estadio de las Artes,0,158,112893,0
Estadio de las Artes,0,158,112908,0
Estadio de las Artes,0,158,112914,0
Estadio de las Artes,0,158,112965,0
Estadio de las Artes,0,158,112979,0
Estadio de las Artes,0,158,112985,0
BMO Stadium,0,458,112996,0
Estadio de las Artes,0,158,113018,0
Estadio de las Artes,0,158,113029,0
Estadio de las Artes,0,158,113037,0
Estadio de las Artes,0,158,113040,0
Estadio de las Artes,0,158,113044,0
Estadio de las Artes,0,158,113057,0
Estadio de las Artes,0,158,113060,0
Estadio de las Artes,0,158,113142,0
Estadio de las Artes,0,158,113146,0
Estadio de las Artes,0,158,113149,0
Estadio de las Artes,0,158,113154,0
Estadio de las Artes,0,158,113155,0
Estadio de las Artes,0,158,113217,0
Estadio de las Artes,0,158,113257,0
Estadio de las Artes,0,158,113296,0
Estadio de las Artes,0,158,113297,0
Estadio de las Artes,0,158,113298,0
Estadio de las Artes,0,158,113299,0
Estadio de las Artes,0,158,113300,0
Estadio de las Artes,0,158,113301,0
Estadio de las Artes,0,158,113302,0
Estadio de las Artes,0,158,113307,0
Estadio de las Artes,0,158,113313,0
Estadio de las Artes,0,158,113314,0
Estadio de las Artes,0,158,113315,0
Estadio de las Artes,0,158,113378,0
Estadio de las Artes,0,158,113458,0
Estadio de las Artes,0,158,113459,0
Estadio de las Artes,0,158,113616,0
Estadio de las Artes,0,158,113746,0
Estadio de las Artes,0,158,113888,0
Estadio de las Artes,0,158,113926,0
Estadio de las Artes,0,158,113973,0
Estadio de las Artes,0,158,113974,0
Estadio de las Artes,0,158,114004,0
Estadio de las Artes,0,158,114023,0
Estadio de las Artes,0,158,114029,0
Estadio de las Artes,0,158,114030,0
Estadio de las Artes,0,158,114031,0
Estadio de las Artes,0,158,114032,0
Estadio de las Artes,0,158,114033,0
Estadio de las Artes,0,158,114034,0
Estadio de las Artes,0,158,114035,0
Estadio de las Artes,0,158,114036,0
Estadio de las Artes,0,158,114037,0
Estadio de las Artes,0,158,114038,0
Estadio de las Artes,0,158,114039,0
Estadio de las Artes,0,158,114040,0
Estadio de las Artes,0,158,114041,0
Estadio de las Artes,0,158,114042,0
Estadio de las Artes,0,158,114043,0
Estadio de las Artes,0,158,114044,0
Estadio de las Artes,0,158,114045,0
Estadio de las Artes,0,158,114046,0
Estadio de las Artes,0,158,114047,0
Estadio de las Artes,0,158,114048,0
Estadio de las Artes,0,158,114049,0
Estadio de las Artes,0,158,114050,0
Estadio de las Artes,0,158,114051,0
Estadio de las Artes,0,158,114052,0
Estadio de las Artes,0,158,114053,0
Estadio de las Artes,0,158,114054,0
Estadio de las Artes,0,158,114055,0
Estadio de las Artes,0,158,114056,0
Estadio de las Artes,0,158,114057,0
Estadio de las Artes,0,158,114058,0
Estadio de las Artes,0,158,114059,0
Estadio de las Artes,0,158,114060,0
Estadio de las Artes,0,158,114061,0
Estadio de las Artes,0,158,114062,0
Estadio de las Artes,0,158,114063,0
Estadio de las Artes,0,158,114064,0
Estadio de las Artes,0,158,114065,0
Estadio de las Artes,0,158,114066,0
Estadio de las Artes,0,158,114067,0
Estadio de las Artes,0,158,114068,0
Estadio de las Artes,0,158,114069,0
Estadio de las Artes,0,158,114070,0
Estadio de las Artes,0,158,114071,0
Estadio de las Artes,0,158,114072,0
Estadio de las Artes,0,158,114073,0
Estadio de las Artes,0,158,114074,0
Estadio de las Artes,0,158,114075,0
Estadio de las Artes,0,158,114076,0
Estadio de las Artes,0,158,114077,0
Estadio de las Artes,0,158,114078,0
Estadio de las Artes,0,158,114079,0
Estadio de las Artes,0,158,114080,0
Estadio de las Artes,0,158,114081,0
Estadio de las Artes,0,158,114082,0
Estadio de las Artes,0,158,114083,0
Estadio de las Artes,0,158,114084,0
Estadio de las Artes,0,158,114085,0
Estadio de las Artes,0,158,114086,0
Estadio de las Artes,0,158,114087,0
Estadio de las Artes,0,158,114088,0
Estadio de las Artes,0,158,114089,0
Estadio de las Artes,0,158,114090,0
Estadio de las Artes,0,158,114091,0
Estadio de las Artes,0,158,114092,0
Estadio de las Artes,0,158,114093,0
Estadio de las Artes,0,158,114094,0
Estadio de las Artes,0,158,114095,0
Estadio de las Artes,0,158,114096,0
Estadio de las Artes,0,158,114097,0
Estadio de las Artes,0,158,114098,0
Estadio de las Artes,0,158,114099,0
Estadio de las Artes,0,158,114100,0
Estadio de las Artes,0,158,114101,0
Estadio de las Artes,0,158,114102,0
Estadio de las Artes,0,158,114103,0
Estadio de las Artes,0,158,114104,0
Estadio de las Artes,0,158,114105,0
