firstnameid,lastnameid,playerjerseynameid,commonnameid,role3,gkglovetypecode,role2,role1,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,curve,jerseystylecode,agility,tattooback,accessorycode4,gksavetype,positioning,tattooleftarm,hairtypecode,standingtackle,preferredposition3,longpassing,penalties,animfreekickstartposcode,lipcolor,isretiring,longshots,gkdiving,icontrait2,interceptions,shoecolorcode2,crossing,potential,gkreflexes,finishingcode1,reactions,composure,skinsurfacepack,vision,contractvaliduntil,finishing,dribbling,slidingtackle,accessorycode3,accessorycolourcode1,headtypecode,driref,sprintspeed,undershortstyle,height,hasseasonaljersey,tattoohead,preferredposition2,strength,shoetypecode,birthdate,preferredposition1,tattooleftleg,skinmakeup,ballcontrol,phypos,shotpower,trait1,socklengthcode,weight,hashighqualityhead,eyedetail,tattoorightarm,icontrait1,balance,gender,headassetid,gkkicking,defspe,internationalrep,shortpassing,freekickaccuracy,skillmoves,faceposerpreset,artificialkey,usercaneditname,avatarpomid,finishingcode2,aggression,acceleration,paskic,headingaccuracy,iscustomized,runningcode2,modifier,gkhandling,eyecolorcode,jerseysleevelengthcode,accessorycolourcode3,accessorycode1,playerjointeamdate,headclasscode,tattoofront,nationality,preferredfoot,sideburnscode,weakfootabilitytypecode,jumping,personality,gkkickstyle,stamina,playerid,accessorycolourcode4,gkpositioning,headvariation,skillmoveslikelihood,trait2,shohan,skintonecode,shortstyle,overallrating,smallsidedshoetypecode,emotion,runstylecode,muscularitycode,skincomplexion,jerseyfit,accessorycode2,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,animpenaltiesstartposcode,pacdiv,defensiveawareness,runningcode1,preferredposition4,volleys,accessorycolourcode2,tattoorightleg,facialhaircolorcode
11591,35039,13295,0,0,0,0,0,60302,0,0,0,1,0,1,0,0,0,1,0,501,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,122101,1,2027,1,1,1,0,0,7000,1,1,0,171,0,0,-1,1,0,146600,16,0,1,1,2,1,0,0,62,1,2,0,0,1,1,26599,1,1,1,1,1,1,0,11,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0,161235,0,0,14,1,0,3,27,3,0,1,26599,0,1,0,1,0,1,2,0,1,500,3,0,0,2,0,0,0,0,0,127,0,1,1,0,-1,1,0,0,0
22767,3699,22767,22767,0,0,0,41,30301,0,0,0,90,1,97,0,0,0,90,0,16,81,-1,91,96,0,0,0,88,1,0,86,0,95,87,1,0,90,90,223101,91,2027,92,90,84,0,0,1,91,93,0,139,1,0,-1,40,0,157192,25,0,0,91,63,84,262144,0,50,0,0,0,0,88,0,26601,1,59,4,94,91,4,0,12,0,0,0,89,92,93,84,0,0,0,1,1,1,0,0,161117,0,0,54,1,0,4,77,4,0,86,26601,0,1,0,3,0,89,2,0,87,500,3,0,0,1,2,0,0,0,0,109,0,93,1,0,-1,86,0,0,0
5466,19876,19875,19875,0,0,0,41,30301,0,0,0,90,1,97,0,0,0,90,0,16,81,-1,91,96,0,0,0,88,1,0,86,0,95,88,1,0,90,90,223101,91,2027,92,90,84,0,0,1,91,93,0,134,1,0,-1,54,0,157192,25,0,0,91,70,86,262144,0,51,0,0,0,0,88,0,26602,1,59,4,94,91,4,0,13,0,0,0,89,92,93,84,0,0,0,1,1,1,0,0,160252,0,0,54,1,0,4,83,4,0,86,26602,0,1,0,3,0,90,2,0,88,500,3,0,0,1,2,0,0,0,0,109,0,93,1,0,-1,86,0,0,0
41518,41603,41603,0,0,0,0,0,30301,0,0,0,1,1,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,132,1,0,-1,1,0,157437,16,0,0,1,2,1,0,0,55,0,0,0,0,1,0,26621,1,1,1,1,1,1,0,14,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,160252,0,0,14,1,0,3,27,3,0,1,26621,0,1,0,1,0,1,5,0,1,500,3,0,0,1,2,0,0,0,0,99,0,1,1,0,-1,1,0,0,0
11591,29390,13295,0,0,0,0,0,60302,0,0,0,1,0,1,0,0,0,1,0,501,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,122101,1,2027,1,1,1,0,0,7000,1,1,0,171,0,0,-1,1,0,146600,16,0,1,1,2,1,0,0,60,0,2,0,0,1,1,26635,1,1,1,1,1,1,0,15,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0,161235,0,0,14,1,0,3,27,2,0,1,26635,0,1,0,1,0,1,2,0,1,500,3,0,0,2,0,0,0,0,0,97,0,1,1,0,-1,1,0,0,0
11591,29390,13295,0,0,0,0,0,60302,0,0,0,1,0,1,0,0,0,1,0,501,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,122101,1,2027,1,1,1,0,0,7000,1,1,0,170,0,0,-1,1,0,146600,16,0,1,1,2,1,0,0,64,0,2,0,0,1,1,26636,1,1,1,1,1,1,0,16,0,0,0,1,1,1,1,0,0,0,1,6,0,0,0,161235,0,0,14,1,0,3,27,2,0,1,26636,0,1,0,1,0,1,2,0,1,500,3,0,0,2,0,0,0,0,0,97,0,1,1,0,-1,1,0,0,0
11955,13295,13295,0,0,0,0,0,1140503,0,0,0,1,0,1,0,0,0,1,0,501,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,5500,1,1,0,170,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,60,0,0,0,0,1,1,26640,1,1,1,1,1,1,0,17,0,0,0,1,1,1,1,0,0,0,1,3,0,0,0,159640,0,0,14,1,0,3,27,2,0,1,26640,0,1,0,1,0,1,2,0,1,500,3,0,0,1,0,0,0,0,0,97,0,1,1,0,-1,1,0,0,0
23714,13295,13295,0,0,0,0,0,30301,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,180,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,75,0,0,0,0,1,0,26641,1,1,1,1,1,1,0,18,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,159640,0,0,14,1,0,3,27,2,0,1,26641,0,1,0,1,0,1,2,0,1,500,3,0,0,1,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
23714,13295,13295,0,0,0,0,0,30301,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,180,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,75,0,0,0,0,1,0,26642,1,1,1,1,1,1,0,19,0,0,0,1,1,1,1,0,0,0,1,4,0,0,0,159640,0,0,14,1,0,3,27,3,0,1,26642,0,1,0,1,0,1,2,0,1,500,3,0,0,1,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
23714,13295,13295,0,0,0,0,0,30301,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,180,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,75,0,0,0,0,1,0,26643,1,1,1,1,1,1,0,20,0,0,0,1,1,1,1,0,0,0,1,4,0,0,0,159640,0,0,14,1,0,3,27,3,0,1,26643,0,1,0,1,0,1,2,0,1,500,3,0,0,1,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
23714,13295,13295,0,0,0,0,0,30301,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,184,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,82,1,0,0,0,1,0,26644,1,1,1,1,1,1,0,21,0,0,0,1,1,1,1,0,0,0,1,3,0,0,0,159640,0,0,14,1,0,3,27,4,0,1,26644,0,1,0,1,0,1,7,0,1,500,3,0,0,1,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
23714,13295,13295,0,0,0,0,0,30301,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,180,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,75,0,0,0,0,1,0,26645,1,1,1,1,1,1,0,22,0,0,0,1,1,1,1,0,0,0,1,8,0,0,0,159640,0,0,14,1,0,3,27,4,0,1,26645,0,1,0,1,0,1,2,0,1,500,3,0,0,1,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
23714,13295,13295,0,0,0,0,0,30301,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,180,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,75,0,0,0,0,1,0,26646,1,1,1,1,1,1,0,23,0,0,0,1,1,1,1,0,0,0,1,3,0,0,0,159640,0,0,14,1,0,3,27,2,0,1,26646,0,1,0,1,0,1,2,0,1,500,3,0,0,1,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
23714,13295,13295,0,0,0,0,0,30301,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,180,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,75,0,0,0,0,1,0,26647,1,1,1,1,1,1,0,24,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,159640,0,0,14,1,0,3,27,3,0,1,26647,0,1,0,1,0,1,2,0,1,500,3,0,0,1,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
23714,13295,13295,0,0,0,0,0,30301,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,180,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,75,0,0,0,0,1,0,26648,1,1,1,1,1,1,0,25,0,0,0,1,1,1,1,0,0,0,1,9,0,0,0,159640,0,0,14,1,0,3,27,3,0,1,26648,0,1,0,1,0,1,2,0,1,500,3,0,0,1,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
23714,13295,13295,0,0,0,0,0,30301,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,180,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,75,0,0,0,0,1,0,26650,1,1,1,1,1,1,0,26,0,0,0,1,1,1,1,0,0,0,1,5,0,0,0,159640,0,0,14,1,0,3,27,4,0,1,26650,0,1,0,1,0,1,2,0,1,500,3,0,0,1,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
23714,13295,13295,0,0,0,0,0,30301,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,180,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,75,0,0,0,0,1,0,26651,1,1,1,1,1,1,0,27,0,0,0,1,1,1,1,0,0,0,1,3,0,0,0,159640,0,0,14,1,0,3,27,2,0,1,26651,0,1,0,1,0,1,2,0,1,500,3,0,0,1,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
37962,7012,7012,0,0,0,0,0,30301,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,180,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,75,1,0,0,0,1,0,26669,1,1,1,1,1,1,0,28,0,0,0,1,1,1,1,0,0,0,1,4,0,0,0,161134,0,0,14,1,0,3,27,3,0,1,26669,0,1,0,1,0,1,2,0,1,500,3,0,0,1,2,0,0,0,0,80,0,1,1,0,-1,1,0,0,0
5333,13296,13296,0,0,0,0,0,30301,0,0,0,1,1,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,135,1,0,-1,1,0,157192,16,0,0,1,2,1,0,0,45,0,0,0,0,1,0,26688,1,1,1,1,1,1,0,29,0,0,0,1,1,1,1,0,0,0,1,2,1,0,0,160252,0,0,14,1,0,3,27,2,0,1,26688,0,1,0,1,0,1,1,0,1,500,3,0,0,1,2,0,0,0,0,100,0,1,1,0,-1,1,0,0,0
5333,13297,13297,0,0,0,0,0,30301,0,0,0,1,1,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,133,1,0,-1,1,0,157192,16,0,0,1,2,1,0,0,45,0,0,0,0,1,0,26689,1,1,1,1,1,1,0,30,0,0,0,1,1,1,1,0,0,0,1,9,1,0,0,160252,0,0,14,1,0,3,27,2,0,1,26689,0,1,0,1,0,1,4,0,1,500,3,0,0,1,2,0,0,0,0,103,0,1,1,0,-1,1,0,0,0
5653,14860,14860,0,0,0,0,111,30301,0,0,0,80,1,81,0,0,0,81,0,16,92,-1,91,90,0,0,0,84,1,0,89,15,73,91,1,0,88,87,223101,85,2027,82,90,90,0,0,1,87,89,0,135,1,0,-1,93,0,157437,5,0,0,86,91,91,0,0,70,0,0,0,0,69,0,26690,1,91,5,89,82,4,0,31,0,0,0,92,86,85,86,0,0,0,1,9,1,0,0,161117,0,0,163,1,0,4,95,3,0,85,26690,0,1,0,4,0,84,9,0,91,500,3,0,0,1,2,0,0,0,0,90,0,88,94,0,-1,75,0,0,0
28847,12359,12359,0,0,0,0,35,30301,0,0,0,71,1,84,0,0,0,74,0,16,49,-1,81,69,0,0,0,80,1,0,55,25,75,80,1,0,80,82,223101,81,2027,75,84,48,0,0,1,84,77,0,135,1,0,-1,73,2,157498,23,0,0,85,71,77,0,0,65,0,0,0,0,91,0,26691,1,46,1,82,84,4,0,32,0,0,0,61,84,80,45,0,0,0,1,9,1,0,0,161117,0,0,54,1,0,4,72,3,0,75,26691,0,1,0,4,0,76,5,0,80,502,3,0,0,1,2,0,0,25,0,104,0,80,35,0,-1,76,0,0,0
13615,13296,13296,0,0,0,0,0,30301,0,0,0,1,1,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,134,1,0,-1,1,0,157498,16,0,0,1,2,1,0,0,64,0,0,0,0,1,0,26692,1,1,1,1,1,1,0,33,0,0,0,1,1,1,1,0,0,0,1,9,1,0,0,160252,0,0,14,1,0,3,27,4,0,1,26692,0,1,0,1,0,1,5,0,1,500,3,0,0,1,2,0,0,0,0,102,0,1,1,0,-1,1,0,0,0
13615,13297,13297,0,0,0,0,0,30301,0,0,0,1,1,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,132,1,0,-1,1,0,157192,16,0,0,1,2,1,0,0,66,0,0,0,0,1,0,26693,1,1,1,1,1,1,0,34,0,0,0,1,1,1,1,0,0,0,1,9,1,0,0,160252,0,0,14,1,0,3,27,4,0,1,26693,0,1,0,1,0,1,4,0,1,500,3,0,0,1,2,0,0,0,0,101,0,1,1,0,-1,1,0,0,0
13615,13298,13298,0,0,0,0,0,30301,0,0,0,1,1,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,136,1,0,-1,1,0,157498,16,0,0,1,2,1,0,0,62,0,0,0,0,1,0,26694,1,1,1,1,1,1,0,35,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,160252,0,0,14,1,0,3,27,2,0,1,26694,0,1,0,1,0,1,2,0,1,500,3,0,0,1,2,0,0,0,0,90,0,1,1,0,-1,1,0,0,0
16633,32128,32128,0,0,0,0,38,30301,0,0,0,72,1,84,0,0,0,79,0,16,50,-1,84,77,0,0,0,82,1,0,55,15,74,82,1,0,80,92,223101,90,2027,77,84,58,0,0,1,85,77,0,132,1,0,-1,73,2,157345,27,0,0,86,72,75,0,0,64,0,0,0,0,91,0,26695,1,53,3,83,86,4,0,36,0,0,0,66,84,82,50,0,0,0,1,9,1,0,0,161117,0,0,54,2,0,4,75,2,0,75,26695,0,1,0,4,0,78,8,0,82,500,3,0,0,1,2,0,0,0,0,105,0,80,55,0,-1,75,0,0,0
13615,13299,13299,0,0,0,0,0,30301,0,0,0,1,1,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,133,1,0,-1,1,0,157192,16,0,0,1,2,1,0,0,65,0,0,0,0,1,0,26697,1,1,1,1,1,1,0,37,0,0,0,1,1,1,1,0,0,0,1,2,1,0,0,160252,0,0,14,1,0,3,27,4,0,1,26697,0,1,0,1,0,1,1,0,1,500,3,0,0,1,2,0,0,0,0,102,0,1,1,0,-1,1,0,0,0
31874,41509,19034,19034,0,0,0,131,2150301,0,3,0,94,0,94,0,0,0,93,0,158,69,-1,92,93,0,0,0,93,1,0,74,14,93,95,1,0,95,97,223101,95,2027,92,96,68,0,0,2508,96,95,0,186,1,0,-1,89,1,145922,18,0,0,96,87,93,262145,0,78,1,2,0,131072,93,0,27018,1,72,5,95,91,4,0,38,0,0,0,74,96,94,80,0,0,0,1,3,0,0,0,159661,0,0,54,1,0,4,93,3,0,93,27018,0,1,0,4,0,93,4,0,95,501,2,0,0,2,0,0,0,14,0,5,0,95,72,0,-1,93,0,0,0
31874,41509,19034,19034,0,0,0,131,2150301,0,3,0,94,0,94,0,0,0,93,0,158,69,-1,92,93,0,0,0,93,1,0,74,0,93,95,1,0,95,97,223101,95,2027,92,96,68,0,0,2508,96,95,0,186,1,0,-1,89,0,145922,18,0,0,96,87,93,262145,0,78,0,2,0,131072,93,0,27020,1,72,5,95,91,4,0,39,0,0,0,74,96,94,80,0,0,0,1,3,0,0,0,159853,1,0,54,1,0,4,93,4,0,93,27020,0,1,0,4,0,93,2,0,95,500,2,0,0,2,0,0,0,0,0,5,0,95,72,0,-1,93,0,0,0
30312,30312,30312,0,0,0,0,0,30301,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,180,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,75,0,0,0,0,1,0,27026,1,1,1,1,1,1,0,40,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,161235,1,0,14,1,0,3,27,4,0,1,27026,0,1,0,1,0,1,2,0,1,500,3,0,0,1,2,0,0,0,0,3,0,1,1,0,-1,1,0,0,0
30313,30313,30313,0,0,0,0,0,30301,0,0,0,1,1,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,134,1,0,-1,1,0,157498,16,0,0,1,2,1,0,0,44,1,0,0,0,1,0,27086,1,1,1,1,1,1,0,41,0,0,0,1,1,1,1,0,0,0,1,9,1,0,0,161117,0,0,14,1,0,3,27,2,0,1,27086,0,1,0,1,0,1,3,0,1,500,3,0,0,1,2,0,0,0,0,102,0,1,1,0,-1,1,0,0,0
30314,30314,30314,0,0,0,0,0,30301,0,0,0,1,1,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,132,1,0,-1,1,0,157498,16,0,0,1,2,1,0,0,51,1,0,0,0,1,0,27087,1,1,1,1,1,1,0,42,0,0,0,1,1,1,1,0,0,0,1,9,1,0,0,161117,0,0,14,1,0,3,27,3,0,1,27087,0,1,0,1,0,1,4,0,1,500,3,0,0,1,2,0,0,0,0,105,0,1,1,0,-1,1,0,0,0
