firstname,commonname,surname,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,managerid,accessorycode4,hairtypecode,lipcolor,skinsurfacepack,accessorycode3,accessorycolourcode1,headtypecode,height,seasonaloutfitid,birthdate,skinmakeup,weight,hashighqualityhead,eyedetail,gender,headassetid,ethnicity,faceposerpreset,teamid,eyecolorcode,personalityid,accessorycolourcode3,accessorycode1,headclasscode,nationality,sideburnscode,accessorycolourcode4,headvariation,skintonecode,outfitid,skincomplexion,accessorycode2,hairstylecode,bodytypecode,managerjointeamdate,accessorycolourcode2,facialhaircolorcode
,,,30301,0,24,0,249127,0,655,0,253101,0,0,3516,181,5557,145139,0,75,0,2,0,26542,2,0,25,3,1,0,0,0,21,0,0,0,2,5551,2,0,0,81,156765,0,1
Mersad,,Selimbegović,30301,0,6,0,251583,0,285,0,232001,0,0,2510,180,5509,145929,0,75,0,2,0,251583,3,0,27,3,0,0,0,1,8,0,0,0,3,5565,3,0,0,82,159506,0,5
,,,30301,0,6,289,650,0,181,0,253101,0,0,30,178,5566,145139,0,77,0,2,0,26538,2,0,28,2,1,0,0,0,21,0,0,0,2,5522,2,0,0,83,161201,0,23
,,,30301,0,8,255,249438,0,150,0,251101,0,0,3507,181,5511,145139,0,75,0,2,0,26537,4,0,29,1,0,0,0,0,21,0,0,0,4,5506,4,0,0,82,161195,0,23
,,,1150101,0,1,287,257258,0,189,0,232001,0,0,52,180,5521,145139,0,75,0,2,0,26541,1,3,31,6,0,0,0,0,21,0,0,0,1,5506,1,0,0,82,161154,0,1
,,,30301,0,3,243,262757,0,149,0,232001,0,0,3516,183,5529,145139,0,75,0,2,0,26541,2,3,32,6,0,0,0,0,45,0,0,0,2,5522,2,0,0,82,160698,0,7
Argirios,,Giannikis,30301,1,0,287,249019,0,24,0,223101,0,0,4004,182,5509,145270,0,75,0,2,0,249019,2,0,33,9,1,0,0,1,22,0,0,0,2,5506,2,0,0,82,161160,0,0
,,,1150101,0,15,0,269595,0,117,0,232001,0,0,38,186,5509,145139,0,75,0,2,0,26539,1,0,34,1,0,0,0,0,7,0,0,0,1,5717,1,0,0,85,160602,0,1
,,,1150101,0,5,243,251527,0,310,0,232001,0,0,34,178,5557,145139,0,75,0,2,0,26540,2,3,36,1,0,0,0,0,21,0,0,0,2,5728,2,0,0,82,160878,0,20
,,,30301,0,6,287,253394,0,310,0,223101,0,0,3510,189,5511,145139,0,75,0,2,0,26544,2,0,38,9,0,0,0,0,21,0,0,0,2,5510,2,0,0,85,160387,0,6
Massimiliano,,Allegri,50101,0,23,287,250047,0,290,0,253101,0,0,2000,181,5529,140554,0,75,1,2,0,250047,1,0,45,6,1,0,0,0,27,0,0,0,3,5514,1,0,0,81,160203,0,23
,,,30301,0,0,0,63011,0,16,0,223101,0,0,1,180,5500,145139,0,75,0,0,0,26537,2,0,48,1,1,0,0,0,14,0,0,0,2,5500,1,0,0,86,159325,0,0
Fabio,,Pecchia,30301,0,9,259,1145,0,17,0,232001,0,0,1519,172,5529,142759,0,68,0,2,0,1145,2,0,50,3,1,0,0,1,27,0,0,0,2,5578,2,0,0,88,160573,0,9
,,,30301,0,0,0,63010,0,16,0,223101,0,0,1,180,5500,145139,0,75,0,0,0,26537,2,0,52,1,1,0,0,0,14,0,0,0,2,5500,1,0,0,86,159325,0,0
Ivan,,Jurić,50101,0,9,246,155191,0,84,0,253101,0,1,2006,175,5510,143490,0,67,0,2,0,155191,1,0,54,5,1,0,300,1,10,0,0,0,1,5713,1,0,0,83,160237,0,23
Fabio,,Cannavaro,50101,0,3,0,271962,0,43,0,232001,0,0,1501,176,5510,142779,0,75,1,2,0,1183,4,3,55,8,0,0,0,0,27,0,0,0,3,5567,4,0,0,2,161263,0,0
,,,30301,0,9,0,249132,0,105,0,253101,0,0,3513,176,5509,145139,0,75,0,2,0,26540,2,3,57,1,0,0,0,0,18,0,0,0,2,5523,2,0,0,82,160719,0,0
,,,1130201,0,24,246,70542,0,0,0,253101,0,0,1517,186,5511,145139,0,75,0,2,0,26538,2,0,58,2,0,0,0,0,18,0,0,0,2,5520,2,0,0,84,161179,0,8
,,,50101,0,3,253,278852,0,638,0,232001,0,0,1514,187,5511,145139,0,75,0,2,0,26541,2,3,59,6,0,0,0,0,45,0,0,0,2,5520,2,0,0,85,161070,0,5
,,,1130201,0,6,287,262532,0,682,0,253101,0,0,4004,183,5557,145139,0,75,0,2,0,26539,1,0,62,1,0,0,0,0,18,0,0,0,1,5566,1,0,0,81,160237,0,3
,,,1130201,0,9,251,116880,0,150,0,253101,0,0,2508,179,5509,145139,0,76,0,2,0,26543,2,0,64,7,0,0,0,0,18,0,0,0,2,5569,2,0,0,82,159745,0,8
,,,30301,0,21,253,250262,0,156,0,232001,0,0,2522,188,5509,145139,0,75,0,2,0,26543,2,0,65,7,0,0,0,0,38,0,0,0,2,5707,2,0,0,84,160602,0,21
,,,50101,0,21,259,279795,0,148,0,232001,0,0,57,178,5527,145139,0,75,0,2,0,26543,2,0,66,7,0,0,0,0,18,0,0,0,2,5520,2,0,0,82,161119,0,0
,,,30301,0,0,0,63006,0,16,0,223101,0,0,1,180,5500,145139,0,75,0,0,0,26537,2,0,67,1,1,0,0,0,14,0,0,0,2,5500,1,0,0,86,159325,0,0
,,,30301,0,24,0,249887,0,632,0,253101,0,1,30,178,5511,145139,0,75,0,2,0,26542,2,0,68,3,1,0,300,0,39,0,0,0,2,5717,2,0,0,82,160587,0,22
,,,30301,0,8,243,248898,0,150,0,253101,0,0,2504,184,5509,145139,0,75,0,2,0,26544,2,0,69,9,0,0,0,0,4,0,0,0,2,5566,2,0,0,82,160970,0,8
,,,50101,0,9,287,250092,0,297,0,253101,0,0,3516,180,5529,145139,0,75,0,2,0,26538,1,0,70,2,1,0,0,0,3,0,0,0,1,5525,1,0,0,82,160824,0,8
,,,30301,0,24,0,249003,0,29,0,250201,0,0,1007,185,5511,145139,0,75,0,2,0,26545,8,2,71,9,1,0,0,0,18,0,0,0,8,5514,8,0,0,85,161229,0,0
,,,1150101,0,0,45,263710,0,88,0,232001,0,0,3514,174,5707,145139,0,75,0,2,0,26543,3,0,72,7,1,0,0,0,27,0,0,0,3,5566,3,0,0,87,160967,0,0
Luis Enrique,Luis Enrique,Martínez García,30301,1,24,243,249948,0,293,0,223101,0,0,2500,180,5509,141555,0,75,1,2,0,249948,3,4,73,6,1,0,0,0,45,0,0,0,3,5523,3,0,0,82,160971,0,9
,,,30301,0,3,0,249814,0,642,0,232001,0,0,2030,183,5555,145139,0,75,0,2,0,26541,1,3,74,6,0,0,0,0,18,0,0,0,1,5504,1,0,0,81,161108,0,0
,,,30301,0,0,287,262194,0,43,0,250201,0,0,1000,192,5555,145139,0,75,0,2,0,26545,9,2,76,9,0,0,0,0,18,0,0,0,9,5508,9,0,0,85,160968,0,0
Neil,,Warnock,1150101,0,24,0,245236,0,244,0,253101,0,0,33,175,5511,133727,0,81,0,2,0,245236,2,0,77,6,1,0,0,1,14,0,0,0,2,5510,2,0,0,82,161186,0,8
Brendan,,Rodgers,50101,0,5,0,249063,0,150,0,253101,0,0,2515,170,5535,142549,0,75,1,2,0,249063,2,3,78,7,0,0,0,0,35,0,0,0,3,5514,2,0,0,88,160955,0,5
Steven,,Naismith,1130201,0,4,246,275112,0,0,0,232001,0,0,1550,178,5509,147528,0,75,0,2,0,275112,1,0,80,2,1,0,0,1,42,0,0,0,1,5707,1,0,0,82,160886,0,1
,,,30301,0,0,0,63016,0,16,0,223101,0,0,1,180,5500,145139,0,75,0,0,0,26537,2,0,81,1,1,0,0,0,14,0,0,0,2,5500,1,0,0,86,159325,0,0
Derek,,McInnes,30301,0,23,289,51495,0,65,0,253101,0,0,1526,170,5509,141978,0,65,0,2,0,51495,3,0,82,3,0,0,0,1,42,0,0,0,3,5551,3,0,0,88,160424,0,9
Stuart,,Kettlewell,30301,0,23,289,208673,0,123,0,232001,0,0,4014,183,5506,146696,0,70,0,2,0,208673,2,0,83,3,0,0,0,1,42,0,0,0,2,5506,2,0,0,82,160838,0,23
Philippe,,Clement,30301,0,24,259,8834,0,0,0,253101,0,0,1517,191,5538,142969,0,87,0,2,0,8834,1,0,86,1,0,0,0,1,7,0,0,0,1,5573,1,0,0,85,161073,0,8
,,,1150101,0,24,0,250608,0,114,0,253101,0,0,30,185,5555,145139,0,75,0,2,0,26542,1,0,88,3,0,0,0,0,14,0,0,0,1,5718,1,0,0,85,161158,0,6
,,,1130201,0,3,243,53853,0,75,0,232001,0,0,3500,170,5509,145139,0,69,0,2,0,26541,2,3,89,6,1,0,0,0,50,0,0,0,2,5510,2,0,0,88,161185,0,9
,,,50101,0,23,249,53904,0,0,0,253101,0,0,43,175,5511,145139,0,74,0,2,0,26544,2,0,91,9,1,0,0,0,14,0,0,0,2,5510,2,0,0,81,160685,0,23
,,,30301,0,5,243,100707,0,114,0,253101,0,0,15,191,5509,145139,0,82,0,2,0,26541,2,3,92,6,0,0,0,0,205,0,0,0,2,5504,2,0,0,85,161116,0,3
Kieran,,McKenna,30301,0,8,287,266184,0,160,0,223101,0,0,2017,185,5511,147405,0,71,0,2,0,266184,1,0,94,10,0,0,0,1,35,0,0,0,1,5551,1,0,0,85,160405,0,5
Enzo,,Maresca,30301,0,0,251,263428,0,0,0,232001,0,0,3509,180,5511,145120,0,75,0,2,0,263428,2,0,95,5,0,0,0,1,27,0,0,0,2,5510,2,0,0,82,160952,0,23
,,,30301,0,9,287,51403,0,636,0,232001,0,0,2020,180,5511,145139,0,78,0,2,0,26540,2,3,97,1,0,0,0,0,14,0,0,0,2,5504,2,0,0,82,161202,0,0
,,,30301,0,0,0,72059,0,16,0,223101,0,0,1,180,5500,145139,0,75,0,0,0,72059,2,0,106,1,1,0,0,1,14,0,0,0,2,5500,1,0,0,83,161200,0,0
,,,30301,0,0,289,257433,0,221,0,232001,0,0,25,188,5527,145139,0,75,0,2,0,26543,2,0,109,7,1,0,0,0,45,0,0,0,2,5520,2,0,0,85,160718,0,0
Gary,,O'Neil,30301,0,8,251,271713,0,243,0,232001,0,0,1507,173,5557,146313,0,75,1,2,0,53593,2,1,110,8,0,0,0,0,14,0,0,0,4,5510,2,0,0,88,161006,0,23
,,,30301,0,0,0,268328,0,16,0,223101,0,0,1,180,5511,145139,0,75,0,0,0,26537,2,0,111,1,0,0,0,0,70,0,0,0,2,5570,1,0,0,83,159325,0,0
,,,30301,0,0,0,268329,0,16,0,223101,0,0,1,180,5529,145139,0,75,0,0,0,26537,2,0,112,1,0,0,0,0,95,0,0,0,2,5502,1,0,0,83,159325,0,0
,,,30301,0,0,0,272649,0,693,0,253101,0,0,2009,178,5511,145139,0,75,0,2,0,26541,1,3,121,6,0,0,0,0,14,0,0,0,1,5510,1,0,0,81,160728,0,0
,,,30301,0,23,287,53895,0,655,0,253101,0,0,12,164,5511,145139,0,59,0,2,0,26537,2,0,127,1,0,0,0,0,14,0,0,0,2,5713,2,0,0,88,161174,0,23
,,,30301,0,8,30,249499,0,289,0,232001,0,0,3500,178,5511,145139,0,75,0,2,0,26539,2,0,142,1,0,0,0,0,35,0,0,0,2,5707,2,0,0,82,160917,0,1
,,,1130201,0,6,287,45098,0,115,0,232001,0,0,33,185,5511,145139,0,74,0,2,0,26540,2,3,143,1,1,0,0,0,42,0,0,0,2,5520,2,0,0,86,160717,0,6
Marco Alexandre,Marco Silva,Saraiva da Silva,50101,0,3,287,178609,0,177,0,232001,0,0,30,180,5557,144177,0,75,1,2,0,178609,3,0,144,4,0,0,0,0,38,0,0,0,3,5567,3,0,0,82,160237,0,3
,,,50101,0,5,28,279147,0,154,0,232001,0,0,3500,175,5511,145139,0,75,0,2,0,26543,2,0,149,7,0,0,0,0,14,0,0,0,2,5510,2,0,0,82,161102,0,20
Michél,,Kniat,1130201,0,3,289,267907,0,642,0,232001,0,0,1508,191,5506,147228,0,75,0,2,0,267907,2,0,159,3,1,0,0,1,21,0,0,0,2,5569,2,0,0,85,160949,0,3
,,,30301,0,6,243,271758,0,646,0,232001,0,0,4021,189,5506,145139,0,75,0,2,0,26541,2,3,160,6,0,0,0,0,21,0,0,0,2,5506,2,0,0,85,160675,0,6
,,,30301,0,0,0,63009,0,16,0,223101,0,0,1,180,5500,145139,0,75,0,0,0,26537,2,0,162,1,1,0,0,0,14,0,0,0,2,5500,1,0,0,86,159325,0,0
,,,50101,0,8,246,248943,0,655,0,253101,0,0,1510,182,5553,145139,0,75,0,2,0,26540,2,3,165,1,1,0,0,0,21,0,0,0,2,5567,2,0,0,83,160717,0,19
,,,1130201,0,3,287,3492,0,243,0,232001,0,0,3505,179,5557,145139,0,83,0,2,0,26540,2,3,166,1,0,0,0,0,23,0,0,0,2,5520,2,0,0,82,160891,0,23
,,,1130201,0,5,255,140433,0,84,0,232001,0,0,2,178,5527,145139,0,75,0,2,0,26541,2,3,169,6,1,0,0,0,13,0,0,0,2,5718,2,0,0,82,161194,0,23
,,,50101,0,23,289,249161,0,155,0,232001,0,0,30,182,5511,145139,0,75,0,2,0,26541,2,3,171,6,1,0,0,0,21,0,0,0,2,5506,2,0,0,83,160938,0,9
Marc,,Unterberger,1130201,0,20,243,276133,0,660,0,223101,0,0,17,180,5511,148354,0,75,0,2,0,276133,2,0,172,3,0,0,0,1,21,0,0,0,2,5708,2,0,0,82,160962,0,20
,,,1150101,0,6,289,150527,0,176,0,232001,0,0,4005,191,5537,145139,0,92,0,2,0,26541,2,3,175,6,1,0,0,0,4,0,0,0,2,5578,2,0,0,85,159298,0,1
Tony,,Docherty,30301,0,9,287,276364,0,660,0,232001,0,0,2006,173,5510,141816,0,75,0,2,0,276364,2,0,180,2,0,0,0,1,42,0,0,0,2,5566,2,0,0,89,160934,0,8
Jim,,Goodwin,30301,0,24,289,251865,0,65,0,232001,0,0,2008,183,5529,145769,0,75,0,2,0,251865,2,0,181,2,0,0,0,1,25,0,0,0,2,5566,2,0,0,82,160845,0,24
Thiago,,Motta,30301,0,3,0,254126,0,61,0,232001,0,0,1526,187,5558,146050,0,75,1,2,0,254126,4,3,189,3,0,0,0,0,27,0,0,0,3,5717,4,0,0,2,160675,0,0
Onur,,Cinel,30301,0,0,30,72016,0,0,0,232001,0,0,4021,175,5527,147074,0,75,0,2,0,72016,3,0,191,9,0,0,0,1,21,0,0,0,3,5522,3,0,0,82,161256,0,0
Paolo,,Vanoli,50101,0,6,255,266077,0,9,0,253101,0,1,57,184,5558,142382,0,75,0,2,0,266077,2,0,205,3,1,0,300,1,27,0,0,0,2,5713,2,0,0,82,160731,0,23
Marco,,Baroni,50101,0,8,38,249993,0,641,0,253101,0,0,3509,185,5532,139124,0,75,0,2,0,249993,3,0,206,9,0,0,0,1,27,0,0,0,3,5566,3,0,0,85,160967,0,8
Christian,,Ilzer,30301,0,0,243,249125,0,0,0,232001,0,0,7,183,5557,144278,0,75,0,2,0,249125,1,0,209,6,1,0,0,1,4,0,0,0,1,5566,1,0,0,82,159888,0,23
,,,50101,0,3,62,279476,0,164,0,232001,0,0,55,180,5555,145139,0,75,0,2,0,26540,2,3,210,1,0,0,0,0,18,0,0,0,2,5707,2,0,0,82,161119,0,0
Sergej,,Jakirović,1130201,0,3,0,277879,0,16,0,232001,0,0,2510,191,5509,143976,0,75,0,2,0,277879,2,0,211,3,1,0,0,1,8,0,0,0,2,5507,2,0,0,85,161018,0,3
,,,30301,0,9,0,270696,0,181,0,232001,0,0,2511,180,5509,145139,0,75,0,2,0,26538,2,0,217,2,0,0,0,0,18,0,0,0,2,5566,2,0,0,82,160598,0,6
,,,50101,0,22,0,249652,0,0,0,253101,0,0,2506,176,5511,145139,0,75,0,2,0,26537,2,0,219,1,0,0,0,0,18,0,0,0,2,5552,2,0,0,83,161201,0,0
Brian,,Riemer,30301,0,9,287,272666,0,0,0,253101,0,0,3516,175,5511,144614,0,75,0,2,0,272666,2,0,229,1,0,0,0,1,13,0,0,0,2,5510,2,0,0,82,160756,0,9
Mark,,van Bommel,1130201,0,9,243,19765,0,22,0,253101,0,0,2002,187,5509,144096,0,86,0,2,0,19765,2,0,230,3,0,0,0,1,34,0,0,0,2,5508,2,0,0,85,160602,0,23
Nicky,,Hayen,1150101,0,23,0,254486,0,192,0,232001,0,0,2020,188,5506,145308,0,75,0,2,0,254486,2,0,231,1,0,0,0,1,7,0,0,0,2,5506,2,0,0,85,161228,0,1
Ivan,,Leko,30301,0,6,289,6016,0,167,0,232001,0,0,2016,179,5555,144387,0,79,0,2,0,6016,2,0,232,4,0,0,0,1,10,0,0,0,2,5551,2,0,0,82,161154,0,23
Roger,,Schmidt,1150101,0,6,0,250418,0,655,0,253101,0,0,4018,188,5509,140403,0,75,0,2,0,250418,3,0,234,4,0,0,0,1,21,0,0,0,3,5566,3,0,0,84,160602,0,6
Sérgio Paulo,Sérgio Conceição,Conceição,50101,0,23,252,250492,0,65,0,253101,0,0,4024,176,5555,143207,0,75,1,2,0,7854,5,3,236,3,1,0,0,0,38,0,0,0,4,5504,5,0,0,82,158776,0,23
Rúben Filipe,Rúben Amorim,Marques Amorim,50101,0,0,245,254801,0,220,0,232001,0,0,1533,180,5557,146933,0,75,0,2,0,254801,4,0,237,3,0,0,0,1,38,0,0,0,4,5522,4,0,0,82,159754,0,0
Diego,,Simeone,50101,0,22,243,5571,0,196,0,251101,0,0,1517,177,5509,141545,0,77,1,2,0,5571,4,0,240,6,1,0,0,0,52,0,0,0,4,5500,4,0,0,81,156759,0,23
Xavier,Xavi,Hernández Creus,50101,0,0,255,265436,0,221,0,232001,0,0,42,170,5509,145104,0,75,0,2,0,10535,3,0,241,9,0,0,0,0,45,0,0,0,3,5718,3,0,0,88,160365,0,23
Joseba Imanol,Imanol Idiakez,Idiakez Barkaiztegi,30301,0,19,287,249786,0,87,0,232001,0,0,1522,179,5511,142231,0,75,0,2,0,249786,4,0,242,3,1,0,0,1,45,0,0,0,4,5567,4,0,0,82,160976,0,0
Carlo,,Ancelotti,50101,0,24,0,237388,0,114,0,251101,0,0,59,179,5529,137570,0,75,1,2,0,237388,4,0,243,1,0,0,0,0,27,0,0,0,4,5502,4,0,0,82,160237,0,0
Víctor,Víctor Fernández,Fernández Braulio,1130201,0,23,0,250653,0,46,0,251101,0,0,1519,173,5513,138107,0,75,0,2,0,250653,4,0,244,9,0,0,0,1,45,0,0,0,4,5534,4,0,0,88,161221,0,23
,,,1150101,0,23,251,249704,0,117,0,232001,0,0,1506,182,5511,145139,0,75,0,2,0,26540,2,3,245,1,0,0,0,0,34,0,0,0,2,5505,2,0,0,82,161088,0,8
,,,30301,0,0,0,63013,0,16,0,223101,0,0,1,180,5500,145139,0,75,0,0,0,26537,2,0,246,1,1,0,0,0,14,0,0,0,2,5500,1,0,0,86,159325,0,0
,,,1130201,0,0,287,250295,0,0,0,232001,0,0,2006,175,5527,145139,0,75,0,2,0,26544,2,0,247,9,0,0,0,0,34,0,0,0,2,5566,2,0,0,82,160967,0,0
Thomas,,Darazs,30301,0,0,287,72004,0,37,0,253101,0,0,1526,180,5511,144293,0,75,0,2,0,72004,2,0,252,9,0,0,0,1,4,0,0,0,2,5520,2,0,0,83,161251,0,21
Robert,,Klauß,30301,0,5,287,257577,0,141,0,223101,0,0,2021,183,5509,146876,0,75,0,2,0,257577,2,0,254,1,0,0,0,1,21,0,0,0,2,5566,2,0,0,82,161109,0,22
,,,30301,0,0,0,63001,0,16,0,223101,0,0,1,180,5500,145139,0,75,0,0,0,26537,2,0,256,1,1,0,0,0,14,0,0,0,2,5500,1,0,0,86,159325,0,0
Asier,Asier Garitano,Garitano,30301,0,0,246,249029,0,291,0,253101,0,0,4013,169,5509,141402,0,75,0,2,0,249029,1,0,260,4,0,0,0,1,45,0,0,0,1,5566,1,0,0,88,160967,0,0
Jure,,Ivanković,30301,0,3,259,72090,0,16,0,232001,0,0,3512,180,5509,147225,0,75,0,2,0,72090,2,0,263,3,0,0,0,1,8,0,0,0,2,5722,2,0,0,81,161249,0,3
Jindřich,,Trpišovský,50101,0,0,266,249675,0,290,0,253101,0,0,57,180,5527,143676,0,75,0,2,0,249675,2,0,266,1,0,0,0,1,12,0,0,0,2,5566,2,0,0,82,159140,0,23
Brian,,Priske,30301,0,23,287,252928,0,161,0,232001,0,0,2508,188,5557,144118,0,75,0,2,0,252928,2,0,267,1,1,0,0,1,13,0,0,0,2,5714,2,0,0,85,160602,0,23
Jesper,,Sørensen,50101,0,9,243,249664,0,0,0,253101,0,0,4010,177,5557,142684,0,75,0,2,0,249664,2,0,269,1,0,0,0,1,13,0,0,0,2,5715,2,0,0,81,160787,0,9
Kent,,Nielsen,50101,0,9,287,249849,0,154,0,253101,0,0,4008,192,5511,138502,0,75,0,2,0,249849,1,0,270,1,1,0,0,1,13,0,0,0,1,5520,1,0,0,86,159506,0,6
Uwe,,Rösler,30301,0,23,245,250629,0,0,0,253101,0,0,57,184,5509,141016,0,75,0,2,0,250629,3,0,271,6,1,0,0,1,21,0,0,0,3,5520,3,0,0,82,160585,0,24
Matías,,Almeyda,30301,0,3,0,4784,0,10,0,253101,0,0,1526,174,5529,142878,0,72,0,2,0,4784,3,0,278,4,1,0,0,1,52,0,0,0,3,5523,3,0,0,88,160602,0,3
Alfred,,Johansson,1130201,0,6,243,279614,0,181,0,223101,0,0,4013,182,5511,148988,0,75,0,2,0,279614,1,0,298,1,0,0,0,1,46,0,0,0,1,5520,1,0,0,81,161133,0,20
Andreas,,Georgson,30301,0,5,289,271220,0,37,0,232001,0,0,30,186,5548,145862,0,75,0,2,0,271220,1,0,299,1,0,0,0,1,46,0,0,0,1,5525,1,0,0,84,161140,0,5
Bjarte Lunde,,Aarsheim,30301,0,9,243,249057,0,151,0,232001,0,0,2019,177,5511,143267,0,75,0,2,0,249057,1,0,300,3,0,0,0,1,36,0,0,0,1,5510,1,0,0,81,160056,0,9
Daniel,,Myśliwiec,30301,0,2,243,278078,0,54,0,232001,0,0,1519,180,5511,147229,0,75,0,2,0,278078,2,0,301,1,0,0,0,1,37,0,0,0,2,5554,2,0,0,82,161033,0,2
Alan,,Reynolds,30301,0,9,287,149774,0,297,0,253101,0,0,1510,177,5511,143051,0,82,0,2,0,149774,2,0,305,1,0,0,0,1,25,0,0,0,2,5510,2,0,0,83,161236,0,22
Stephen,,Bradley,50101,0,3,289,169187,0,64,0,232001,0,0,1520,170,5511,146864,0,63,0,2,0,169187,2,0,306,2,1,0,0,1,25,0,0,0,2,5510,2,0,0,88,158549,0,23
Constantin,,Gâlcă,30301,0,3,287,249154,0,160,0,253101,0,0,4006,178,5511,142225,0,75,0,2,0,249154,3,0,308,9,0,0,0,1,39,0,0,0,3,5507,3,0,0,81,161258,0,0
Bogdan,,Lobonț,30301,0,5,287,72183,0,297,0,253101,0,0,1520,184,5509,144367,0,75,0,2,0,72183,2,0,310,6,0,0,0,1,39,0,0,0,2,5718,2,0,0,81,161257,0,19
Jens Berthel,,Askou,30301,0,1,287,249660,0,0,0,232001,0,0,2027,190,5527,146041,0,75,0,2,0,249660,1,0,319,1,1,0,0,1,13,0,0,0,1,5707,1,0,0,85,160943,0,1
