competitioncolor1g,badge_ls,competitionid,competitioncolor2r,competitioncolor2g,competitioncolor1b,badge_rs,competitioncolor1r,competitioncolor2b,badge_chest_champions,badge_ls_champions,badge_chest,badge_rs_champions,goalscoringrecord,hasmediarope,celebrationmediapen,isteampitchflagenabledstage,isstanchionflamethrowerenabledstage,celebrationsponsorboard,winterballid,goaljingle,isstadiumdressingenabledstage,isgoallinetechcompenabledstage,abbapenalties,hasvikingclap,subsonbench,competitionimportance,finalballid,presassettwo,adboardplacement,iscompetitionscarfenabled,authentictarpadboardb,introanthemidle,isbannerenabled,pitchtarps,ischampionboardenabled,introconfetti,colorregion,isuniqueadboardscompenabled,ishandshakeboardenabled,country_lock,isballplinthenabledstage,hasstandingcrowd,iscompetitionpoleflagenabled,isteampitchflagenabled,isflamethrowercannonsenabled,hasmascot,iscenterpitchflagenabledstage,iscompetitioncrowdcardsenabled,player_display_pts,isarchwayenabled,isgoallinetechcompenabled,authenticwipe,isrealcompetition,replay360degree,isuniquetrophypedestalenabled,custombibs,isinjuryboardenabled,isintroconfettienabledstage,inflatables,player_display_ptw_tr,iswomencompetition,isstadiumdressingunique,isvanishingsprayhomeenabled,isflamethrowercannonsenabledstage,hasauthentictarpads,isvanishingsprayenabled,finalstadium,stanchionflamethrower,has_var,languageregion,ispitchtarpsenabledstage,celebrationbackboard,adboardplacementstage,isstadiumdressinguniquestage,iscenterpitchflagenabled,crowdregion,pitchbranding,isgoallinetechhomeleagueenabled,stadiumcrowdmap,ballid,celebrationstage,authentictarpadboarda,celebrationarchedboard,isballplinthenabled,introteamportrait,onpitchgraphics,crowdskintonecode,competitionchampionid,haslargeflag,isarchwayenabledstage,isgoalnetadsenabledstage,isstadiumdressingenabled,goalnetads
1,-1,22,255,255,1,-1,1,255,-1,-1,-1,-1,0,0,1,9,9,1,52,1,8,9,0,0,7,0,51,0,0,1,14,0,1,1,0,0,5,0,0,-1,8,1,1,0,0,0,8,1,2,0,0,1,1,0,0,0,0,9,0,0,0,0,1,9,1,1,0,0,1,3,8,0,9,9,1,0,0,0,0,51,0,3,0,1,0,0,2,-1,0,9,9,1,0
81,-1,31,250,250,127,100031,0,250,-1,-1,-1,100031,36,0,1,9,9,0,71,0,9,0,0,0,7,1,72,0,0,1,1,1,1,1,0,0,4,1,2,27,0,1,1,0,0,1,9,1,3,0,1,1,1,1,1,0,0,9,0,1,0,0,1,9,1,1,0,0,1,4,0,0,9,9,0,0,1,1,0,72,2,1,0,2,1,0,2,-1,0,9,9,0,0
199,0,32,250,250,133,0,97,250,0,0,0,0,35,0,1,9,9,0,93,0,9,9,0,0,7,1,92,0,0,1,0,0,1,1,0,0,4,0,3,27,0,1,1,0,0,0,9,1,3,1,0,1,1,0,0,0,0,9,0,1,0,0,1,9,0,1,0,0,0,4,0,0,9,9,0,0,0,1,0,92,1,0,0,1,0,0,2,111657,0,0,9,0,0
193,-1,33,250,250,111,-1,108,250,-1,-1,-1,-1,0,0,1,9,9,1,172,0,7,9,0,0,7,1,171,0,0,1,0,0,1,0,0,0,4,0,1,-1,7,1,1,0,0,0,9,1,0,1,0,2,1,0,0,0,0,9,0,0,0,0,1,9,0,1,0,0,0,4,9,1,9,9,0,0,0,1,0,171,1,0,0,1,0,0,2,-1,0,7,9,1,0
36,100039,39,163,139,33,-1,40,84,0,500039,0,-1,34,1,1,0,8,2,41,0,0,9,0,0,7,1,41,1,0,1,4,0,1,1,0,1,6,1,0,95,0,1,1,2,3,1,9,1,0,0,0,3,1,0,1,0,0,8,0,0,0,1,1,8,1,1,0,1,1,1,0,0,9,8,0,0,0,1,0,41,2,3,2,2,1,0,2,687,0,9,9,1,0
70,-1,41,255,255,108,100041,46,255,0,-1,0,500041,30,1,1,9,9,1,7,0,9,9,0,0,7,1,199,1,0,1,0,0,1,0,0,0,7,0,0,36,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,9,0,0,0,0,1,9,0,1,0,0,0,8,9,1,9,9,1,0,0,0,0,199,0,0,0,1,0,0,2,417,0,9,9,0,0
255,0,50,255,255,255,100050,255,255,0,0,0,500050,52,0,1,9,9,1,91,0,9,9,0,0,7,1,90,0,0,1,0,0,1,0,0,0,3,0,0,42,0,0,0,0,0,0,9,0,3,0,0,1,1,0,0,0,0,9,0,1,0,0,1,9,0,1,0,0,0,1,9,0,9,9,0,0,0,1,0,90,0,0,1,1,0,0,2,78,0,9,9,0,0
0,-1,51,255,255,0,-1,0,255,-1,-1,-1,-1,0,1,1,9,0,0,-1,0,9,9,0,1,7,1,6,0,0,0,0,0,0,0,0,0,3,0,0,223,9,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,1,0,1,9,0,9,9,0,0,0,1,0,6,1,0,0,0,0,0,2,-1,0,9,9,0,0
75,-1,53,255,255,68,100053,255,255,0,-1,0,500053,50,1,1,9,9,1,30,0,9,9,0,0,7,1,29,0,1,0,10,0,1,1,0,0,4,1,0,45,0,0,1,0,0,1,9,1,0,1,0,3,1,1,0,0,1,9,0,0,0,0,1,9,1,1,0,0,1,5,0,0,0,9,0,0,0,1,0,29,1,2,0,1,1,0,2,241,0,0,9,0,0
212,-1,54,255,255,214,100054,0,255,0,-1,0,100054,46,1,1,9,9,1,32,0,9,9,0,0,7,1,31,0,1,0,10,0,1,1,0,0,4,0,0,45,0,0,1,0,0,1,9,1,0,1,0,1,1,0,0,0,0,9,0,0,0,0,1,9,1,1,0,0,1,5,0,0,0,9,0,0,0,1,0,31,1,2,0,1,0,0,2,131391,0,0,9,0,0
94,-1,56,250,250,128,56,57,250,0,-1,0,500056,39,1,1,9,9,1,7,0,9,9,0,0,7,1,97,1,1,1,14,0,1,1,0,0,7,0,0,46,0,1,1,0,0,0,9,1,0,1,0,1,1,0,0,0,0,9,0,0,0,0,1,9,1,1,0,0,0,7,0,0,0,9,0,0,0,0,0,97,1,3,0,1,0,0,2,320,0,0,9,0,0
34,-1,60,142,143,145,100060,16,143,0,-1,0,100060,55,0,1,9,9,1,56,0,9,9,0,0,7,1,198,0,0,0,12,0,0,1,0,0,3,0,0,14,0,1,0,0,0,0,9,0,0,0,0,1,1,0,0,0,0,9,0,0,0,0,1,9,1,1,0,0,0,1,0,0,9,9,0,0,0,1,0,63,1,4,1,1,0,0,2,1929,0,9,9,0,0
12,-1,61,1,20,47,100061,186,137,0,-1,0,100061,52,0,1,9,9,1,56,0,9,9,0,0,7,1,198,0,0,0,12,0,0,1,0,0,3,0,0,14,0,1,0,0,0,0,9,0,0,0,0,1,1,0,0,0,0,9,0,0,0,0,1,9,1,1,0,0,0,1,0,0,9,9,0,0,0,0,0,63,1,4,1,1,0,0,2,1958,0,9,9,0,0
0,-1,63,255,255,0,-1,0,255,-1,-1,-1,-1,0,1,1,9,0,0,-1,0,9,9,0,1,7,1,6,0,0,0,0,0,0,0,0,0,3,0,0,223,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,1,0,1,9,0,9,9,0,0,0,1,0,6,1,0,0,0,0,0,2,-1,0,9,9,0,0
175,100065,65,255,255,5,100065,114,255,0,500065,0,500065,37,1,1,9,9,1,7,0,9,9,0,0,7,1,161,0,0,0,0,0,1,0,0,0,3,0,1,25,0,1,0,0,0,0,9,0,0,0,0,1,1,0,0,0,0,9,0,0,0,0,1,9,0,1,0,0,0,1,9,1,9,9,0,0,0,1,0,161,1,0,0,1,0,0,2,306,0,9,9,0,0
51,-1,66,50,200,112,100066,31,255,0,-1,0,100066,37,1,1,9,9,1,7,0,9,9,0,0,7,1,59,0,1,1,14,0,1,3,0,0,4,0,0,37,0,1,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,9,0,0,0,0,1,9,1,1,0,0,1,10,0,0,0,9,1,0,0,0,0,59,1,3,1,1,0,0,2,1871,0,0,9,0,0
255,-1,68,242,1,255,-1,255,1,-1,-1,-1,-1,39,1,1,9,9,1,142,0,9,0,0,0,7,1,98,1,0,1,14,0,1,2,0,0,5,0,0,-1,0,0,1,0,2,0,0,1,0,1,1,1,1,0,0,0,0,9,0,0,0,0,1,8,1,1,0,0,1,19,0,0,9,9,1,0,0,1,0,98,1,3,1,1,0,0,9,-1,0,0,9,0,0
0,-1,76,255,255,0,-1,0,255,-1,-1,-1,-1,0,1,1,9,9,0,67,0,9,9,0,0,7,1,66,0,0,0,0,0,1,0,0,0,3,0,0,-1,0,0,1,0,0,0,9,0,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,1,9,0,9,9,0,0,0,1,0,66,1,0,0,1,0,0,2,-1,0,9,9,0,0
63,-1,78,250,250,121,-1,15,250,-1,-1,-1,-1,0,1,1,0,9,0,67,0,9,0,0,0,7,0,66,0,0,1,0,1,1,0,0,0,3,0,0,-1,0,0,1,1,0,1,9,1,3,1,1,1,1,0,0,0,0,9,0,1,0,0,1,9,0,1,0,0,0,1,9,1,9,9,0,0,0,1,0,66,1,0,0,1,1,0,2,-1,0,0,9,0,0
1,-1,80,255,255,1,-1,255,255,100080,-1,100080,-1,41,1,1,9,9,1,7,0,9,9,0,0,7,1,58,0,0,1,0,0,1,0,0,0,5,0,0,4,0,1,1,0,0,0,9,1,0,0,0,1,1,0,0,0,0,9,0,0,0,0,1,9,0,1,0,0,0,3,9,0,9,9,0,0,0,0,0,58,0,0,0,1,0,0,2,191,0,9,9,0,0
1,-1,81,255,255,1,-1,255,255,-1,-1,-1,-1,0,1,1,9,9,0,7,0,9,9,0,0,7,0,124,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,9,0,0,0,0,2,1,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,1,9,1,9,9,0,0,0,1,0,124,1,0,0,1,0,0,2,191,0,9,9,0,0
255,100083,83,0,28,255,-1,255,72,0,500083,0,-1,31,1,1,9,9,1,7,0,9,9,0,0,7,1,42,0,1,0,14,0,1,5,0,0,2,0,3,167,0,1,1,0,0,0,9,1,2,1,0,1,1,0,0,0,0,9,0,0,0,0,1,9,1,1,0,0,1,22,0,0,0,9,0,0,0,0,0,42,1,3,1,1,0,0,4,1473,0,0,9,0,0
64,100189,189,250,250,98,-1,5,250,0,500189,0,-1,40,0,1,9,9,1,7,0,0,9,0,0,7,1,151,0,1,1,14,0,1,1,0,0,5,0,3,47,0,1,1,0,0,0,9,0,2,0,0,1,1,0,0,0,0,9,0,0,0,0,1,9,1,1,0,0,1,3,0,0,0,9,0,0,0,0,0,151,1,3,1,1,0,0,2,900,0,9,9,1,0
31,-1,201,190,190,40,201,173,190,0,-1,0,604001,0,1,0,7,9,2,79,0,7,7,0,0,7,1,78,0,0,0,11,0,0,1,0,0,3,0,0,14,0,1,0,1,1,0,0,0,2,0,1,1,1,0,1,0,0,9,0,0,0,1,1,7,1,1,155,0,0,1,4,0,9,8,2,0,0,1,2,78,0,5,2,2,0,0,2,10,0,9,9,1,0
238,-1,202,0,20,238,202,238,137,0,-1,0,202,0,1,1,8,9,1,60,0,8,8,0,0,7,1,60,0,0,0,14,0,0,1,0,0,3,0,0,14,0,1,0,1,3,0,8,0,0,0,1,2,1,0,0,0,0,9,0,0,0,0,1,8,1,1,0,0,0,1,0,0,9,9,1,0,0,0,2,60,1,3,1,1,0,0,2,11,0,9,9,1,0
250,-1,203,186,30,250,203,250,59,0,-1,0,203,0,1,1,8,9,1,61,0,8,8,0,0,7,1,61,0,0,0,14,0,0,1,0,0,3,0,0,14,0,1,0,1,3,0,8,0,0,0,1,2,1,0,0,0,0,9,0,0,0,0,1,8,1,1,0,0,0,1,8,1,9,9,1,0,0,1,2,61,0,3,0,1,0,0,2,4,0,9,9,1,0
7,-1,204,255,255,60,-1,2,255,-1,-1,-1,-1,0,1,1,7,9,1,142,0,0,6,0,0,7,1,66,0,0,1,0,0,1,0,0,0,4,0,0,-1,0,1,1,1,0,0,7,1,0,1,1,2,1,0,0,0,0,9,0,0,0,0,1,9,0,1,0,0,0,2,9,1,9,9,1,0,0,1,1,66,0,0,0,1,0,0,2,1809,0,0,9,1,0
174,-1,206,255,255,128,206,32,255,-1,-1,-1,206,0,1,1,8,9,0,7,0,0,6,0,0,7,1,99,0,1,1,0,0,1,0,0,0,5,0,0,-1,0,1,1,1,0,0,6,1,1,1,1,2,1,1,1,0,0,9,0,0,0,1,1,9,0,1,0,0,0,3,9,0,0,8,1,0,0,0,2,99,2,0,2,2,0,0,2,112172,0,6,9,1,0
255,-1,207,210,5,255,207,255,21,-1,-1,-1,-1,0,1,1,0,9,1,-1,0,0,0,0,0,7,0,54,0,1,1,14,0,1,4,0,0,5,0,0,-1,0,1,0,1,0,0,0,0,2,0,1,2,1,1,0,0,0,9,0,0,0,1,1,9,1,1,0,0,1,3,0,1,0,0,1,0,0,1,2,54,1,3,0,1,0,0,2,21,0,9,9,1,0
0,-1,208,252,187,43,-1,228,42,-1,-1,-1,-1,0,1,1,9,9,1,7,0,9,9,0,0,7,1,66,0,0,0,14,0,1,1,0,0,4,0,0,-1,8,0,1,0,0,0,8,1,0,1,0,2,1,0,0,0,0,9,0,0,0,0,1,9,1,1,0,0,1,5,5,0,9,9,1,0,0,1,2,66,1,3,0,1,0,0,2,243,0,8,5,0,1
2,-1,210,250,250,7,210,119,250,500210,-1,-1,210,0,1,1,9,9,0,72,0,0,5,0,0,7,1,72,0,1,1,0,0,1,1,0,0,4,0,2,27,5,1,1,0,0,1,9,1,3,0,1,2,1,1,1,0,1,9,0,1,0,0,1,9,0,1,0,0,0,4,0,0,8,9,0,0,1,1,2,72,2,0,0,2,1,0,2,-1,0,9,9,1,0
81,-1,211,250,250,127,211,0,250,-1,-1,-1,211,0,0,1,9,9,0,72,0,9,8,0,0,7,0,72,0,1,1,3,0,1,0,0,0,4,0,2,27,8,1,1,0,0,1,9,0,3,1,1,2,1,1,1,0,1,9,0,1,0,0,1,9,1,1,0,0,0,4,9,0,0,9,0,0,1,1,2,72,2,3,0,2,1,0,2,-1,0,8,9,0,0
1,-1,212,250,250,1,-1,255,250,-1,-1,-1,-1,0,1,1,8,9,0,7,0,0,9,0,0,7,1,66,0,0,1,0,0,1,0,0,0,5,0,0,-1,0,0,1,1,0,0,9,1,0,0,0,2,1,0,0,0,0,9,0,0,0,0,1,9,0,1,0,0,0,3,9,0,9,9,0,0,0,0,2,66,1,0,0,1,0,0,2,209,0,9,9,1,0
102,-1,213,250,250,220,-1,61,250,-1,-1,-1,-1,0,1,1,9,9,1,7,0,9,9,0,0,7,1,66,0,0,1,0,0,1,0,0,0,5,0,0,-1,0,1,1,0,0,0,9,1,0,0,0,2,1,0,0,0,0,9,0,0,0,0,1,9,0,1,0,0,0,6,9,1,9,9,0,0,0,1,1,66,0,0,0,1,0,0,2,230,0,9,6,0,1
12,-1,214,255,23,12,-1,12,64,-1,-1,-1,-1,0,1,1,9,9,0,24,0,9,9,0,0,7,1,24,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,9,0,0,0,0,2,1,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,1,9,1,9,9,0,0,0,1,0,24,1,0,0,1,0,0,2,230,0,9,9,0,0
1,-1,215,255,255,74,-1,1,255,-1,-1,-1,-1,0,1,1,9,9,1,33,0,0,9,0,0,7,1,184,1,0,1,0,0,1,0,0,0,7,0,0,-1,0,0,1,0,0,0,8,1,0,0,0,2,1,0,0,0,0,9,0,0,0,0,1,9,0,1,0,0,0,9,9,0,9,9,1,0,0,0,2,184,1,0,0,1,0,0,2,819,0,9,9,1,0
90,-1,216,250,250,125,-1,0,250,-1,-1,-1,-1,0,0,1,9,9,0,33,0,9,9,0,0,7,1,184,1,1,1,0,0,1,5,0,0,0,0,3,-1,0,0,1,0,0,0,9,1,0,0,0,2,1,0,0,0,0,9,0,0,0,0,1,9,0,1,0,0,0,1,0,1,0,9,0,0,0,0,0,184,1,0,0,1,0,0,2,819,0,9,9,0,0
33,-1,217,255,255,63,-1,22,255,-1,-1,-1,-1,0,1,1,8,9,1,7,0,9,9,0,0,7,1,-1,1,1,1,14,0,1,4,0,0,7,0,0,-1,0,0,1,1,0,0,8,0,0,1,0,2,1,0,0,0,0,9,0,0,0,0,1,9,1,1,0,0,0,8,0,1,8,9,1,0,0,0,1,23,0,3,0,1,0,0,2,919,0,8,9,0,0
63,-1,218,0,102,70,-1,54,0,-1,-1,-1,-1,0,1,1,8,9,0,142,0,8,9,0,0,7,1,66,0,0,1,0,0,1,0,0,0,4,0,0,-1,8,1,1,1,0,0,6,1,2,1,0,2,1,0,0,0,0,9,1,0,0,0,1,9,0,1,0,0,1,17,9,0,9,9,1,0,0,0,2,66,1,0,1,1,0,0,2,236,0,6,9,1,0
77,-1,219,255,255,163,-1,1,255,-1,-1,-1,-1,0,1,1,7,9,1,7,0,0,9,0,0,7,1,87,0,0,1,0,0,0,0,0,0,3,0,0,-1,0,0,0,1,1,0,5,0,1,0,0,2,1,0,0,0,0,9,0,0,0,0,1,8,0,1,0,0,0,1,9,0,9,9,1,0,0,1,2,87,0,0,1,1,0,0,2,78,0,9,9,1,0
7,-1,220,250,250,140,-1,57,250,-1,-1,-1,-1,0,1,1,8,9,1,7,0,8,9,0,0,7,1,6,1,0,1,0,0,1,0,0,0,7,0,0,-1,0,0,1,1,0,0,9,1,0,0,0,2,1,0,0,0,0,9,0,0,0,0,1,9,0,1,0,0,0,7,9,0,9,9,0,0,0,0,2,6,0,0,0,1,0,0,2,711,0,9,9,1,0
17,-1,221,255,255,31,-1,178,255,-1,-1,-1,-1,0,1,1,9,9,0,7,0,0,9,0,0,7,1,6,0,0,0,0,0,1,0,0,0,5,0,0,-1,8,0,1,0,0,0,9,0,0,1,0,2,1,0,0,0,0,9,0,0,0,0,1,9,0,1,0,0,0,3,9,0,9,9,0,0,0,0,2,6,1,0,1,1,0,0,2,900,0,8,9,1,0
47,-1,223,255,255,134,223,8,255,0,-1,0,500223,17,1,1,9,9,0,35,1,9,2,0,0,7,1,109,0,1,1,0,1,1,0,0,0,8,0,0,-1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,9,0,0,0,0,1,9,0,1,261,0,1,1,9,0,0,9,1,0,1,1,2,34,1,0,0,1,1,0,2,10,0,0,9,0,0
12,-1,224,243,146,12,224,12,0,0,-1,0,500224,17,2,1,9,9,0,118,1,0,2,0,0,7,1,45,0,1,1,0,1,1,0,0,0,9,0,0,-1,0,1,1,0,0,0,0,1,0,0,1,3,1,0,1,1,0,9,0,0,0,1,1,9,0,1,388,0,0,1,9,0,0,0,2,0,1,1,2,45,2,0,0,2,1,0,2,481,0,9,9,1,0
11,-1,225,255,231,30,-1,198,181,-1,-1,-1,-1,0,1,1,9,9,1,7,0,9,0,0,0,7,0,29,0,0,0,14,0,1,1,0,0,4,0,0,-1,8,0,1,0,0,0,9,1,0,1,1,2,1,0,0,0,0,9,0,0,0,0,1,9,1,1,0,0,1,5,8,0,9,9,0,0,0,1,0,29,1,3,0,1,0,0,2,241,0,8,9,0,0
12,-1,226,0,190,12,226,12,20,0,-1,0,500226,0,2,1,9,9,0,121,1,0,2,0,0,7,1,47,0,1,1,0,1,1,0,0,0,9,0,0,-1,0,1,1,0,0,0,0,1,0,0,1,3,1,0,1,1,0,9,0,0,0,0,1,9,0,1,0,0,0,1,9,0,0,9,2,0,1,1,2,47,2,0,0,2,1,0,2,19,0,9,9,1,0
80,0,227,255,255,160,227,0,255,0,0,0,500227,15,2,1,9,9,0,111,1,0,2,0,0,7,1,111,0,1,0,0,1,1,0,0,0,8,0,0,-1,0,1,0,0,0,1,0,0,0,2,1,3,1,0,1,1,0,9,0,0,1,1,1,9,0,1,486,0,1,1,9,0,0,0,2,0,1,1,0,111,2,0,0,2,1,0,2,116325,0,0,9,1,0
68,-1,228,165,13,55,228,57,1,0,-1,0,228,0,1,1,8,9,2,-1,0,8,8,0,0,7,0,77,0,0,0,0,0,0,0,0,0,3,0,0,14,8,1,0,1,1,0,8,0,0,0,1,2,1,0,1,0,0,9,0,0,0,0,1,8,0,1,0,0,0,1,9,2,9,9,1,0,0,1,2,77,0,0,0,2,0,0,2,1,0,9,9,1,0
255,-1,232,0,100,255,232,255,100,0,-1,0,232,0,2,1,9,9,0,-1,1,8,8,0,0,7,0,36,0,1,0,0,1,1,0,0,0,10,0,0,-1,0,1,0,0,0,1,0,0,0,0,1,3,1,0,1,1,0,9,0,0,0,1,1,9,0,1,0,0,0,1,9,0,8,0,2,0,1,1,2,36,2,0,0,1,1,0,2,10,0,9,9,1,0
28,233,233,255,222,61,233,9,127,-1,-1,-1,-1,0,1,1,8,9,0,28,0,9,9,0,0,7,0,28,0,1,0,0,0,1,0,0,0,4,0,0,18,8,1,0,1,0,0,9,0,0,0,0,2,1,0,0,0,0,9,0,0,0,0,1,9,0,1,0,0,0,2,9,0,8,9,0,0,0,0,1,28,1,0,0,1,0,0,2,73,0,9,9,0,0
42,-1,234,199,32,102,-1,20,40,-1,-1,-1,-1,0,0,1,9,9,1,142,0,8,9,0,0,7,1,66,1,0,1,0,0,1,0,0,0,6,0,0,-1,0,1,1,0,3,0,9,0,0,0,0,2,1,0,0,0,0,9,0,0,0,1,1,8,0,1,0,0,1,1,9,0,9,8,0,0,0,0,2,66,1,0,0,1,1,0,2,112606,0,9,9,1,0
0,-1,241,255,255,0,-1,0,255,-1,-1,-1,-1,0,1,1,0,0,0,7,0,9,9,0,0,7,0,6,0,1,0,0,0,1,0,0,0,3,0,0,-1,9,0,1,1,2,0,9,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,1,0,1,9,0,0,9,0,0,0,1,0,6,1,0,0,0,0,0,2,-1,0,9,9,0,0
0,-1,242,255,255,0,-1,0,255,-1,-1,-1,-1,0,1,1,9,0,0,7,0,9,9,0,0,7,1,6,0,1,0,0,0,0,0,0,1,3,0,0,-1,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,1,9,0,0,9,0,0,0,1,0,6,1,0,0,0,0,0,2,-1,0,9,9,0,0
