competitionid,leftbadgeid,teamname,teamid
224,68,Fraport-TAV Antalyaspor,741
226,68,Fraport-TAV Antalyaspor,741
232,68,Fraport-TAV Antalyaspor,741
223,80,SV Ried,780
224,80,SV Ried,780
226,80,SV Ried,780
232,80,SV Ried,780
223,66,Lech Poznań,873
224,66,Lech Poznań,873
226,66,Lech Poznań,873
232,66,Lech Poznań,873
223,41,Stabæk Fotball,917
224,41,Stabæk Fotball,917
226,41,Stabæk Fotball,917
232,41,Stabæk Fotball,917
223,41,FK Bodø/Glimt,918
224,41,FK Bodø/Glimt,918
226,41,FK Bodø/Glimt,918
232,41,FK Bodø/Glimt,918
223,41,SK Brann,919
224,41,SK Brann,919
226,41,SK Brann,919
232,41,SK Brann,919
223,41,Vålerenga Fotball,920
224,41,Vålerenga Fotball,920
226,41,Vålerenga Fotball,920
232,41,Vålerenga Fotball,920
223,41,Strømsgodset Toppfotball,922
224,41,Strømsgodset Toppfotball,922
226,41,Strømsgodset Toppfotball,922
232,41,Strømsgodset Toppfotball,922
223,308,Santa Clara,1438
224,308,Santa Clara,1438
226,308,Santa Clara,1438
232,308,Santa Clara,1438
223,56,Kalmar FF,1439
224,56,Kalmar FF,1439
226,56,Kalmar FF,1439
232,56,Kalmar FF,1439
223,41,Odds Ballklubb,1456
224,41,Odds Ballklubb,1456
226,41,Odds Ballklubb,1456
232,41,Odds Ballklubb,1456
223,41,FK Haugesund,1463
224,41,FK Haugesund,1463
226,41,FK Haugesund,1463
232,41,FK Haugesund,1463
223,76,Lokomotiv Moskva,100765
224,76,Lokomotiv Moskva,100765
226,76,Lokomotiv Moskva,100765
232,76,Lokomotiv Moskva,100765
223,76,Spartak Moskva,100767
224,76,Spartak Moskva,100767
226,76,Spartak Moskva,100767
232,76,Spartak Moskva,100767
223,68,Altay,101006
224,68,Altay,101006
226,68,Altay,101006
232,68,Altay,101006
223,68,Demir Grup Sivasspor,101041
224,68,Demir Grup Sivasspor,101041
226,68,Demir Grup Sivasspor,101041
232,68,Demir Grup Sivasspor,101041
223,76,Dynamo Kyiv,101047
224,76,Dynamo Kyiv,101047
226,76,Dynamo Kyiv,101047
232,76,Dynamo Kyiv,101047
